,국가코드,DB종류,특허/실용 구분,문헌종류 코드,발명의 명칭,요약,대표청구항,청구항 수,출원번호,출원일,공개번호/공표/재공표 ,공개일,등록번호,등록일,출원인,출원인 국적,출원인 수,출원인 대표명화 코드,출원인 대표명화 영문명,발명자/고안자,우선권 번호,우선권 국가,우선권 주장일,국제 공개번호,국제 공개일,Original CPC Main,Original CPC All,Original IPC Main,Original IPC All,Original US Class Main[US],Original US Class All[US],WIPS ON key,유효특허 여부
0,US,US,P,1,"Non ionic/electrolyte, liquid/gaseous, mechanically refined/nanoparticle dispersion Building Materials/High Wear-Heat Resistant Part Brushes, Windings, Battery Cells, Brake Pads, Die Cast Molding, Refrigeration, Polarized/Integrated Optical, Spectrometric Processors, Central Processor Unit Processors, Electronic Storage Media, Analogous Series/Parallel Circuit Generators/Transceivers, Particulate Matter PM Carbonaceous-Polyamide, Crystalline Silica, and Cellulosic Filament Extraction/Miners Suit","The variable hydraulic press and distillation reservoir manufacture process scientific formula non ionic or electrolyte mechanically refined and nanoparticle, allotropes of carbon dispersion preform slurry extrusion, with or without ionic suspension element for manufactured Preform slurry high wear-heat resistant parts electronic component composite coils, composite windings, annealing, drawn, spun, coils, windings, wire, woven textile mesh, shielding, brushes, inductors, antinode couplers, electric rheostats, starters, motors, alternators, generators, ionic suspension element enhanced composite coils, composite windings, annealing, drawn, spun, coils, windings, wire, woven textile mesh, shielding, brushes, capacitors, battery cells, rheostats, electronic resistors, transformers, transducers, rectifiers, power supplies, or heat sinks Preform slurry high wear-heat resistant parts aerospace, automotive, and transportation brake calipers, rotors, pads, and bushings Preform slurry non ionic or electrolyte mechanically refined and nanoparticle high wear-heat resistant parts precision casting molds 2.5 phase die cast molding and Building Materials fine concrete, mortar, brick, and tiles.","1. A cool complete vacuum draws any one particulate matter while fluxing gaseous suspension creates the partial vacuum causing atmospheric suspension particulate matter diffusion equal particle distribution or saturation. Number 1. A prepared heated specification particulate matter partial vacuum fluxing suspension distillation reservoir continually extracting expanded higher temperature particulate matter melts the instantaneous creation of particulate matter parts of any two or more particulate matter materials resultant compound particulate matters. Number 2. The specification making of particulate matter extremely high optical grade silicon filtered and non filtered, high optical grade allotropes of carbonaceous-silicon particulate matter, high optical grade allotropes of carbonaceous-silicon particulate matter polyamides synthetic resins, high optical grade silicon filtered and non filtered polyamides synthetic resins, potassium ash and feldspar K 19, gypsum CaSO4.2H2O 20, zirconium Zr 40, S 16 quartz-bearing basalt Ca 20, cobalt Co 27, silica dioxide SiCO2, sodium oxide NaO2, calcium oxide CaO, polyethylene, synthetic polymer resins, hybrid allotropes of carbon, molecular silica hybrid allotropes of carbon molecular dioxide SiCO2, molecular sodium oxide NaO2 compound, molecular calcium oxide CaO, alkalines with or without magnesium Mg powdered resins, alternate carbon nanofoam inductor ACNFI, molecular and nanoparticle alumina Al13, fluoride F, Specification 55 elements, natural cellulosic polyamides resins, natural cellulosic polyamide rubber resins, natural carbonaceous resins, allotropes of carbonaceous nanoparticles, and natural cellulosic fiberaceous resins, allotropes of carbonaceous-silicon particulate matter cement clinkers and sands, high tensile strength heat resistant allotropes of carbonaceous-metals, allotropes of carbonaceous-polyamides synthetic resins, extremely hard heat resistant heavy mineral cement clinkers and sands, fine minerals and sands, ceramic red brick clay impedance matching load or signal insulators, and complex alkaline and acid powders. Number 3. The specification making of supersaturated particulate matter under and above normal atmospheric pressure measured in atmospheres and bars of pressure two or more particulate matter materials supercooled 0° C. or 32° F. interface tool steel, and specification acid, bases, and alkyls gaseous partial and complete suspensions of preform slurry non ionic or electrolyte forming as a naturally occurring phenomenon named cloud condensation nuclei or CCNs also known as cloud seeds are small particles typically 0.2 μm, or 1/100th the size of the average cloud droplet. The liquid vapor requires a non-gaseous surface to make the transition from a vapour to a liquid. The supercooled liquids of condensation nuclei particulate matter one and two or more condensation nuclei particulate matter materials resultant condensation nuclei particulate matters maybe electrolysis spun, drawn, evaporated, dispersed, casted, extruded and formed into resin powders. The liquids of condensation nuclei particulate matter materials maybe continuously solution processed into silicon gels with or without potassium ash and feldspar K 19, gypsum CaSO4.2H2O 20, zirconium Zr 40, S 16 quartz-bearing basalt Ca 20, cobalt Co 27, silica dioxide SiCO2, sodium oxide NaO2, calcium oxide CaO, carbon dioxide CO2, synthetic polymer resins, hybrid allotropes of carbon and molecular dioxide CO2 compound, molecular silica hybrid allotropes of carbon molecular dioxide SiCO2 compound, molecular sodium oxide NaO2 compound, and molecular calcium oxide CaO, alkalines with or without magnesium Mg powdered resins, alternate carbon nanofoam inductor ACNFI, molecular and nanoparticle alumina Al13, fluoride F, Specification 55 elements, natural cellulosic polyamides resins, natural cellulosic polyamide rubber resins, natural carbonaceous resins, allotropes of carbonaceous nanoparticles, and natural cellulosic fiberaceous resins drawn annealing print rolled films sheets, cut strips, spun wire line, spinning yarn and thread insulates.",4,939,20121130,20140109386,20140424,0,0,Robert Richard Matthews,US,1,nan,nan,Robert Richard  Matthews,302,nan,nan,0,nan,B23P-0013/00,B23P-0013/00,B23P,B23P,029/592,029/592,5414020000000.0,0.0
1,US,US,P,1,METHOD AND SYSTEM FOR RECOGNIZING SPACE OF SHOULDER OF ROAD,"Disclosed herein are a method and a system for recognizing a space of a road shoulder using an ultrasonic wave sensor, a radar and an imaging device. The method includes: controlling the radar to transmit a radar beam within a preset range based on the vehicle location; detecting a fixed object located within the preset range using a reflective wave of the radar beam received by the radar; calculating a distance between the fixed object and the vehicle using the radar when the fixed object is located within the preset range; detecting a solid line lane marking in a front image of a travel lane obtained from the imaging device; and recognizing the calculated distance between the fixed object and the vehicle as a space width of the road shoulder when the solid line lane is in the front image of the travel lane.","1. A method of recognizing a space of a road shoulder using a distance measuring module, a radar, and an imaging device disposed on a vehicle, the method comprising: controlling, by a controller, the radar to transmit a radar beam within a preset range based on the vehicle location;detecting, by the controller, a fixed object located within the preset range using a reflective wave of the radar beam received by the radar;calculating, by the controller, a distance between the fixed object and the vehicle using the radar when the fixed object is located within the preset range;detecting, by the controller, a solid line lane marking in a front image of a travel lane obtained from the imaging device; andrecognizing, by the controller, the calculated distance between the fixed object and the vehicle as a space width of the road shoulder when the solid line lane marking is in the front image of the travel lane.",18,941,20121210,20140111369,20140424,0,0,HYUNDAI MOTOR COMPANY,KR,1,UN000003,HYUNDAI MOTOR CO LTD,Young Chul  Oh | Surim  Kwon,76,KR,2012-10-19,0,nan,G01S-0013/867,G01S-0013/867 | G01S-0013/862,G01S,G01S,342/052,342/052 | 342/070,5414020000000.0,0.0
2,US,US,P,4,Enhanced road vision on full windshield head-up display,"A method to selectively project graphical images upon a transparent windscreen head up display of a vehicle based upon a need for enhanced vision includes monitoring informational inputs describing an operational environment for the vehicle, processing the informational inputs to generate display requirements, generating the graphical images to be projected based upon the display requirements, and projecting the graphical images upon the transparent windscreen head up display. Processing of the informational inputs can include determining the need for enhanced vision based upon the informational inputs and generating the display requirements based upon the informational inputs and the need for enhanced vision.","1. Method to selectively project graphical images upon a transparent windscreen head up display of a vehicle based upon a need for enhanced vision, the method comprising: monitoring informational inputs corresponding to features of a roadway needed for travel, critical information perceived as a threat to the vehicle and an operational environment for the vehicle;determining a degree of importance of the critical information;determining a measure of visual conditions based on the operational environment for the vehicle;comparing the measure of visual conditions to a threshold visual condition, said threshold visual condition adjustable based on the degree of importance of the critical information;determining the need for enhanced vision based on the measure of visual conditions violating the threshold visual condition;generating display requirements for the features of the roadway based on the need for enhanced vision;generating the graphical images corresponding to the features of the roadway to be projected based upon the display requirements; andprojecting the graphical images upon the transparent windscreen head up display.",17,760,20090619,20100253540,20101007,08704653,20140422,GM Global Technology Operations LLC,US,1,UN001045,GM GLOBALTECHNOLOGY OPERATIONS INC,Thomas A.  Seder | Joseph F.  Szczerba | Dehua  Cui,302,nan,nan,0,nan,nan,nan,B60Q,B60Q|G08G,340/461,340/461 | 340/435 | 340/436 | 340/905,4914020000000.0,0.0
3,US,US,P,1,METHODS AND SYSTEMS FOR IMAGING AND CUTTING SEMICONDUCTOR WAFERS AND OTHER SEMICONDUCTOR WORKPIECES,"Methods and systems for imaging and cutting semiconductor wafers and other microelectronic device substrates are disclosed herein. In one embodiment, a system for singulating microelectronic devices from a substrate includes an X-ray imaging system having an X-ray source spaced apart from an X-ray detector. The X-ray source can emit a beam of X-rays through the substrate and onto the X-ray detector, and X-ray detector can generate an X-ray image of at least a portion of the substrate. A method in accordance with another embodiment includes detecting spacing information for irregularly spaced dies of a semiconductor workpiece. The method can further include automatically controlling a process for singulating the dies of the semiconductor workpiece, based at least in part on the spacing information. For example, individual dies can be singulated from a workpiece via non-straight line cuts and/or multiple cutter passes.","1. A system for singulating microelectronic devices from a microelectronic substrate, the microelectronic substrate having an infrared inhibiting layer covering at least a portion of one side of the microelectronic substrate, the system comprising: an X-ray source configured to emit X-rays;an X-ray detector spaced apart from the X-ray source, wherein the X-ray detector is configured to receive at least a portion of the X-rays from the X-ray source when the infrared inhibiting layer of the microelectronic substrate is positioned between the X-ray source and the X-ray detector; anda cutting device configured to respond to operating signals based at least in part on X-ray image information received from the X-ray detector, the operating signals controlling the path of the cutting device as the cutting device cuts the microelectronic substrate into the individual dies.",21,976,20131202,20140083270,20140327,0,0,"Micron Technology, Inc.",US,1,UN000357,MICRON TECHNOLOGY INC,Warren M.  Farnworth | Tom A.  Muntifering | Paul J.  Clawson,302,nan,nan,0,nan,B28D-0005/0064,B28D-0005/0064 | B26F-0003/004 | B23K-0026/4075 | B23Q-0015/22,B28D,B28D|B23K|B23Q|B26F,083/076.8,083/076.8 | 083/368 | 451/002 | 219/121.67,5414010000000.0,0.0
4,US,US,P,1,Labels Having an Information Dye,The present invention is directed to labels having one or more information dyes and methods for their use.,1. A label comprising an information dye.,26,963,20130605,20140084089,20140327,0,0,Avery Demmison Corporation,US,1,nan,nan,Thomas  LANEY | Wen-Li A.  CHEN | Chieh-Wen  CHEN,302,nan,nan,0,nan,G09F-0003/02,G09F-0003/02 | B02C-0023/08 | G09F-0003/04 | B07C-0005/34 | G01N-0021/59,G09F,G09F|G01N|B07C|B02C|G09F,241/020,241/020 | 040/299.01 | 040/310 | 209/576 | 356/432 | 356/051 | 250/459.1,5414010000000.0,0.0
5,US,US,P,1,VEHICULAR VISION SYSTEM,A vehicular vision system includes a camera having a lens and a CMOS photosensor array having a plurality of photosensor elements. The camera is disposed at an interior portion of a vehicle equipped with the vehicular vision system. The camera one of (i) views exterior of the equipped vehicle through the windshield of the equipped vehicle and forward of the equipped vehicle and (ii) views from the windshield of the equipped vehicle into the interior cabin of the equipped vehicle. A control includes an image processor that processes image data captured by the photosensor array. The image processor processes captured image data to detect an object viewed by the camera. The photosensor array is operable at a plurality of exposure periods and at least one exposure period of the plurality of exposure periods is dynamically variable.,"1. A vehicular vision system, said vehicular vision system comprising: a camera comprising a lens and a CMOS photosensor array;wherein said photosensor array comprises a plurality of photosensor elements;wherein said camera is disposed at an interior portion of a vehicle equipped with said vehicular vision system;the equipped vehicle comprising a windshield;wherein said camera one of (i) views exterior of the equipped vehicle through the windshield of the equipped vehicle and forward of the equipped vehicle and (ii) views from the windshield of the equipped vehicle into the interior cabin of the equipped vehicle;a control comprising an image processor, said image processor processing image data captured by said photosensor array;wherein said image processor processes captured image data to detect an object viewed by said camera;wherein said photosensor array is operable at a plurality of exposure periods; andwherein at least one exposure period of said plurality of exposure periods is dynamically variable.",20,977,20131202,20140084789,20140327,0,0,DONNELLY CORPORATION,US,1,EN003215,DONNELLY CORP,Kenneth  Schofield | Mark L.  Larson,302,nan,nan,0,nan,B60Q-0001/143,B60Q-0001/143 | H04N-0005/374 | H04N-0007/183,B60Q,B60Q|H04N|H04N,315/082,315/082 | 348/113,5414010000000.0,0.0
6,US,US,P,1,"DEVICE FOR DETECTING THE TEMPERATURE OF AN ASPHALT MATERIAL TO BE PROCESSED BY A ROAD FINISHING MACHINE, ULTRASONIC SENSOR AND ROAD FINISHING MACHINE","A device for detecting the temperature of an asphalt material to be processed by a road finishing machine includes at least one temperature measuring head, the at least one temperature measuring head being integrated into an ultrasonic sensor for detecting the filling level of the asphalt material.","1. A device for detecting the temperature of an asphalt material to be processed by a road finishing machine, comprising: at least one temperature measuring head,characterized in thatthe at least one temperature measuring head is integrated into an ultrasonic sensor for detecting the filling level of the asphalt material.",11,974,20130925,20140086684,20140327,0,0,MOBA Mobile Automation AG,DE,1,EN059456,MOBA MOBILE AUTOMATION ,Willibald  SEHR | David  SHELSTAD,134,DE | DE,2012-09-27 | 2013-02-04,0,nan,G01K-0011/22,G01K-0011/22 | E01C-0019/08 | G01F-0023/296,G01K,G01K|G01F|E01C,404/084.05,404/084.05 | 374/117 | 073/290.V,5414010000000.0,0.0
7,US,US,P,4,Extended wavelength digital alloy NBN detector,"A strain-balanced photodetector is provided for detecting infrared light at an extended cutoff wavelength in the range of 4.5 μm or more. An InAsSb absorber layer has an Sb content is grown in a lattice-mismatched condition to a GaSb substrate, and a plurality of GaAs strain-compensating layers are interspersed within the absorber layer to balance the strain of the absorber layer due to the lattice mismatch. The strain-compensation layers allow the absorber to achieve a thickness exhibiting sufficient absorption efficiency while extending the cutoff wavelength beyond that possible in a lattice-matched state. Additionally, the strain-compensation layers are sufficiently thin to be substantially quantum-mechanically transparent such that they do not substantially affect the transmission efficiency of the absorber. The photodetector is preferably formed as a majority carrier filter photodetector exhibiting minimal dark current, and may be provided individually or in a focal plane array.","1. A strain-balanced photodetector with an extended wavelength, comprising: a first layer grown on a semiconductor substrate;a barrier layer located above the first layer; anda second layer located above the barrier layer,wherein the first layer comprises a plurality of photo-absorbing layers; anda plurality of strain-compensating layers interspersed between the plurality of photo-absorbing layers,wherein the photo-absorbing layers are grown substantially lattice-mismatched to the substrate, and the strain-compensating layers are interspersed between the photo-absorbing layers so as to substantially compensate for a mechanical strain of the photo-absorbing layers caused by the lattice-mismatched condition; andwherein each of the plurality of strain-compensating layers has a thickness such that the strain-compensating layers are substantially quantum-mechanically transparent.",72,828,20100715,20110037097,20110217,08674406,20140318,Lockheed Martin Corp.,US,1,UN000709,LOCKHEED CORP,Jeffrey W.  Scott | George  Paloczi,302,nan,nan,0,nan,nan,nan,H01L,H01L,257/184,257/184 | 257/189 | 257/E31.001 | 257/E31.019 | 250/338.4,4914010000000.0,0.0
8,US,US,P,1,SCANNER WITH WAKE-UP MODE,"An indicia reader system includes an indicia reader provided at a point of transaction; a controller for controlling power to the indicia reader; a detector for detecting a customer, item or shopping cart at the point of transaction and providing an indication signal to the controller of the presence of customer, item or shopping cart at the point of transaction; wherein the controller interrupts power to the indicia reader during a power save mode and resumes power to the indicia reader upon receiving the indication signal.","1. An indicia reader system comprising: an indicia reader provided at a point of transaction;a controller for controlling power to the indicia reader; anda detector for detecting a customer, item or shopping cart at the point of transaction and providing an indication signal to the controller of the presence of customer, item or shopping cart at the point of transaction;wherein the controller interrupts power to the indicia reader during a power save mode and resumes power to the indicia reader upon receiving the indication signal.",20,975,20131122,20140070005,20140313,0,0,"Metrologic Instruments, Inc.",US,1,EN004676,METROLOGIC INSTR INC,James  Nahill | David  Wilz | Thomas  Amundsen | Dwight  Franz | Mark  Hernandez | Shane Michael  Edmonds | Sarah  Gloeckner | John  Beiler | Mark  Meagher | James A.  Cairns | Glenn Alan  Cavanaugh,302,nan,nan,0,nan,G06K-0007/01,G06K-0007/01,G06K,G06K,235/439,235/439,5414010000000.0,0.0
9,US,US,P,4,Epitaxially-grown position sensitive detector,"A unit cell for use in an imaging system may include an absorber layer of semiconductor material formed on a semiconductor substrate, at least one contact including semiconductor material formed on the semiconductor substrate and electrically coupled to the absorber layer, and a cap layer of semiconductor material formed on the semiconductor substrate and electrically coupled to and formed between the absorber layer and the at least one contact. The absorber layer may be configured to absorb incident photons such that the absorbed photons excite electrons in the absorber layer to generate a photocurrent. The at least one contact may be configured to conduct the photocurrent to one or more electrical components external to the unit cell. The cap layer may be configured to conduct the photocurrent between the absorber layer and the at least one contact.","1. A unit cell for use in an imaging system, comprising: an absorber layer of semiconductor material formed on a semiconductor substrate, the absorber layer configured to absorb incident photons such that the absorbed photons excite electrons in the absorber layer to generate a photocurrent, the absorber layer electrically coupled to a cathode positioned at a periphery of the unit cell;a plurality of anodes electrically coupled to the absorber layer and configured to conduct the photocurrent to one or more electrical components external to the unit cell, the plurality of anodes including semiconductor material formed on the semiconductor substrate, the plurality of anodes comprising a first semiconductor composition, a first dopant concentration, and a first dimension selected to provide a first optimized resistivity; anda cap layer of semiconductor material formed on the semiconductor substrate and electrically coupled to and formed between the absorber layer and the plurality of anodes and including a grid delineation, the cap layer configured to conduct the photocurrent between the absorber layer and the plurality of anodes, the cap layer comprising a second semiconductor composition, a second uniform and continuous dopant concentration, and a second dimension selected independently from the selection of the first semiconductor composition, the first dopant concentration, and the first dimension, to provide a second optimized resistivity.",17,762,20090706,20110001165,20110106,08669588,20140311,Raytheon Company,US,1,UN000570,RAYTHEON CO,Edward Peter Gordon  Smith | Gregory Mark  Venzor | Eric J.  Beuville,302,nan,nan,0,nan,nan,nan,H01L,H01L,257/186,257/186 | 257/184 | 257/188 | 257/440 | 257/461 | 257/E31.09 | 438/094 | 250/214.1,4914010000000.0,0.0
