	inventor	patent_id
0	Hubert E.  Sales	0
1	Peter  Asplund	0
2	ROBERT HARVEY  MOFFETT	1
3	SIGRIDUR SOLEY  KRIST JANSDOTTIR	1
4	Paul  Garcia	2
5	Bruce S.  Beattie	2
6	Ben  Harris	2
7	Doug  Kimzey	2
8	Robert C.  Parrott	2
9	James  Micak	2
10	Gilad  Golub	3
11	Julio  Subovich	3
12	Philippe  Sauvignet	4
13	Claus  Dahl	4
14	Valey  Ursel	4
15	Celine  Levecq	4
16	Jean-Francois  Beaudet	4
17	Brian E.  Butters	5
18	Anthony L.  Powell	5
19	John D.  Pearce	5
20	Bruce  Henniges	6
21	Douglas L.  Tyler	6
22	James G.  Walen	6
23	Chunwu  Wu	6
24	Henry G  Justiniano	7
25	Yoshihiko  Masuda	8
26	Masazumi  Sasabe	8
27	Seiji  Kato	8
28	Atsushi  Tachibana	8
29	Kenji  Kadonaga	8
30	Shigeru  Oka	8
31	Tobias  Wittmann	9
32	David A.  Potts	10
33	David A.  Potts	11
34	Mark D.  Owen	12
35	Tom  McNeil	12
36	Francois  Vlach	12
37	Joseph Phillip  Ehrhardt	13
38	Miguel  Gonzales	13
39	Joon Ha  Kim	14
40	Sarper  Sarp	14
41	Ji Jung  Lee	14
42	Jason Craig  Snydmiller	15
43	Stuart Allan  Snydmiller	15
44	William G.  Conner	16
45	Mohammed A.  Al-Hajri	16
46	Thomas E.  Schultz	16
47	Michael  Howdeshell	16
48	Chad L.  Felch	16
49	Matthew  Patterson	16
50	Samuel  Shafarik	16
51	Curt  Cooley	16
52	Peter G.  Stroot	17
53	Jimmie A.  Keeton	18
54	Coyte R  Jones	19
55	Robert C  Jones	19
56	William G.  CONNER	20
57	Osama I.  FAGEEHA	20
58	Thomas E.  SCHULTZ	20
59	Edmundo  Ganter Parga	21
60	Oded  Erez	22
61	Adi  Erez	22
62	Izhar  Halahmi	22
63	Oded  Erez	23
64	Adi  Erez	23
65	Izhar  Halahmi	23
66	Coyte R.  Jones	24
67	Robert C.  Jones	24
68	Charles Doyle  Fleishman	25
69	Edwin T.  Sortwell	26
70	Tim  Heffernan	27
71	Bruce  REA	27
72	Huagang  Zhang	28
73	Lijun  Mao	28
74	Paul Owen  Kramer	28
75	Caidian  Luo	28
76	Ryan Matthew  Sullivan	28
77	John Andrew  Joecken	28
78	Marko  Suput	28
79	David C. Rennard	29
80	Justin D. Pace	29
81	Thomas R. Palmer	29
82	Frank R. FITCH	30
83	Naresh J. Suchak	30
84	Donald E. Henley	31
85	Kaj Jansson	32
86	Iiris Joensuu	32
87	Marjatta Piironen	32
88	Jukka-Pekka Sirvio	32
89	Tapio Yrjanainen	32
90	Fernando Fischmann T.	33
91	David S. Soane	34
92	Nathan Ashcraft	34
93	Phyo Kyaw	34
94	CARLTON DUDDING	35
95	James T. Mullowney	36
96	Theresa L. O'Keefe	36
97	John Lean	37
98	Scott Griffin	37
99	Matthew Taylor	37
100	David R. Van Vliet	38
101	Herbert Wallace Campbell	38
102	Stephen Barrie Chambers	38
103	Hector Alvarez-Vazquez	38
104	Donald M. D. Gray	39
105	Yuyun Shang	39
106	Carlton Dudding	40
107	Richard Helferich	41
108	Ramachandra R. Revur	41
109	Suvankar Sengupta	41
110	J. Richard Schorr	41
111	Roger W. Carson	42
112	Bruce W. Bremer	42
113	Michael L. Mastracci	42
114	Kent E. Maggard	42
115	Steven Zimmerman	43
116	Van T. Walworth	43
117	Scott Drummond	43
118	Robert P. Carnahan	44
119	Christopher C. Tubbs	44
120	Nidal Samad	44
121	Paul Stocks	45
122	Ian John Flanagan	45
123	Gregor Brodt	45
124	Stephen Adkins	45
125	Eli Gruber	46
126	Miguel Ribeiro	46
127	BADER SHAFAQA AL-ANZI	47
128	BADER SHAFAQA AL-ANZI	48
129	Bernard F. Duesel, Jr.	49
130	Michael J. Rutsch	49
131	Corwyn Oldfield	50
132	Riad A. Al-Samadi	51
133	Carlton Dudding	52
134	Dong Chen	53
135	ALBERT N. HEICHBERGER	54
136	HSIN-YING LIU	55
137	MICHAEL WAYNE FALK, JR.	55
138	Mark A. Williams	56
139	Alan R. Williams	56
140	Nazli Yesiller	57
141	James Lewis Hanson	57
142	Stephen A. Maher	58
143	Kord J. Wissmann	58
144	Gholemhossein (Shahrad) KARIMI	59
145	Darren MacDonald	59
146	Marcus Hoefken	60
147	Kurt Ingerle	61
148	Kaigen Zhou	62
149	Michael W. Slutz	63
150	Stephen A. Maher	64
151	Kord J. Wissmann	64
152	Peter G. Stroot	65
153	James Weifu Lee	66
154	Soren Johannes Hojsgaard	67
155	Tom Kraemer	68
156	Charles Kemper	68
157	Jan Allen	68
158	Joseph Atzmon	69
159	William G. Conner	70
160	Mohammed A. Al-Hajri	70
161	Thomas E. Schultz	70
162	Michael Howdeshell	70
163	Chad L. Felch	70
164	Matthew Patterson	70
165	Samuel Shafarik	70
166	Curt Cooley	70
167	Roger Allen Nolte	71
168	Robert L. McGinnis	72
169	Joseph Edward Zuback	72
170	James Joseph Manno, JR.	73
171	Jacqueline Lilja Manno	73
172	Jason A. Demers	74
173	Scott A. Leonard	74
174	Kingston Owens	74
175	Kenneth J. Kistner	75
176	Carolyn R. Kistner	75
177	Huansheng Zhong	76
178	Xuewei Wu	76
179	Jiacong Wu	76
180	Zhimin Sun	76
181	Haiying Yang	76
182	Joshua Curlett	77
183	Samuel Curlett	77
184	Jesse Curlett	77
185	Harry Curlett	77
186	Hongqiang Ren	78
187	Yunjun Yang	78
188	Lili Ding	78
189	Xiaolei Shi	78
190	Theodore Taylor Sand	79
191	Carlton Dudding	80
192	Mindy S. Panunzio	81
193	Prakash N. Govindan	82
194	Karan H. Mistry	82
195	John H. Lienhard	82
196	Syed M. Zubair	82
197	Zicheng WU	83
198	Karthikeyan Sathrugnan	84
199	Lew Andrew Reyes	84
200	Rahul Shankar BHADURI	85
201	Alexander E. KUPERMAN	85
202	Peter L. Fraenkel	86
203	Richard Montague	86
204	Charles F. Julian	87
205	Mark A. Williams	87
206	Alan R. Williams	87
207	Kraig Johnson	88
208	Lawrence D. Reaveley	88
209	Fred Jaeger	88
210	Hua Xu	88
211	Robert Okey	88
212	Michio NISHI	89
213	Takehiro TANAKA	89
214	Shizuo TAIRA	89
215	David Stanley Lawry	90
216	Daniel P. Bjorklund	91
217	David Kersey	91
218	Gregory J. Mandigo	91
219	Chandrakant Tiwari	91
220	Roger L. Simpson	92
221	K. Todd Lowe	92
222	Quinn Q. Tian	92
223	Siqing Xia	93
224	Zhiqiang Zhang	93
225	David A. Potts	94
226	Mark Y. Kigel	95
227	Oleksandr O. Kovalenko	95
228	Leonard B. Goldman	95
229	John F. Shultis	95
230	Pierre Dumons	96
231	Gang YUAN	97
232	Hendrikus Johannes VAN DER MEIJDEN	98
233	Josef Merai	99
234	William G. Conner	100
235	Mohammed A. Al-Hajri	100
236	Thomas E. Schultz	100
237	Michael Howdeshell	100
238	Chad L. Felch	100
239	Matthew Patterson	100
240	Samuel Shafarik	100
241	Curt Cooley	100
242	Fernando Benjamin Fischmann T.	101
243	Thomas A. Davis	102
244	Malynda A. Cappelle	102
245	Keith R. Minnich	103
246	David E. Gamache	103
247	John Kus	103
248	Dennis Frank Hussey	104
249	David Bradbury	104
250	George Richard Elder	104
251	Lisa Maxine Edwards	104
252	Kashi Banerjee	105
253	Charles D. Blumenschein	105
254	John Charles Schrader	105
255	Richard B. Peterson	106
256	Robbie Ingram-Goble	106
257	Kevin J. Harada	106
258	Gregory D. Graves	107
259	Matthew David STEWART	108
260	Brian Edward Connelly	108
261	Daniel Charles Habicht	108
262	Daekyoo Hwang	109
263	George W. Smith	110
264	Wenjun Liu	110
265	Michael L. Doyle	110
266	Colin M. McKean	110
267	Sean G. Callan	111
268	Juan I. Baez	111
269	Sean G. Callan	112
270	Juan I. Baez	112
271	Frederick C. Wilkins	113
272	Evgeniya Freydina	113
273	Aytac Sezgi	113
274	Reshma Madhusudan	113
275	Anil Jha	113
276	Ivano Aglietto	114
277	Jonathan E. Martin	115
278	Joel W. Quinn	115
279	Shanon Rogers	115
280	Karl Duncan Bishop	116
281	Michael A. Bilodeau	116
282	Susan G. Mackay	116
283	Douglas M. Ruthven	116
284	Gerd Peter Waschke	117
285	WILLIAM GREEN	118
286	Detlev K. Johnson	119
287	LARRY SAIK	120
288	Stephen C. Kurtzman	121
289	James W. Patten	122
290	Patrick Descamps	123
291	Claude Prevot	123
292	Andre Haubry	123
293	Fernando Alberto Grazziotin	124
294	John P. Osegovic	125
295	Michael D. Max	125
296	Shelli R. Tatro	125
297	Tianxi ZHANG	126
298	Richard CROWELL	126
299	Peter J. Ianniello	127
300	Giovanni Capra	127
301	Hongqiang Ren	128
302	Yunjun Yang	128
303	Lili Ding	128
304	Xiaolei Shi	128
305	Gina Young Becker	129
306	Sigifredo Castro Diaz	129
307	Michael Hanson	129
308	Kylo Martin Heller	129
309	Dean Thompson	129
310	Brent R. Constantz	130
311	Andrew Youngs	130
312	Terence C. Holland	130
313	David Michael Jones	131
314	Tommy Spikes	131
315	Chris Timpson	131
316	Raymond J. Roussy	132
317	Dale Marshall	133
318	William L. French, SR.	134
319	Achim Kopmeier	135
320	Ning Chong	136
321	Lan Wong	136
322	Ning CHONG	137
323	Lan WONG	137
324	James Tafoya	138
325	Bert ZAUDERER	139
