patent	us_class
0	134/166.R
1	106/627
2	204/554
3	588/002
4	210/709
5	210/636
6	053/434
7	405/286
8	604/368
9	210/609
10	210/741
11	210/747.9
12	422/004
13	248/534
14	210/648
15	210/634
16	210/739
17	210/605
18	210/610
19	048/204
20	210/631
21	210/614
22	405/302.7
23	405/302.7
24	201/006
25	405/270
26	524/060
27	204/571
28	210/681
29	210/710
30	423/581
31	210/695
32	210/727
33	210/742
34	209/162
35	405/038
36	588/317
37	210/666
38	210/198.1
39	210/613
40	405/129.95
41	210/670
42	204/252
43	052/220.1
44	210/707
45	210/721
46	210/749
47	588/250
48	588/250
49	261/123
50	210/615
51	210/652
52	405/129.95
53	210/636
54	435/134
55	435/136
56	702/005
57	165/104.13
58	405/233
59	106/708
60	261/072.1
61	210/609
62	518/702
63	029/428
64	405/271
65	210/605
66	203/010
67	210/742
68	435/029
69	210/610
70	210/631
71	052/294
72	210/637
73	588/257
74	203/001
75	210/150
76	071/012
77	203/010
78	210/721
79	210/804
80	405/129.55
81	203/010
82	203/011
83	210/638
84	210/652
85	210/721
86	405/232
87	703/001
88	210/615
89	241/060
90	404/004
91	166/266
92	405/211
93	210/710
94	210/620
95	210/629
96	435/262
97	210/708
98	210/167.1
99	210/609
100	210/615
101	210/758
102	060/641.8
103	405/129.2
104	588/018
105	210/614
106	060/651
107	210/150
108	210/671
109	405/128.25
110	210/605
111	405/233
112	406/014
113	204/524
114	210/748.09
115	210/198.1
116	405/129.9
117	210/623
118	210/767
119	210/603
120	210/806
121	210/693
122	405/055
123	210/513
124	210/741
125	210/642
126	435/252.1
127	428/086
128	210/721
129	210/709
130	052/223.1
131	405/019
132	405/239
133	165/045
134	405/229
135	210/096.1
136	210/602
137	210/602
138	210/774
139	705/500
140	405/195.1
141	210/626
142	252/182.3
143	405/129.95
144	405/129.6
145	405/129.6
146	405/272
147	588/016
148	205/758
149	405/302.4
150	210/748.17
151	248/201
152	405/195.1
153	405/128.1
154	052/167.1
155	422/187
156	405/129.95
157	210/752
158	062/003.2
159	210/631
160	435/262
161	106/484
162	210/631
163	222/190
164	205/701
165	071/012
166	210/614
167	210/631
168	204/524
169	106/772
170	106/817
171	210/688
172	405/271
173	435/262
174	405/286
175	210/748.17
176	435/262
177	203/011
178	202/176
179	210/631
180	210/097
181	405/129.9
182	210/660
183	210/749
184	588/319
185	052/302.3
186	521/040
187	210/603
188	252/373
189	095/187
190	071/008
191	210/741
192	052/019
193	210/610
194	405/302.4
195	071/012
196	205/743
197	210/665
198	210/737
199	588/309
200	502/151
201	588/312
202	062/064
203	588/256
204	210/605
205	159/004.1
206	210/603
207	405/239
208	210/652
209	405/282
210	435/262
211	210/709
212	210/710
213	405/195.1
214	205/688
215	405/302.4
216	114/264
217	588/252
218	210/602
219	062/617
220	588/249.5
221	210/740
222	210/652
223	210/638
224	210/662
225	526/229
226	210/603
227	201/018
228	405/267
229	210/710
230	210/683
231	204/632
232	205/688
233	210/202
234	210/747
235	205/743
236	405/284
237	166/266
238	210/634
239	071/012
240	405/128.1
241	422/194
242	588/256
243	052/169.13
244	204/524
245	210/138
246	210/638
247	210/626
248	502/172
249	052/169.5
250	052/020
251	210/602
252	205/688
253	210/604
254	210/758
255	210/652
256	205/688
257	210/722
258	210/738
259	405/195.1
260	210/195.3
261	210/689
262	210/713
263	210/638
264	210/151
265	210/116
266	423/437.1
267	205/688
268	210/605
269	210/631
270	405/129.1
271	210/650
272	510/507
273	205/080
274	210/609
275	210/170.8
276	210/170.8
277	210/745
278	210/143
279	422/001
280	210/603
281	405/263
282	588/318
283	405/128.1
284	004/222
285	210/603
286	261/121.1
287	210/734
288	405/128.75
289	210/613
290	209/012.1
291	210/725
292	210/602
293	205/688
294	210/747
295	210/738
296	166/303
297	203/003
298	203/027
299	159/047.3
300	210/143
301	210/609
302	210/205
303	204/278.5
304	210/500.23
305	052/293.3
306	052/741.3
307	210/652
308	210/702
309	210/605
310	210/603
311	210/702
312	210/151
313	210/748
314	435/262
315	210/717
316	210/195.1
317	405/129.95
318	209/003.1
319	210/716
320	241/024.1
321	210/195.1
322	210/119
323	210/724
324	210/741
325	404/076
326	052/019
327	210/770
328	510/370
329	210/167.01
330	201/041
331	588/256
332	210/605
333	588/256
334	588/250
335	210/602
336	210/748
337	261/122.1
338	405/128.75
339	210/695
340	210/699
341	210/724
342	588/321
343	210/620
344	210/724
345	034/060
346	210/605
347	588/318
348	106/668
349	405/129.95
350	052/514
351	210/620
352	405/128.25
353	428/402
354	210/175
355	210/773
356	405/237
357	210/202
358	405/128.15
359	134/042
360	210/761
361	210/605
362	405/129.85
363	405/129.1
364	405/129.1
365	588/256
366	210/748
367	405/129.9
368	210/617
369	210/800
370	210/748
371	210/723
