index,english,math,korean,average,average_3,avg_gap,extra_edu,sleep_time
0,100.0,77.4,95.0,92.26,90.8,1.460000000000008,3.0,6.0
1,70.0,65.0,85.0,78.0,73.33333333333333,4.666666666666671,4.0,6.0
2,57.3,62.6,94.0,64.2,71.3,-7.099999999999994,6.0,6.0
3,83.2,74.0,91.6,75.68,82.93333333333332,-7.253333333333316,3.0,6.0
4,54.9,97.0,87.6,80.53,79.83333333333333,0.6966666666666725,5.0,7.0
5,60.0,80.0,60.0,70.0,66.66666666666667,3.3333333333333286,,8.0
6,54.4,95.0,81.2,78.3,76.86666666666667,1.433333333333323,4.0,7.0
7,91.7,96.0,96.8,93.08,94.83333333333333,-1.7533333333333303,3.0,8.0
8,94.0,90.0,91.0,89.78,91.66666666666667,-1.8866666666666703,1.0,6.0
9,66.0,91.0,82.0,78.24,79.66666666666667,-1.4266666666666765,4.0,6.0
10,64.5,94.0,92.0,79.61,83.5,-3.8900000000000006,3.0,7.0
11,62.0,70.0,88.0,62.0,73.33333333333333,-11.333333333333329,,7.5
12,47.6,56.8,90.6,65.86,65.0,0.8599999999999994,1.0,6.5
13,71.6,85.4,88.6,87.44,81.86666666666666,5.573333333333338,1.0,8.0
14,56.0,68.0,95.0,3.5,73.0,-69.5,1.0,6.0
15,81.7,87.2,91.0,90.0,86.63333333333333,3.3666666666666742,4.0,6.0
16,84.0,74.0,85.0,2.92,81.0,-78.08,4.0,5.0
17,60.9,82.0,88.6,3.84,77.16666666666667,-73.32666666666667,2.0,6.0
18,47.0,54.0,64.5,52.0,55.166666666666664,-3.1666666666666643,2.0,4.0
19,47.0,54.0,64.5,52.0,55.166666666666664,-3.1666666666666643,2.0,4.0
20,46.0,59.0,70.0,59.2,58.333333333333336,0.8666666666666671,3.0,6.0
21,64.0,68.0,76.0,67.0,69.33333333333333,-2.3333333333333286,1.0,7.0
22,64.3,89.7,84.5,80.02,79.5,0.519999999999996,2.0,6.0
23,78.0,82.0,91.0,88.0,83.66666666666667,4.333333333333329,3.0,7.0
