"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20190709","중앙선","지평","92","63","20190712"
"20190709","중앙선","용문","2612","2613","20190712"
"20190709","중앙선","원덕","465","449","20190712"
"20190709","중앙선","양평","3695","3757","20190712"
"20190709","중앙선","오빈","357","348","20190712"
"20190709","중앙선","아신","644","647","20190712"
"20190709","중앙선","국수","921","900","20190712"
"20190709","중앙선","신원","189","171","20190712"
"20190709","중앙선","양수","2886","2832","20190712"
"20190709","중앙선","운길산","804","801","20190712"
"20190709","중앙선","팔당","962","951","20190712"
"20190709","중앙선","도심","3208","2497","20190712"
"20190709","중앙선","덕소","7092","7016","20190712"
"20190709","중앙선","양정","1034","893","20190712"
"20190709","중앙선","도농","11437","10048","20190712"
"20190709","중앙선","구리","15966","15974","20190712"
"20190709","중앙선","양원","2182","2334","20190712"
"20190709","중앙선","망우","9058","8766","20190712"
"20190709","중앙선","상봉(시외버스터미널)","6682","6519","20190712"
"20190709","중앙선","중랑","6605","6299","20190712"
"20190709","중앙선","회기","30140","29023","20190712"
"20190709","장항선","신창(순천향대)","1363","1333","20190712"
"20190709","장항선","온양온천","5643","5751","20190712"
"20190709","장항선","배방","1155","1095","20190712"
"20190709","장항선","아산","2908","2684","20190712"
"20190709","장항선","쌍용(나사렛대)","2518","2282","20190712"
"20190709","장항선","봉명","1782","1809","20190712"
"20190709","일산선","대화","17077","13060","20190712"
"20190709","일산선","주엽","11380","11910","20190712"
"20190709","일산선","정발산","9002","9525","20190712"
"20190709","일산선","마두","9534","9993","20190712"
"20190709","일산선","백석","12621","12810","20190712"
"20190709","일산선","대곡","2083","1531","20190712"
"20190709","일산선","화정","21770","22603","20190712"
"20190709","일산선","원당","13503","12808","20190712"
"20190709","일산선","삼송","18773","18085","20190712"
"20190709","일산선","원흥","9890","9294","20190712"
"20190709","우이신설선","신설동","2396","2330","20190712"
"20190709","우이신설선","보문","1710","1846","20190712"
"20190709","우이신설선","성신여대입구(돈암)","4191","4453","20190712"
"20190709","우이신설선","정릉","4902","4443","20190712"
"20190709","우이신설선","북한산보국문","6742","6162","20190712"
"20190709","우이신설선","솔샘","6616","6335","20190712"
"20190709","우이신설선","삼양사거리","2733","2834","20190712"
"20190709","우이신설선","삼양","2251","2419","20190712"
"20190709","우이신설선","화계","3927","3681","20190712"
"20190709","우이신설선","가오리","4700","4614","20190712"
"20190709","우이신설선","4.19민주묘지","3139","3092","20190712"
"20190709","우이신설선","솔밭공원","2758","2775","20190712"
"20190709","우이신설선","북한산우이","2872","2548","20190712"
"20190709","안산선","수리산","5246","4122","20190712"
"20190709","안산선","오이도","11116","10605","20190712"
"20190709","안산선","정왕","8082","8892","20190712"
"20190709","안산선","신길온천","1951","1728","20190712"
"20190709","안산선","안산","15027","13440","20190712"
"20190709","안산선","초지","4142","4131","20190712"
"20190709","안산선","고잔","9814","9359","20190712"
"20190709","안산선","중앙","18478","19339","20190712"
"20190709","안산선","한대앞","9051","8981","20190712"
"20190709","안산선","상록수","21750","21412","20190712"
"20190709","안산선","반월","5406","5079","20190712"
"20190709","안산선","대야미","5071","4665","20190712"
"20190709","안산선","산본","20138","21511","20190712"
"20190709","수인선","인천","1170","1981","20190712"
"20190709","수인선","신포","2158","2244","20190712"
"20190709","수인선","숭의","4582","4399","20190712"
"20190709","수인선","인하대","6490","6169","20190712"
"20190709","수인선","송도","3251","3057","20190712"
"20190709","수인선","연수","5694","5533","20190712"
"20190709","수인선","원인재","5014","5202","20190712"
"20190709","수인선","남동인더스파크","2559","2889","20190712"
"20190709","수인선","호구포","4251","4267","20190712"
"20190709","수인선","인천논현","7105","7349","20190712"
"20190709","수인선","소래포구","4967","4671","20190712"
"20190709","수인선","월곶","2696","2608","20190712"
"20190709","수인선","달월","119","90","20190712"
"20190709","분당선","매교","3045","3102","20190712"
"20190709","분당선","수원시청","13241","14543","20190712"
"20190709","분당선","매탄권선","5574","5289","20190712"
"20190709","분당선","망포","16238","15076","20190712"
"20190709","분당선","영통","10233","10650","20190712"
"20190709","분당선","청명","5102","4743","20190712"
"20190709","분당선","상갈","6750","6157","20190712"
"20190709","분당선","기흥","11527","11211","20190712"
"20190709","분당선","신갈","5791","5609","20190712"
"20190709","분당선","구성","5948","5907","20190712"
"20190709","분당선","죽전","17302","19132","20190712"
"20190709","분당선","보정","3427","2874","20190712"
"20190709","분당선","이매","7326","6743","20190712"
"20190709","분당선","오리","14865","12739","20190712"
"20190709","분당선","미금","20474","21931","20190712"
"20190709","분당선","정자","20321","21925","20190712"
"20190709","분당선","수내","16886","16893","20190712"
"20190709","분당선","서현","32389","33080","20190712"
"20190709","분당선","야탑","32876","34325","20190712"
"20190709","분당선","모란","29609","30665","20190712"
"20190709","분당선","태평","15954","15519","20190712"
"20190709","분당선","가천대","8439","9760","20190712"
"20190709","분당선","선정릉","9477","10355","20190712"
"20190709","분당선","강남구청","11326","13146","20190712"
"20190709","분당선","압구정로데오","18514","20922","20190712"
"20190709","분당선","서울숲","9938","9933","20190712"
"20190709","분당선","수원","9701","6643","20190712"
"20190709","분당선","복정","2","0","20190712"
"20190709","분당선","수서","16466","16688","20190712"
"20190709","분당선","대모산입구","4069","3769","20190712"
"20190709","분당선","개포동","3722","3900","20190712"
"20190709","분당선","구룡","2214","2165","20190712"
"20190709","분당선","도곡","8402","8559","20190712"
"20190709","분당선","한티","17156","18405","20190712"
"20190709","분당선","선릉","14442","23903","20190712"
"20190709","과천선","범계","32620","32024","20190712"
"20190709","과천선","평촌","21602","21296","20190712"
"20190709","과천선","인덕원","29639","29900","20190712"
"20190709","과천선","정부과천청사","13633","13391","20190712"
"20190709","과천선","과천","6020","5405","20190712"
"20190709","과천선","대공원","3439","3665","20190712"
"20190709","과천선","경마공원","1183","1164","20190712"
"20190709","과천선","선바위","10745","9051","20190712"
"20190709","공항철도 1호선","영종","2935","2980","20190712"
"20190709","공항철도 1호선","인천공항2터미널","5574","4718","20190712"
"20190709","공항철도 1호선","인천공항1터미널","16567","16492","20190712"
"20190709","공항철도 1호선","공항화물청사","2764","3114","20190712"
"20190709","공항철도 1호선","운서","7388","7613","20190712"
"20190709","공항철도 1호선","청라국제도시","7763","7325","20190712"
"20190709","공항철도 1호선","검암","9528","9327","20190712"
"20190709","공항철도 1호선","계양","12166","11467","20190712"
"20190709","공항철도 1호선","김포공항","11433","7929","20190712"
"20190709","공항철도 1호선","마곡나루","6828","6273","20190712"
"20190709","공항철도 1호선","디지털미디어시티","15859","14181","20190712"
"20190709","공항철도 1호선","홍대입구","12088","11756","20190712"
"20190709","공항철도 1호선","공덕","2690","3483","20190712"
"20190709","공항철도 1호선","서울역","12097","10030","20190712"
"20190709","경춘선","춘천","1656","1479","20190712"
"20190709","경춘선","남춘천","2676","2736","20190712"
"20190709","경춘선","김유정","337","387","20190712"
"20190709","경춘선","강촌","567","469","20190712"
"20190709","경춘선","백양리","138","133","20190712"
"20190709","경춘선","굴봉산","172","164","20190712"
"20190709","경춘선","가평","2986","2773","20190712"
"20190709","경춘선","상천","399","350","20190712"
"20190709","경춘선","청평","2770","2425","20190712"
"20190709","경춘선","대성리","835","815","20190712"
"20190709","경춘선","마석","4337","4188","20190712"
"20190709","경춘선","천마산","1857","1706","20190712"
"20190709","경춘선","평내호평","6808","6776","20190712"
"20190709","경춘선","금곡","1857","1804","20190712"
"20190709","경춘선","사릉","3984","3838","20190712"
"20190709","경춘선","퇴계원","4285","3962","20190712"
"20190709","경춘선","별내","3003","2859","20190712"
"20190709","경춘선","갈매","3250","2890","20190712"
"20190709","경춘선","신내","953","1050","20190712"
"20190709","경인선","도화","4787","4328","20190712"
"20190709","경인선","중동","11485","10833","20190712"
