"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
222-2-000031,사능 제2공영,공영,노외,,경기도 남양주시 진건읍 사능리 590-2번지 일원(구 사능역),118,1,요일제,평일+토요일,07:00,17:00,00:00,00:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-2-000032,별내동 제1공영,공영,노외,,경기도 남양주시 별내동935(별내동 파출소 뒤),54,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-2-000033,화도 제7공영,공영,노외,,경기도 남양주시 화도읍 734번지(원병원 건너편),44,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-2-000034,천마산 공영,공영,노외,,경기도 남양주시 화도읍 묵현리 353번지(천마산역 후문),82,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000001,금곡 노상제1,공영,노상,,"경기도 남양주시 금곡동 185-54,202-8(시청 후문)",17,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6362478,127.2160686,2017-04-18
222-1-000002,금곡 노상제2,공영,노상,경기도 남양주시 사릉로34번길 48,경기도 남양주시 금곡동 158-95(삼정빌딩 앞),12,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6359744,127.2138381,2017-04-18
222-1-000003,금곡 노상제3,공영,노상,경기도 남양주시 금곡로19번길 14,경기도 남양주시 금곡동 428-8(개인택시조합사무실),43,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6349688,127.2058095,2017-04-18
222-1-000004,와부 노상제1,공영,노상,경기도 남양주시 덕소로97번길 12,경기도 남양주시 와부읍 덕소리 111-2,28,1,미시행,평일+토요일,09:00,20:00,09:00,20:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,현금,"경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",(사)한국교통장애인협회 남양주시지회,031-595-1115,37.5849923,127.2141496,2017-04-18
222-1-000005,와부 노상제2,공영,노상,,"경기도 남양주시 와부읍 덕소리 600-36,600-39(강변삼익아파트 정문 앞)",39,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.5863249,127.2065631,2017-04-18
222-1-000006,진접 노상제1,공영,노상,경기도 남양주시 진접읍 봉현로 19,경기도 남양주시 진접읍 장현리 677-4(장현주공아파트 뒤),54,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7155109,127.1804091,2017-04-18
222-1-000007,호평 노상제1,공영,노상,경기도 남양주시 늘을2로 26,경기도 남양주시 호평동 643(호평싸이더스 뒤),36,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.6550885,127.2441097,2017-04-18
222-1-000008,화도 노상제3,공영,노상,경기도 남양주시 화도읍 비룡로 58,경기도 남양주시 화도읍 마석우리 391(마석택지지구),38,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.6572322,127.3019862,2017-04-18
222-1-000009,퇴계원 노상제2,공영,노상,경기도 남양주시 퇴계원면 도제원로 61,"경기도 남양주시 퇴계원면,리 221-2(강남아파트 옆)",36,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6496806,127.1447455,2017-04-18
222-1-000010,진접 노상제3,공영,노상,경기도 남양주시 진접읍 장현천로 19,경기도 남양주시 진접읍 장현리 288-1(장현 농협건너편),43,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7183452,127.1840364,2017-04-18
222-1-000011,금곡 노상제6,공영,노상,경기도 남양주시 홍유릉로248번길 21,경기도 남양주시 금곡동 651-5(다남프라자 앞),15,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6268483,127.2020851,2017-04-18
222-1-000012,지금 노상제1,공영,노상,,경기도 남양주시 가운동 707,19,1,요일제,평일+토요일,10:00,19:00,10:00,19:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,현금,"경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",제일파킹,,37.6047823,127.156391,2017-04-18
222-1-000013,진접 노상제2,공영,노상,,"경기도 남양주시 진접읍 팔야리 788-3,786-8,781-1(팔야리 종점인근)",37,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,,,2017-04-18
222-1-000014,진접 노상제4,공영,노상,,경기도 남양주시 진접읍 금곡리 1127-113번지 외,77,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,현금,"경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",블루파킹,,37.7147408,127.1976917,2017-04-18
222-1-000015,화도 노상제2,공영,노상,,경기도 남양주시 화도읍 창현리 740(화도센터 건너편),19,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.649868,127.3039643,2017-04-18
222-1-000016,진접 노상제5,공영,노상,,경기도 남양주시 진접읍 금곡리 1127-16번지(진접택지/신한은행 뒤),58,1,요일제,평일+토요일,09:00,18:00,09:00,18:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,"현금,  신용카드","경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",남양주도시공사 주차관리팀,031-560-1212,37.7211805,127.195835,2017-04-18
222-1-000017,금곡 노상제4,공영,노상,경기도 남양주시 홍유릉로248번길 21,경기도 남양주시 금곡동 671(금강아파트 앞),15,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.6268483,127.2020851,2017-04-18
222-1-000018,지금 노상제2,공영,노상,,경기도 남양주시 가운동 718,24,1,요일제,평일+토요일,10:00,19:00,10:00,19:00,00:00,00:00,유료,30,600,10,300,250,7000,70000,현금,"경차 60프로, 장애인 차량 50프로 할인남양주시 주차장조례 별표 1(주차장 감면 사항 참고) 이하 동일 적용",가온,,37.6043362,127.1557468,2017-04-18
222-1-000019,별내면 노상제1,공영,노상,경기도 남양주시 별내면 청학리 중앙길 75,"경기도 남양주시 별내면 청학리 412-4,409-6(청학주공 2단지 건너편)",86,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7076023,127.1193785,2017-04-18
222-1-000020,별내면 노상제2,공영,노상,경기도 남양주시 별내면 청학리 중앙길 68,경기도 남양주시 별내면 청학리409-6(청학주공 2단지 앞),81,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,0,0,0,,,남양주도시공사 주차관리팀,031-560-1212,37.7093221,127.1149946,2017-04-18
