구분,상세,제주시 동부,제주시 서부,서귀포시
교통신호등 및 경보등 (개소),교차로 교통신호등 ,253,182,255
교통신호등 및 경보등 (개소),단일로 교통신호등,47,19,24
교통신호등 및 경보등 (개소),경보등,87,93,183
등기구,4색등 차량등,1656,1286,1584
등기구,3색등 차량등,615,357,490
등기구,3색등(→) 차량등,165,60,178
등기구,3색등 차량보조등,46,17,8
등기구,2색등 차량보조등,128,166,118
등기구,2색등 보행등,1548,1038,1246
철주 및 부착대 (대),250 차량철주,146,84,143
철주 및 부착대 (대),200 차량철주,864,521,663
철주 및 부착대 (대),8m 보행철주,524,413,532
철주 및 부착대 (대),11m 보행철주,3,0,0
철주 및 부착대 (대),9m 보행철주,193,91,99
철주 및 부착대 (대),7m 보행철주,637,364,593
철주 및 부착대 (대),5m 보행철주,258,217,234
잔여시간표시기 (대),숫자형,458,166,266
잔여시간표시기 (대),도형식,48,4,39
보행자작동신호기 (대),-,20,8,20
시각장애인용음향신호기 (대),-,456,194,256
교통신호제어기(대),일반제어기,2,2,0
교통신호제어기(대),전자제어기 GPS,0,0,18
교통신호제어기(대),전자제어기 모뎀,3,0,0
교통신호제어기(대),표준제어기 GPS,188,133,232
교통신호제어기(대),표준제어기 모뎀,88,62,18
교차로 구분 (개소),ITS제어 교차로수,92,62,18
교차로 구분 (개소),수동제어 교차로수,199,137,258
