교육청명,교육지원청명,유치원명,설립유형,실내공기질 점검일자,실내공기질 점검결과,정기소독 의무대상시설여부,정기소독 점검일자,정기소독 점검결과,음용수종류(먹는샘물(생수)),음용수종류(정수기),음용수종류(상수도),음용수종류(지하수),지하수 사용시 수질 검사여부,지하수 사용시 검사일자,지하수 사용시 검사결과,미세먼지 검사일자,미세먼지 검사결과,조도관리 검사일자,조도관리 검사결과
강원도교육청,강릉교육지원청,가온유치원,사립(사인),2018-10-08,적합,실시,2019-04-10,실시,,O,O,,미실시,-,-,2018-10-08,적합,2018-10-08,적합
강원도교육청,강릉교육지원청,강동초등학교병설유치원,공립(병설),2018-10-23,적합,실시,2019-02-26,실시,,,O,,미실시,-,-,2018-10-23,적합,2018-10-23,적합
강원도교육청,강릉교육지원청,강릉유치원,사립(사인),2018-10-02,적합,실시,2019-03-21,실시,,O,O,,미실시,-,-,2018-10-02,적합,2018-10-02,적합
강원도교육청,강릉교육지원청,강릉초등학교병설유치원,공립(병설),2018-10-10,적합,실시,2019-02-28,실시,,,O,,미실시,-,-,2018-10-10,적합,2018-10-10,적합
강원도교육청,강릉교육지원청,경포대초등학교병설유치원,공립(병설),2018-10-02,적합,실시,2019-02-01,실시,,O,O,,미실시,-,-,2018-10-02,적합,2018-10-02,적합
강원도교육청,강릉교육지원청,경포유치원,공립(단설),2018-10-10,적합,실시,2019-03-07,실시,,O,O,,미실시,-,-,2018-10-10,적합,2018-10-10,적합
강원도교육청,강릉교육지원청,교동초등학교병설유치원,공립(병설),2018-10-05,적합,미실시,2019-02-22,실시,,,O,,미실시,-,-,2018-10-05,적합,2018-10-05,적합
강원도교육청,강릉교육지원청,구정초등학교병설유치원,공립(병설),2018-07-17,적합,실시,2019-02-12,실시,,,O,,미실시,-,-,2018-07-17,적합,2018-07-17,적합
강원도교육청,강릉교육지원청,금광초등학교병설유치원,공립(병설),2019-03-12,적합,미실시,2018-02-07,실시,,O,O,,미실시,-,-,2018-05-24,적합,2018-05-24,적합
강원도교육청,강릉교육지원청,금진초등학교병설유치원,공립(병설),2018-10-16,적합,미실시,2019-02-15,실시,,O,O,,미실시,-,-,2018-10-16,적합,2018-10-16,적합
강원도교육청,강릉교육지원청,금천유치원,사립(사인),2018-10-05,적합,실시,2019-03-05,실시,,O,O,,미실시,-,-,2018-10-02,적합,2018-10-02,적합
강원도교육청,강릉교육지원청,남산초등학교병설유치원,공립(병설),2018-10-11,적합,실시,2019-02-18,실시,O,,O,,미실시,-,-,2018-10-11,적합,2018-10-11,적합
강원도교육청,강릉교육지원청,노암초등학교병설유치원,공립(병설),2018-10-12,적합,실시,2019-02-25,실시,,,O,,미실시,-,-,2018-10-12,적합,2018-10-12,적합
강원도교육청,강릉교육지원청,명주초등학교병설유치원,공립(병설),2018-10-11,적합,실시,2018-11-21,실시,,,O,,미실시,-,-,2019-04-01,적합,2019-03-04,적합
강원도교육청,강릉교육지원청,모산초등학교병설유치원,공립(병설),2018-10-12,적합,실시,2019-02-21,실시,,O,O,,미실시,-,-,-,미실시,2018-10-12,적합
강원도교육청,강릉교육지원청,사천초등학교병설유치원,공립(병설),2018-10-02,적합,실시,2019-01-18,실시,,,O,,미실시,-,-,2018-10-02,적합,2018-10-02,적합
강원도교육청,강릉교육지원청,성산초등학교병설유치원,공립(병설),2018-10-11,적합,실시,2019-02-21,실시,,,O,,미실시,-,-,2018-10-11,적합,2018-10-11,적합
강원도교육청,강릉교육지원청,성원유치원,사립(사인),2018-05-24,적합,실시,2019-03-28,실시,,,O,,미실시,-,-,2018-05-24,적합,2018-05-24,적합
강원도교육청,강릉교육지원청,소화유치원,사립(사인),2018-10-10,적합,실시,2019-02-27,실시,,O,O,,미실시,-,-,2018-10-10,적합,2018-10-10,적합
강원도교육청,강릉교육지원청,솔향유치원,공립(단설),2018-10-04,적합,실시,2019-02-27,실시,,O,O,,미실시,-,-,2018-10-04,적합,2018-10-04,적합
강원도교육청,강릉교육지원청,신영초등학교병설유치원,공립(병설),2018-05-30,적합,미실시,2019-02-20,실시,,,O,,미실시,-,-,2018-05-30,적합,2018-05-30,적합
강원도교육청,강릉교육지원청,신왕초등학교병설유치원,공립(병설),2018-05-31,적합,미실시,2019-02-20,실시,,O,O,,미실시,-,-,-,미실시,-,미실시
강원도교육청,강릉교육지원청,연곡초등학교병설유치원,공립(병설),2018-10-02,적합,미실시,-,미실시,,,O,,미실시,-,-,2018-10-02,적합,2018-10-02,적합
강원도교육청,강릉교육지원청,영동초등학교병설유치원,공립(병설),2018-07-17,적합,미실시,2019-02-15,실시,,,O,,미실시,-,-,2018-07-17,적합,2018-07-17,적합
강원도교육청,강릉교육지원청,옥계초등학교병설유치원,공립(병설),2018-10-16,적합,실시,2019-02-15,실시,,O,O,,미실시,-,-,2018-10-16,적합,2018-10-16,적합
강원도교육청,강릉교육지원청,옥천초등학교병설유치원,공립(병설),-,미실시,실시,2019-02-28,실시,,,O,,미실시,-,-,-,미실시,-,미실시
강원도교육청,강릉교육지원청,왕산초등학교병설유치원,공립(병설),2018-07-17,적합,실시,2019-02-15,실시,,O,,O,실시,2019-03-08,적합,2018-05-23,적합,2018-05-23,적합
강원도교육청,강릉교육지원청,정동초등학교병설유치원,공립(병설),2018-10-16,적합,미실시,2019-02-11,실시,,,O,,미실시,-,-,2018-10-16,적합,2018-10-16,적합
강원도교육청,강릉교육지원청,제이엠유치원,사립(사인),2018-10-15,적합,실시,2019-03-14,실시,,O,O,,미실시,-,-,2018-10-15,적합,2018-10-15,적합
강원도교육청,강릉교육지원청,좋은유치원,사립(사인),2019-03-20,적합,실시,2019-02-15,실시,,O,O,,미실시,-,-,2019-03-22,적합,2019-03-22,적합
강원도교육청,강릉교육지원청,주문진초등학교병설유치원,공립(병설),2018-10-01,적합,미실시,2019-02-28,실시,,,O,,미실시,-,-,2018-10-01,적합,2018-10-01,적합
강원도교육청,강릉교육지원청,주영초등학교병설유치원,공립(병설),2018-10-01,적합,미실시,2019-02-22,실시,,,O,,미실시,-,-,2018-10-01,적합,2018-10-01,적합
강원도교육청,강릉교육지원청,청담유치원,사립(사인),2018-10-04,적합,실시,2019-02-15,실시,,O,O,,미실시,-,-,2018-10-04,적합,2018-10-04,적합
강원도교육청,강릉교육지원청,청송유치원,사립(사인),2018-10-15,적합,실시,2019-03-25,실시,,O,O,,미실시,-,-,2018-10-15,적합,-,미실시
강원도교육청,강릉교육지원청,프렌비숲유치원,사립(사인),2018-10-10,적합,실시,2019-02-28,실시,,O,O,,미실시,-,-,2018-05-28,적합,2018-03-07,적합
강원도교육청,강릉교육지원청,하슬라유치원,공립(단설),2018-10-12,적합,실시,2019-02-27,실시,,O,O,,미실시,-,-,-,미실시,2018-10-12,적합
강원도교육청,고성교육지원청,간성초등학교병설유치원,공립(병설),2018-09-11,적합,실시,2019-02-12,실시,,,O,,미실시,-,-,2017-10-27,적합,2017-10-27,적합
강원도교육청,고성교육지원청,거성초등학교병설유치원,공립(병설),2018-09-10,적합,실시,2019-02-14,실시,,,O,,미실시,-,-,-,미실시,2018-09-10,적합
강원도교육청,고성교육지원청,거진초등학교병설유치원,공립(병설),2018-09-10,적합,미실시,2018-02-28,실시,,O,O,,미실시,-,-,2018-09-10,적합,2018-09-10,적합
강원도교육청,고성교육지원청,공현진초등학교병설유치원,공립(병설),2018-09-11,적합,미실시,2019-02-26,실시,,,O,,미실시,-,-,-,미실시,-,미실시
강원도교육청,고성교육지원청,광산초등학교병설유치원,공립(병설),2018-09-11,적합,실시,2019-03-29,실시,,,O,,미실시,-,-,2018-09-11,적합,2018-09-11,적합
강원도교육청,고성교육지원청,대진초등학교병설유치원,공립(병설),2018-09-10,적합,실시,2019-02-21,실시,,,O,,미실시,-,-,2018-09-10,적합,2018-09-10,적합
