	patent_id	inventor
0	0	Hubert E.  Sales
1	0	Peter  Asplund
2	1	ROBERT HARVEY  MOFFETT
3	1	SIGRIDUR SOLEY  KRIST JANSDOTTIR
4	2	Paul  Garcia
5	2	Bruce S.  Beattie
6	2	Ben  Harris
7	2	Doug  Kimzey
8	2	Robert C.  Parrott
9	2	James  Micak
10	3	Gilad  Golub
11	3	Julio  Subovich
12	4	Philippe  Sauvignet
13	4	Claus  Dahl
14	4	Valey  Ursel
15	4	Celine  Levecq
16	4	Jean-Francois  Beaudet
17	5	Brian E.  Butters
18	5	Anthony L.  Powell
19	5	John D.  Pearce
20	6	Bruce  Henniges
21	6	Douglas L.  Tyler
22	6	James G.  Walen
23	6	Chunwu  Wu
24	7	Henry G  Justiniano
25	8	Yoshihiko  Masuda
26	8	Masazumi  Sasabe
27	8	Seiji  Kato
28	8	Atsushi  Tachibana
29	8	Kenji  Kadonaga
30	8	Shigeru  Oka
31	9	Tobias  Wittmann
32	10	David A.  Potts
33	11	David A.  Potts
34	12	Mark D.  Owen
35	12	Tom  McNeil
36	12	Francois  Vlach
37	13	Joseph Phillip  Ehrhardt
38	13	Miguel  Gonzales
39	14	Joon Ha  Kim
40	14	Sarper  Sarp
41	14	Ji Jung  Lee
42	15	Jason Craig  Snydmiller
43	15	Stuart Allan  Snydmiller
44	16	William G.  Conner
45	16	Mohammed A.  Al-Hajri
46	16	Thomas E.  Schultz
47	16	Michael  Howdeshell
48	16	Chad L.  Felch
49	16	Matthew  Patterson
50	16	Samuel  Shafarik
51	16	Curt  Cooley
52	17	Peter G.  Stroot
53	18	Jimmie A.  Keeton
54	19	Coyte R  Jones
55	19	Robert C  Jones
56	20	William G.  CONNER
57	20	Osama I.  FAGEEHA
58	20	Thomas E.  SCHULTZ
59	21	Edmundo  Ganter Parga
60	22	Oded  Erez
61	22	Adi  Erez
62	22	Izhar  Halahmi
63	23	Oded  Erez
64	23	Adi  Erez
65	23	Izhar  Halahmi
66	24	Coyte R.  Jones
67	24	Robert C.  Jones
68	25	Charles Doyle  Fleishman
69	26	Edwin T.  Sortwell
70	27	Tim  Heffernan
71	27	Bruce  REA
72	28	Huagang  Zhang
73	28	Lijun  Mao
74	28	Paul Owen  Kramer
75	28	Caidian  Luo
76	28	Ryan Matthew  Sullivan
77	28	John Andrew  Joecken
78	28	Marko  Suput
79	29	David C. Rennard
80	29	Justin D. Pace
81	29	Thomas R. Palmer
82	30	Frank R. FITCH
83	30	Naresh J. Suchak
84	31	Donald E. Henley
85	32	Kaj Jansson
86	32	Iiris Joensuu
87	32	Marjatta Piironen
88	32	Jukka-Pekka Sirvio
89	32	Tapio Yrjanainen
90	33	Fernando Fischmann T.
91	34	David S. Soane
92	34	Nathan Ashcraft
93	34	Phyo Kyaw
94	35	CARLTON DUDDING
95	36	James T. Mullowney
96	36	Theresa L. O'Keefe
97	37	John Lean
98	37	Scott Griffin
99	37	Matthew Taylor
100	38	David R. Van Vliet
101	38	Herbert Wallace Campbell
102	38	Stephen Barrie Chambers
103	38	Hector Alvarez-Vazquez
104	39	Donald M. D. Gray
105	39	Yuyun Shang
106	40	Carlton Dudding
107	41	Richard Helferich
108	41	Ramachandra R. Revur
109	41	Suvankar Sengupta
110	41	J. Richard Schorr
111	42	Roger W. Carson
112	42	Bruce W. Bremer
113	42	Michael L. Mastracci
114	42	Kent E. Maggard
115	43	Steven Zimmerman
116	43	Van T. Walworth
117	43	Scott Drummond
118	44	Robert P. Carnahan
119	44	Christopher C. Tubbs
120	44	Nidal Samad
121	45	Paul Stocks
122	45	Ian John Flanagan
123	45	Gregor Brodt
124	45	Stephen Adkins
125	46	Eli Gruber
126	46	Miguel Ribeiro
127	47	BADER SHAFAQA AL-ANZI
128	48	BADER SHAFAQA AL-ANZI
129	49	Bernard F. Duesel, Jr.
130	49	Michael J. Rutsch
131	50	Corwyn Oldfield
132	51	Riad A. Al-Samadi
133	52	Carlton Dudding
134	53	Dong Chen
135	54	ALBERT N. HEICHBERGER
