patent	ipc
0	B23P
1	G01S
2	B60Q
3	B28D
4	G09F
5	B60Q
6	G01K
7	H01L
8	G06K
9	H01L
10	B29C
11	B05D
12	G01M
13	B60W
14	B60Q
15	G02B
16	G08G
17	B60Q
18	G08G
19	E01H
20	E01C
21	G01C
22	G08G
23	G05D
24	H04N
25	G06F
26	G01N
27	H04N
28	G02B
29	A61B
30	F21V
31	C12Q
32	G06K
33	H04L
34	G06F
35	G06Q
36	H04N
37	B62D
38	G01J
39	H04N
40	G06F
41	H04N
42	G06K
43	H04W
44	E03D
45	F21V
46	H01R
47	G06K
48	A61B
49	H01L
50	A61B
51	G01M
52	G01S
53	G08G
54	H04N
55	H04N
56	G06F
57	G08G
58	G08G
59	G06K
60	B25J
61	H04W
62	G06F
63	A63B
64	C09K
65	A61F
66	G01B
67	H01Q
68	H04N
69	B60Q
70	G06F
71	G01J
72	G06K
73	G09G
74	H04M
75	A61B
76	G06F
77	G02B
78	H04N
79	H04B
80	H04N
81	G06K
82	E01C
83	A63B
84	G06G
85	A61B
86	G01B
87	G02B
88	H04N
89	G01J
90	H01L
91	G08G
92	C12M
93	H01L
94	H01L
95	E01C
96	G01J
97	G06G
98	G06K
99	B01J
100	G01K
101	G08G
102	G01J
103	G01N
104	G06K
105	F21V
106	G06F
107	G06K
108	G06F
109	G02B
110	G01K
111	B07C
112	G01N
113	B41J
114	G06K
115	F21V
116	G01J
117	G01J
118	A01B
119	G01J
120	A63F
121	G08G
122	B60Q
123	G01C
124	G06K
125	G09G
126	E04C
127	H01L
128	G02B
129	A61B
130	H01L
131	H01J
132	G06F
133	B60Q
134	G06K
135	G01R
136	B60G
137	G01C
138	A61B
139	A61B
140	H04N
141	H01L
142	H01L
143	G06K
144	G06K
145	G01J
146	A01G
147	G01J
148	G06F
149	G01N
150	F16F
151	H01L
152	E03D
153	G01N
154	G06Q
155	G08B
156	G01K
157	G06F
158	H04B
159	G06K
160	G01J
161	B60Q
162	G01J
163	G06K
164	G06F
165	G08G
166	G02B
167	B60Q
168	F21S
169	G01J
170	G02F
171	B60C
172	G01J
173	G01C
174	G01J
175	A61B
176	F21V
177	A61B
178	G06T
