patent	us_class
0	029/592
1	342/052
1	342/070
2	340/461
2	340/435
2	340/436
2	340/905
3	083/076.8
3	083/368
3	451/002
3	219/121.67
4	241/020
4	040/299.01
4	040/310
4	209/576
4	356/432
4	356/051
4	250/459.1
5	315/082
5	348/113
6	404/084.05
6	374/117
6	073/290.V
7	257/184
7	257/189
7	257/E31.001
7	257/E31.019
7	250/338.4
8	235/439
9	257/186
9	257/184
9	257/188
9	257/440
9	257/461
9	257/E31.09
9	438/094
9	250/214.1
10	264/040.3
10	073/040.5R
11	156/064
11	427/162
11	427/058
11	156/278
12	073/146
12	152/152.1
13	701/041
14	340/425.5
14	340/438
14	340/937
14	348/148
14	348/151
15	359/355
15	359/350
16	340/942
16	340/933
16	340/556
17	701/049
17	701/036
18	340/907
19	037/227
19	037/241
19	037/234
20	404/084.05
21	033/228
21	033/291
21	033/293
22	340/907
22	340/984
22	340/985
22	441/006
22	441/013
23	701/002
23	701/026
24	348/143
25	701/042
25	701/041
26	320/108
26	356/072
27	348/148
27	348/E07.085
27	348/E05.09
28	351/209
28	359/630
29	600/549
29	374/158
29	374/E01.011
30	362/294
30	362/373
31	435/006.12
31	435/287.2
32	235/462.13
33	348/077
33	700/028
33	700/022
33	709/218
33	370/276
33	348/143
33	701/031.4
33	701/002
34	703/006
35	705/305
36	348/148
36	382/104
36	340/932
36	348/028
36	348/143
37	701/025
38	250/339.01
38	250/340
39	348/148
40	345/173
40	345/174
40	178/018.01
40	178/018.06
41	315/082
41	348/148
41	315/077
42	235/439
43	455/456.2
43	455/457
43	455/414.2
43	455/456.3
43	455/458
43	455/456.1
44	004/305
44	004/301
44	004/302
44	004/313
44	239/589.1
45	362/084
45	156/280
45	156/275.5
46	439/056
47	358/001.18
47	358/001.9
47	358/001.12
47	358/003.28
47	358/540
47	600/426
47	600/434
47	600/556
47	600/407
47	604/362
47	606/116
48	600/474
48	374/121
48	600/549
49	136/244
49	136/252
50	600/420
50	600/435
50	600/425
51	073/146
52	701/514
52	701/408
52	701/409
52	701/436
52	701/439
52	701/444
52	701/468
52	701/494
52	701/500
53	340/907
54	348/148
54	348/E07.085
54	348/E05.09
55	348/149
56	463/025
57	340/920
57	340/907
57	340/910
57	340/911
57	340/917
57	701/118
58	340/905
58	340/907
59	235/491
59	235/494
59	235/454
59	235/375
60	700/248
60	700/253
60	901/001
60	901/046
61	455/456.1
62	463/020
63	473/353
64	424/401
64	362/084
64	313/483
64	252/301.4R
64	252/586
64	252/301.4S
64	252/301.4P
64	252/301.4F
64	252/301.6S
64	252/301.6R
64	514/769
64	514/770
64	424/070.7
64	424/070.1
64	424/063
64	424/059
64	424/070.9
64	252/582
64	106/287.18
64	106/287.17
64	106/287.32
64	106/287.34
64	106/031.13
64	252/588
64	977/773
65	602/004
65	128/887
65	602/054
65	606/203
65	602/005
65	002/161.7
66	702/095
67	345/156
67	455/127.1
67	455/571
68	358/003.28
68	382/100
68	358/540
69	340/425.5
69	340/438
69	348/148
69	348/151
70	235/385
70	235/487
70	705/028
71	374/121
71	374/100
71	374/208
71	600/574
72	382/103
73	345/156
74	455/414.3
74	455/414.1
74	709/219
75	600/474
75	600/549
75	250/332
75	250/334
75	250/316.1
76	358/001.15
76	707/781
76	382/312
76	707/E17.14
77	359/530
78	348/148
78	348/E07.85
79	398/106
79	398/212
79	398/128
79	398/130
79	398/135
79	345/156
79	345/158
79	250/330
79	250/339.1
79	340/825.22
79	340/825.69
79	340/825.72
79	348/734
80	348/047
80	348/E13.74
81	235/462.1
81	356/071
82	404/079
82	366/024
82	241/065
83	482/003
83	482/001
83	482/008
83	482/901
83	434/247
84	701/117
84	340/905
84	340/907
85	600/474
86	702/155
87	252/587
88	348/088
88	382/141
88	348/E07.85
89	374/121
90	257/184
90	438/014
90	257/E31.3
91	340/942
91	356/446
92	435/283.1
92	435/286.2
92	435/287.2
92	435/288.7
92	422/068.1
92	422/082.5
92	422/082.8
93	257/184
93	438/094
93	257/E31.53
93	257/E21.9
94	438/464
94	438/460
94	438/461
94	438/462
94	438/463
94	438/465
94	438/110
94	438/111
94	438/112
94	438/113
94	438/114
95	404/084.5
96	374/132
96	374/121
96	374/100
96	374/208
96	374/141
96	374/159
96	374/045
96	600/574
97	701/117
97	701/001
97	701/023
97	701/024
97	340/901
97	340/907
97	340/910
97	340/933
98	358/003.28
98	358/001.1
98	382/100
99	422/639
99	422/659
99	126/681
100	374/121
100	374/208
100	374/209
100	374/158
100	600/474
101	340/905
101	345/007
101	348/148
102	356/300
103	356/072
104	340/010.6
104	705/026
105	362/084
105	156/242
105	156/211
105	362/253
106	700/253
106	700/245
106	700/259
106	901/001
106	701/207
106	701/208
106	701/223
107	382/266
107	382/199
107	382/254
108	701/029
109	359/530
110	324/501
110	374/122
110	374/137
110	702/136
110	324/637
111	209/576
111	356/319
111	250/361.R
111	250/362
112	374/004
112	356/237.1
112	250/341.6
113	347/197
114	382/154
114	382/152
114	382/153
114	345/419
114	356/012
114	356/138
114	033/503
115	362/331
115	362/333
115	362/339
115	362/521
115	362/522
115	362/800
116	356/051
116	356/451
117	250/339.11
117	250/332
117	250/341.1
117	180/169
118	701/041
118	348/120
119	356/301
119	073/863.21
120	463/031
120	473/478
120	463/040
121	340/907
122	340/439
123	701/207
123	701/300
124	358/003.28
125	345/007
125	345/008
125	345/156
125	345/619
125	345/633
126	052/309.3
126	052/309.1
126	052/309.4
126	052/311.1
126	052/406.2
126	052/309.13
126	156/182
126	156/060
126	156/306.6
126	156/280
126	977/773
127	250/332
127	250/339.5
128	359/694
128	359/696
129	600/478
130	250/338.4
130	250/208.1
131	250/239
131	427/160
132	235/385
133	340/436
133	340/435
133	340/437
133	340/438
133	340/902
133	049/026
133	296/146.1
134	235/472.1
134	235/462.1
135	324/501
135	374/137
135	374/045
136	280/005.518
136	701/209
137	701/207
138	600/473
139	600/473
139	600/476
139	600/477
139	600/478
139	600/479
139	382/128
139	382/130
140	340/426.1
140	382/104
140	348/148
140	348/149
141	438/462
141	382/151
141	257/E21.702
142	438/462
142	257/E21.214
143	382/100
143	358/001.1
144	235/468
144	235/375
144	235/454
144	235/494
145	250/338.3
145	257/040
145	438/099
146	239/014.1
146	239/002.1
146	060/641.7
147	356/051
147	356/300
148	701/301
148	701/033
148	701/034
148	340/438
149	356/073
149	356/244
150	267/140.5
150	073/865.9
151	250/338.4
151	438/070
151	257/E31.127
152	004/305
153	073/023.31
153	073/863.21
154	705/013
154	705/014
154	705/027
154	701/200
155	340/524
155	434/323
155	482/092
155	463/047
156	702/131
156	702/134
157	701/020
157	340/928
157	701/070
158	398/107
159	235/454
160	374/121
160	374/141
160	600/549
160	374/E01.1
160	374/E13.1
161	340/438
161	180/270
161	340/435
161	701/300
162	250/339.1
162	250/370.6
162	250/503.1
163	382/104
163	382/106
163	382/154
163	382/181
164	345/174
164	345/173
164	345/177
165	340/903
165	340/435
165	340/937
165	348/119
165	348/120
166	359/604
167	362/459
167	340/468
168	362/231
168	362/276
168	362/464
169	250/205
169	250/208.1
170	359/267
170	359/838
170	359/871
171	073/170.11
171	296/180.5
172	250/339.1
172	250/353
173	701/208
174	250/338.4
174	438/073
175	600/473
175	600/475
176	362/106
176	362/103
176	362/225
176	362/235
