	applicant	patent_id
0	robert richard matthews	0
1	hyundai motor company	1
2	gm global technology operations llc	2
3	micron technology, inc.	3
4	avery demmison corporation	4
5	donnelly corporation	5
6	moba mobile automation ag	6
7	lockheed martin corp.	7
8	metrologic instruments, inc.	8
9	raytheon company	9
10	convergent manufacturing technologies inc.	10
11	raytheon company	11
12	infineon technologies ag	12
13	continental teves ag & co., ohg	13
14	magna electronics inc.	14
15	ga-lane chen	15
16	chung-pei wang	15
17	chao-tsang wei	15
18	markus henricus beuvink	16
19	gentex corporation	17
20	james r. selevan	18
21	international business machines corporation	19
22	joseph vogele ag	20
23	trimble navigation limited	21
24	james r. selevan	22
25	chien-ho ko	23
26	magna electronics, inc.	24
27	gm global technology operations llc	25
28	denso corporation	26
29	xerox corporation	27
30	percept technologies inc.	28
31	welch allyn, inc.	29
32	yu jin choi	30
33	microlab diagnostics, inc.	31
34	lockheed martin corporation	31
35	honeywell international, inc. doing business as (d.b.a.) honeywell scanning & mobility	32
36	may patents ltd.	33
37	iteris, inc.	34
38	iteris, inc.	35
39	c.r.f. societa consortile per azioni	36
40	gm global technology operations llc	37
41	magnolia optical technologies, inc.	38
42	gentex corporation	39
43	apple inc.	40
44	donnelly corporation	41
45	metrologic instruments, inc.	42
46	pokos communications corp	43
47	bowles fluidics corporation	44
48	luma brite technologies llc	45
49	qualstar corporation	46
50	activiews ltd.	47
51	welch allyn, inc.	48
52	ukn	49
53	ukn	50
54	ukn	51
55	starodub, inc.	52
56	ukn	53
57	tata consultancy services limited	54
58	elsag north america, llc	55
59	wms gaming inc.	56
60	roads and traffic authority of new south wales	57
61	institute for information industry	58
62	scientific games international, inc.	59
63	samsung electronics co., ltd.	60
64	ukn	61
65	wms gaming, inc.	62
66	acushnet company	63
67	immunolight, llc	64
68	the seaberg company, inc.	65
69	mitsubishi electric research laboratories, inc.	66
70	ukn	67
71	xerox corporation	68
72	magna mirrors of america, inc.	69
73	international business machines corporation	70
74	welch allyn, inc.	71
75	denso corporation	72
76	takanori fukao	72
77	hon hai precision industry co., ltd.	73
78	at&t mobility ii llc	74
79	new frontier imaging llc	75
80	ukn	76
81	nippon carbide kogyo kabushiki kaisha	77
82	ukn	78
83	hon hai precision industry co., ltd.	79
84	leonardo benatov vega	80
85	scientific games international, inc.	81
86	ukn	82
87	ukn	83
88	ukn	84
89	welch allyn, inc.	85
90	ukn	86
91	ukn	87
92	philip morris usa inc.	88
93	welch allyn, inc.	89
94	lockheed martin corporation	90
95	ukn	91
96	life technologies corporation	92
97	ukn	93
98	samsung electronics co., ltd.	94
99	joseph vogele ag	95
100	welch allyn, inc.	96
101	shaoping yang	97
102	qinghe wang	97
103	xerox corporation	98
104	sundrop fuels, inc.	99
105	welch allyn, inc.	100
106	gm global technology operations, inc.	101
107	lynntech, inc.	102
108	national research council of canada	103
109	dalhousie university	103
110	university of manitoba	103
111	at&t mobility ii llc	104
112	ukn	105
113	honda motor co., ltd.	106
114	mitsubishi electric research laboratories, inc.	107
115	ukn	108
116	nippon carbide kogyo kabushiki kaisha	109
117	international business machines corporation	110
118	ukn	111
119	termosensorik gmbh	112
120	ncr corporation	113
121	hexagon metrology, inc.	114
122	innovative lighting, inc.	115
123	ukn	116
124	gentex corporation	117
125	carl zeiss microimaging gmbh	118
126	lynntech, inc.	119
127	ukn	120
128	roads and traffic authority of new south wales	121
129	ukn	122
130	intelligent technologies international, inc.	123
131	xerox corporation	124
132	robert bosch gmbh	125
133	ukn	126
134	northrop grumman corporation	127
135	hon hai precision industry co., ltd.	128
136	biospinex, llc	129
137	drexel university	129
138	northrop grumman corporation	130
139	ukn	131
140	international business machines corporation	132
141	siemens aktiengesellschaft	133
142	ukn	134
143	international business machines corporation	135
144	ukn	136
145	ukn	137
146	ukn	138
147	infraredx, inc.	139
148	facility parking europe ab	140
149	micron technology, inc.	141
150	samsung electronics co., ltd	142
151	xerox corporation	143
152	spear usa, llc	144
153	trustees of columbia university in the city of new york the 525 west 166th street 412 low memoria	145
154	ukn	146
155	lynntech, inc.	147
156	ford global technologies llc	148
157	ese inc.	149
158	voith turbo gmbh & co. kg	150
159	ukn	151
160	ukn	152
161	ukn	153
162	ergonotech inc	154
163	ukn	155
164	global security devices ltd.	156
165	ukn	157
166	hon hai precision industry co., ltd.	158
167	konami digital entertainment co., ltd.	159
168	welch allyn, inc.	160
169	hon hai precision industry co., ltd..	161
170	hon hai precision industry co., ltd.	162
171	honda motor co., ltd.	163
172	ukn	164
173	donnelly corporation	165
174	donnelly corporation	166
175	ukn	167
176	ukn	168
177	donnelly corporation	169
178	ukn	170
179	gm global technology operations, inc.	171
180	hon hai precision industry co., ltd.	172
181	intelligent technologies international, inc.	173
182	ukn	174
183	infraredx, inc.	175
184	ukn	176
185	ukn	177
186	denso corporation	178
187	takanori fukao	178
188	zing systems, inc.	179
189	denso corporation	180
190	nippon soken, inc	180
191	ukn	181
192	aerodyne research inc.	182
193	hon hai precision industry co., ltd.	183
194	ukn	184
195	ukn	185
196	smart technologies inc.	186
197	sunstone technology, inc.	187
198	donnelly corporation	188
199	welch allyn, inc.	189
200	hitachi, ltd.	190
201	touchstone research laboratory, ltd.	191
202	hon hai precision industry co. ltd	192
203	hon hai precision industry co. ltd	193
204	hitachi, ltd.	194
205	em microelectronic-marin sa	195
206	hon hai precision industry co., ltd	196
207	yissum research development company of the hebrew university of jerusalem	197
208	ukn	198
209	hon hai precision industry co., ltd.	199
210	touchstone research laboratory, ltd.	200
211	rockwell scientific licensing, llc	201
212	general electric company	202
213	touchstone research laboratory, ltd.	203
214	touchstone research laboratory, ltd.	204
215	hon hai precision industry co., ltd.	205
216	hon hai precision industry co., ltd.	206
217	ukn	207
218	ukn	208
219	honda giken kogyo kabushiki kaisha	209
220	the ohio state university research foundation	209
221	siemens aktiengesellschaft	210
222	daimlerchrysler ag	211
223	ukn	212
224	corghi s.p.a.	213
225	ukn	214
226	set industries corporation	215
227	ukn	216
228	caterpillar inc.	217
229	ukn	218
230	ukn	219
231	euro-celtique s.a.	220
232	disco corporation	221
233	ukn	222
234	carlsberg a/s	223
235	honda motor co., ltd.	224
236	daimlerchrysler ag	225
237	ukn	226
238	ukn	227
239	ukn	228
240	ukn	229
241	digimarc corporation	230
242	ukn	231
243	ukn	232
244	active recognition technologies inc.,	233
245	a delaware corporation	233
246	digimarc corporation	234
247	ukn	235
248	ukn	236
249	caterpillar inc.	237
250	international business machines corporation	238
251	ukn	239
