	inventor	patent_id
0	Robert Richard  Matthews	0
1	Young Chul  Oh	1
2	Surim  Kwon	1
3	Thomas A.  Seder	2
4	Joseph F.  Szczerba	2
5	Dehua  Cui	2
6	Warren M.  Farnworth	3
7	Tom A.  Muntifering	3
8	Paul J.  Clawson	3
9	Thomas  LANEY	4
10	Wen-Li A.  CHEN	4
11	Chieh-Wen  CHEN	4
12	Kenneth  Schofield	5
13	Mark L.  Larson	5
14	Willibald  SEHR	6
15	David  SHELSTAD	6
16	Jeffrey W.  Scott	7
17	George  Paloczi	7
18	James  Nahill	8
19	David  Wilz	8
20	Thomas  Amundsen	8
21	Dwight  Franz	8
22	Mark  Hernandez	8
23	Shane Michael  Edmonds	8
24	Sarah  Gloeckner	8
25	John  Beiler	8
26	Mark  Meagher	8
27	James A.  Cairns	8
28	Glenn Alan  Cavanaugh	8
29	Edward Peter Gordon  Smith	9
30	Gregory Mark  Venzor	9
31	Eric J.  Beuville	9
32	Malcolm David  Lane	10
33	Anoshiravan  Poursartip	10
34	Goran  Fernlund	10
35	Anthony Michael  Floyd	10
36	David Andrew  Van Ee	10
37	Morgan Edwin John  Hibbert	10
38	Roland W.  Gooch	11
39	Buu Q.  Diep	11
40	Stephen H.  Black	11
41	Thomas A.  Kocian	11
42	Adam M.  Kennedy	11
43	Jakob  Jongsma	12
44	Horst  Theuss	12
45	Matthias  Strausß	13
46	Kenneth  Schofield	14
47	Mark L.  Larson	14
48	Ga-Lane  CHEN	15
49	Chung-Pei  WANG	15
50	Chao-Tsang  WEI	15
51	Markus Henricus  Beuvink	16
52	Joseph S.  Stam	17
53	Mark W.  Pierce	17
54	Jon H.  Bechtel	17
55	William R.  Spence	17
56	Robert R.  Turnbull	17
57	El-Sayed  Eid	17
58	James R.  Selevan	18
59	Gabriel P.  Borges	19
60	Scott R.  Crowther	19
61	Abraham G.  Guerra	19
62	Grant D.  Miller	19
63	Nader M.  Nassar	19
64	Tamer M.  Nassar	19
65	Ralf  Weiser	20
66	Tobias  Noll	20
67	Martin  Buschmann	20
68	Achim  Eul	20
69	Kent  Kahle	21
70	James R.  Selevan	22
71	Chien-Ho  Ko	23
72	Yuesheng  Lu	24
73	Michael J.  Higgins-Luthman	24
74	William R.  Livengood	24
75	James D.  Harris	24
76	Jin-Woo  Lee	25
77	Bakhtiar Brian  Litkouhi	25
78	Hiroki  OKADA	26
79	Takayoshi  HONDA	26
80	George Cunha  CARDOSO	27
81	Lalit Keshav  MESTHA	27
82	Mark S.  CANTELLI	27
83	Edgar A.  BERNAL	27
84	Scott W.  LEWIS	28
85	David E.  Quinn	29
86	John A.  Lane	29
87	Yu Jin  Choi	30
88	Michael  EGAN	31
89	Brian  Root	31
90	Orion N.  Scott	31
91	Douglas J.  South	31
92	Joan  Bienvenue	31
93	Paul  Kinnon	31
94	James  Landers	31
95	David  Saul	31
96	An-Chi  Tsuei	31
97	Jason  Hayes	31
98	Matthew  Springer	31
99	Matthew  Solomon	31
100	Peter  van Ruijven	31
101	James  NAHILL	32
102	Mark Jose Antonio  HERNANDEZ	32
103	Craig  KOCH	32
104	John A.  FURLONG	32
105	Charles Joseph  CUNNINGHAM, IV	32
106	Sean Philip  KEARNEY	32
107	Taylor  SMITH	32
108	Yehuda  BINDER	33
109	Benjamin  MAYTAL	33
110	JOHN J.  MEWES	34
111	JEFFREY J.  KUNTZ	34
112	KRISTOPHER A.  ZARNS	34
113	GREGORY M.  OSTERMEIER	34
114	JOHN J.  MEWES	35
115	JEFFREY J,  KUNTZ	35
116	Davide Capello	36
117	Nereo Pallaro	36
118	Luca Liotti	36
119	Cosimo Carvignese	36
120	Christoph Schmidt	37
121	Stefan Bauer	37
122	Elwood J. Egerton	38
123	Ashok K. Sood	38
124	Joseph S. Stam	39
125	Mark W. Pierce	39
126	Jon H. Bechtel	39
127	William R. Spence	39
128	Robert R. Turnbull	39
129	El-Sayed Eid	39
130	Brett William Degner	40
131	Patrick Kessler	40
132	Chris A. Ligtenberg	40
133	Thomas W. Wilson, Jr.	40
134	Bartley K. Andre	40
135	Matthew P. Casebolt	40
136	Kenneth Schofield	41
137	Mark L. Larson1	41
138	James Nahill	42
139	David Wilz	42
140	Thomas Amundsen	42
141	Dwight Franz	42
142	Mark Hernandez	42
143	Shane Michael Edmonds	42
144	Sarah Gloeckner	42
145	John Beiler	42
146	Mark Meagher	42
147	James A. Cairns	42
148	Glenn Alan Cavanaugh	42
149	Tim Platt	43
150	Kevin D. King	43
151	Stephan H. Krueger	43
152	Jason Farber	44
153	Alan Romack	44
154	Greg Russell	44
155	Aland Santamarina	44
156	Keith Schloer	44
157	Steven Crockett	44
158	David K. Brainard	45
159	WILLIAM J. GERVAIS	46
160	MARK H. HELMICK	46
161	Pinhas Gilboa	47
162	Matthew J. Kinsley	48
163	Michael J. Anson	48
164	John A. Lane	48
165	David E. Quinn	48
166	Hung-Ta Liu	49
167	Paul Sorajja	50
168	Charanjit S. Rihal	50
169	Jakob Jongsma	51
170	Horst Theuss	51
