ipc	patent
B23P	0
G01S	1
B60Q	2
B28D	3
G09F	4
B60Q	5
G01K	6
H01L	7
G06K	8
H01L	9
B29C	10
B05D	11
G01M	12
B60W	13
B60Q	14
G02B	15
G08G	16
B60Q	17
G08G	18
E01H	19
E01C	20
G01C	21
G08G	22
G05D	23
H04N	24
G06F	25
G01N	26
H04N	27
G02B	28
A61B	29
F21V	30
C12Q	31
G06K	32
H04L	33
G06F	34
G06Q	35
H04N	36
B62D	37
G01J	38
H04N	39
G06F	40
H04N	41
G06K	42
H04W	43
E03D	44
F21V	45
H01R	46
G06K	47
A61B	48
H01L	49
A61B	50
G01M	51
G01S	52
G08G	53
H04N	54
H04N	55
G06F	56
G08G	57
G08G	58
G06K	59
B25J	60
H04W	61
G06F	62
A63B	63
C09K	64
A61F	65
G01B	66
H01Q	67
H04N	68
B60Q	69
G06F	70
G01J	71
G06K	72
G09G	73
H04M	74
A61B	75
G06F	76
G02B	77
H04N	78
H04B	79
H04N	80
G06K	81
E01C	82
A63B	83
G06G	84
A61B	85
G01B	86
G02B	87
H04N	88
G01J	89
H01L	90
G08G	91
C12M	92
H01L	93
H01L	94
E01C	95
G01J	96
G06G	97
G06K	98
B01J	99
G01K	100
G08G	101
G01J	102
G01N	103
G06K	104
F21V	105
G06F	106
G06K	107
G06F	108
G02B	109
G01K	110
B07C	111
G01N	112
B41J	113
G06K	114
F21V	115
G01J	116
G01J	117
A01B	118
G01J	119
A63F	120
G08G	121
B60Q	122
G01C	123
G06K	124
G09G	125
E04C	126
H01L	127
G02B	128
A61B	129
H01L	130
H01J	131
G06F	132
B60Q	133
G06K	134
G01R	135
B60G	136
G01C	137
A61B	138
A61B	139
H04N	140
H01L	141
H01L	142
G06K	143
G06K	144
G01J	145
A01G	146
G01J	147
G06F	148
G01N	149
F16F	150
H01L	151
E03D	152
G01N	153
G06Q	154
G08B	155
G01K	156
G06F	157
H04B	158
G06K	159
G01J	160
B60Q	161
G01J	162
G06K	163
G06F	164
G08G	165
G02B	166
B60Q	167
F21S	168
G01J	169
G02F	170
B60C	171
G01J	172
G01C	173
G01J	174
A61B	175
F21V	176
A61B	177
G06T	178
H04Q	179
G01N	180
A63H	181
G01N	182
H01J	183
E01F	184
A63B	185
G06F	186
G01J	187
G08G	188
G01J	189
G02B	190
B22D	191
F21V	192
F21V	193
G02B	194
G01J	195
G03B	196
H01L	197
B60Q	198
H01L	199
B23K	200
H01L	201
F21V	202
B23K	203
B23K	204
F21V	205
F21V	206
G01N	207
F21V	208
G06K	209
E05F	210
G01J	211
G02B	212
H04N	213
G08G	214
B60Q	215
G08B	216
G06F	217
G03B	218
G05D	219
G01J	220
H01L	221
F21V	222
A01N	223
G06F	224
G06K	225
G01P	226
G01N	227
H04N	228
C12Q	229
G06K	230
F21V	231
G02B	232
G06F	233
H04K	234
A61B	235
B60Q	236
G06F	237
H04Q	238
G08G	239
C08K	240
G02F	241
G01N	242
G06K	243
F21V	244
B60N	245
A61N	246
A61G	247
B60Q	248
G02B	249
G06F	250
G08G	251
G09G	252
A21B	253
G06K	254
A63F	255
A61B	256
H01L	257
G09G	258
E01C	259
B60Q	260
G03F	261
G03C	262
G12B	263
H04N	264
H01L	265
H01I	266
G06F	267
B60Q	268
A61B	269
G03B	270
H04N	271
G01J	272
G01N	273
G01S	274
G08G	275
G08B	276
G06F	277
A63D	278
A61B	279
A24B	280
G06K	281
A61B	282
A61B	283
B08G	284
F21V	285
A61B	286
G06F	287
H01L	288
G05D	289
A61B	290
A61B	291
A61B	292
A61B	293
G02F	294
H01L	295
H01L	296
A61B	297
G06F	298
G03B	299
A61B	300
G02B	301
B60Q	302
A61B	303
G02F	304
B05D	305
A61B	306
G06F	307
G06F	308
G08G	309
B05D	310
H01L	311
G01N	312
G21K	313
B62D	314
H04N	315
B32B	316
A61B	317
A61B	318
G06K	319
G02B	320
B32B	321
A61B	322
G01N	323
G01J	324
G05F	325
G06K	326
G02F	327
G06F	328
B60Q	329
G02B	330
G06G	331
A61B	332
G06F	333
G02B	334
G06F	335
A61B	336
A61B	337
A61B	338
A61N	339
G06F	340
H04N	341
G08B	342
A47L	343
H04N	344
A61N	345
B05D	346
G08G	347
G21G	348
B60K	349
B60Q	350
F16L	351
H01L	352
G06F	353
G01M	354
G01M	355
G08B	356
G01N	357
G06F	358
A61B	359
G08G	360
G09G	361
G01V	362
B60Q	363
H02M	364
G01J	365
A01G	366
G01S	367
B65B	368
G08G	369
G08G	370
H01L	371
G01B	372
G03F	373
B61J	374
B03B	375
G07F	376
B60Q	377
H04Q	378
B32B	379
G08B	380
G02B	381
G06F	382
H01L	383
G06F	384
A61G	385
E01C	386
B60Q	387
G01N	388
F41I	389
G01B	390
H01L	391
G01N	392
H05K	393
G06K	394
G01J	395
G08G	396
G08G	397
B60D	398
H01L	399
G02B	400
G01N	401
B65G	402
H01J	403
H05K	404
A61B	405
B29C	406
G08G	407
A61B	408
E01C	409
B60L	410
G01S	411
G08G	412
B44C	413
H01K	414
A63J	415
G03C	416
G01N	417
G01J	418
G0-2	419
H01L	420
