patent	us_class
0	029/592
1	342/052
2	340/461
3	083/076.8
4	241/020
5	315/082
6	404/084.05
7	257/184
8	235/439
9	257/186
10	264/040.3
11	156/064
12	073/146
13	701/041
14	340/425.5
15	359/355
16	340/942
17	701/049
18	340/907
19	037/227
20	404/084.05
21	033/228
22	340/907
23	701/002
24	348/143
25	701/042
26	320/108
27	348/148
28	351/209
29	600/549
30	362/294
31	435/006.12
32	235/462.13
33	348/077
34	703/006
35	705/305
36	348/148
37	701/025
38	250/339.01
39	348/148
40	345/173
41	315/082
42	235/439
43	455/456.2
44	004/305
45	362/084
46	439/056
47	358/001.18
48	600/474
49	136/244
50	600/420
51	073/146
52	701/514
53	340/907
54	348/148
55	348/149
56	463/025
57	340/920
58	340/905
59	235/491
60	700/248
61	455/456.1
62	463/020
63	473/353
64	424/401
65	602/004
66	702/095
67	345/156
68	358/003.28
69	340/425.5
70	235/385
71	374/121
72	382/103
73	345/156
74	455/414.3
75	600/474
76	358/001.15
77	359/530
78	348/148
79	398/106
80	348/047
81	235/462.1
82	404/079
83	482/003
84	701/117
85	600/474
86	702/155
87	252/587
88	348/088
89	374/121
90	257/184
91	340/942
92	435/283.1
93	257/184
94	438/464
95	404/084.5
96	374/132
97	701/117
98	358/003.28
99	422/639
100	374/121
101	340/905
102	356/300
103	356/072
104	340/010.6
105	362/084
106	700/253
107	382/266
108	701/029
109	359/530
110	324/501
111	209/576
112	374/004
113	347/197
114	382/154
115	362/331
116	356/051
117	250/339.11
118	701/041
119	356/301
120	463/031
121	340/907
122	340/439
123	701/207
124	358/003.28
125	345/007
126	052/309.3
127	250/332
128	359/694
129	600/478
130	250/338.4
131	250/239
132	235/385
133	340/436
134	235/472.1
135	324/501
136	280/005.518
137	701/207
138	600/473
139	600/473
140	340/426.1
141	438/462
142	438/462
143	382/100
144	235/468
145	250/338.3
146	239/014.1
147	356/051
148	701/301
149	356/073
150	267/140.5
151	250/338.4
152	004/305
153	073/023.31
154	705/013
155	340/524
156	702/131
157	701/020
158	398/107
159	235/454
160	374/121
161	340/438
162	250/339.1
163	382/104
164	345/174
165	340/903
166	359/604
167	362/459
168	362/231
169	250/205
170	359/267
171	073/170.11
172	250/339.1
173	701/208
174	250/338.4
175	600/473
176	362/106
177	600/473
178	340/435
179	455/435.1
180	250/573
181	446/444
182	073/023.31
183	250/216
184	404/009
185	434/252
186	345/158
187	250/458.1
188	340/903
189	374/121
190	250/227.25
191	164/461
192	359/359
193	359/359
194	250/227.25
195	250/341.8
196	396/079
197	257/189
198	362/494
199	250/208.1
200	219/121.85
201	257/184
202	362/510
203	219/121.6
204	219/121.6
205	359/359
206	359/359
207	435/007.1
208	362/628
209	382/103
210	049/026
211	250/330
212	250/227.25
213	382/154
214	340/932.2
215	340/435
216	340/541
217	700/115
218	355/052
219	701/001
220	356/328
221	156/345.1
222	362/153.1
223	424/093.7
224	700/245
225	382/103
226	073/170.11
227	073/864.34
228	348/148
229	435/006
230	382/100
231	362/545
232	359/604
233	701/035
234	382/100
235	600/315
236	362/494
237	700/111
238	455/419
239	340/942
240	523/135
241	349/115
242	422/064
243	235/462.45
244	362/249
245	296/208
246	607/094
247	128/845
248	340/435
249	385/015
250	700/215
251	340/903
252	345/175
253	219/405
254	382/103
255	463/017
256	600/435
257	438/052
258	345/008
259	404/071
260	362/500
261	430/311
262	359/626
263	250/252.1
264	348/148
265	136/253
266	438/050
267	701/049
268	362/466
269	600/473
270	355/054
271	348/370
272	250/330
273	073/023.2
274	342/070
275	340/905
276	340/602
277	701/001
278	473/070
279	600/317
280	131/290
281	382/124
282	600/478
283	378/004
284	340/901
285	362/510
286	600/478
287	700/216
288	257/431
289	701/001
290	600/342
291	378/037
292	600/587
293	600/478
294	359/265
295	257/014
296	250/338.1
297	600/473
298	702/188
299	359/443
300	600/341
301	385/015
302	340/435
303	600/476
304	349/138
305	427/163.4
306	600/310
307	705/028
308	705/014
309	340/901
310	427/180
311	438/706
312	356/039
313	378/043
314	340/435
315	348/148
316	359/885
317	600/461
318	606/015
319	382/100
320	385/120
321	428/323
322	600/309
323	250/339.05
324	356/326
325	315/291
326	382/100
327	349/176
328	701/115
329	340/435
330	385/038
331	701/301
332	600/316
333	701/117
334	359/894
335	235/375
336	600/473
337	600/476
338	600/476
339	607/088
340	709/213
341	348/148
342	340/567
343	015/319
344	348/115
345	607/088
346	427/163.4
347	340/901
348	250/492.1
349	180/065.3
350	362/466
351	405/154.1
352	438/054
353	701/033
354	701/033
355	701/033
356	701/033
357	073/031.05
358	713/200
359	600/475
360	340/905
361	345/156
362	702/014
363	340/461
364	363/146
365	250/458.1
366	239/069
367	342/386
368	141/192
369	340/905
370	340/903
371	250/338.4
372	356/375
373	430/394
374	104/088.1
375	209/011
376	221/011
377	340/932.2
378	455/456
379	428/167
380	340/576
381	385/132
382	701/003
383	257/440
384	701/207
385	128/845
386	404/084.5
387	340/461
388	356/072
389	273/348.1
390	356/004.1
391	338/018
392	356/436
393	029/840
394	382/104
395	250/339.9
396	340/905
397	340/905
398	180/271
399	250/338.4
400	359/630
401	250/341.2
402	414/793.4
403	313/025
404	174/264
405	128/664
406	425/143
407	340/905
408	128/664
409	404/072
410	191/004
411	250/504.R
412	340/983
413	216/015
414	313/635
415	084/464.R
416	430/201
417	356/073
418	250/334
419	385/015
420	136/213
421	250/341.8
422	174/035.R
423	428/336
424	385/012
425	404/084.5
426	348/166
427	356/004
428	073/023.2
429	250/343
430	404/072
431	359/884
432	364/426.4
433	156/643
434	315/151
435	156/600
436	422/186.5
437	250/330
438	340/933
439	359/359
440	501/136
441	428/017
442	357/030
443	246/169.A
444	250/211.J
445	250/352
446	422/248
447	250/341
448	250/342
449	350/409
450	250/330
451	318/483
452	250/341
453	350/001.1
454	250/548
455	340/567
456	350/001.6
457	313/112
458	374/009
459	357/030
460	250/343
461	351/210
462	250/336.2
463	350/354
464	250/343
465	332/007.51
466	280/764.1
467	340/905
468	358/100
469	358/142
470	062/514.R
471	330/004.3
472	366/108
473	364/498
474	250/504.R
475	428/156
476	372/075
477	250/349
478	350/370
479	219/388
480	523/135
481	110/193
482	089/041.7
483	356/135
484	250/343
485	313/477.R
486	250/352
487	250/215
488	357/030
489	355/071
490	062/467
491	102/384
492	273/054.E
493	250/334
494	374/043
495	427/053.1
496	029/572
497	356/375
498	029/572
499	250/330
500	356/036
501	250/339
502	324/095
503	148/171
504	250/211.J
505	029/572
506	356/418
507	204/015
508	029/572
509	356/036
510	273/142.B
511	209/564
512	340/052.R
513	357/015
514	156/630
515	156/064
516	235/468
517	252/416
518	110/346
519	126/425
520	029/577.R
521	361/273
522	126/271
523	260/878.R
524	029/577.C
525	357/024
526	250/370
527	250/341
528	250/338
529	240/011.2R
530	345/007
531	382/199
532	702/003
533	348/118
534	703/001
535	345/419
536	382/216
537	701/116
538	382/104
539	348/143
540	348/148
541	382/100
542	382/165
543	348/222.1
544	600/407
545	348/148
546	701/031.4
547	340/539.13
548	348/148
549	382/103
550	382/104
551	726/006
552	382/209
553	701/001
554	705/013
555	382/104
556	356/601
557	382/104
558	348/148
559	348/148
560	701/118
561	719/328
562	382/104
563	348/148
564	382/165
565	701/408
566	348/148
567	382/104
568	703/001
569	348/148
570	701/116
