ipc	patent
B08B	0
B09B	1
C02F	2
A62D	3
G21F	3
C02F	4
B01D	4
B01D	4
B01D	4
B01D	4
C02F	5
A61L	6
B09B	6
E02D	7
A01G	7
B09B	8
C02F	8
B01J	8
B01J	8
C02F	9
C02F	10
C02F	11
F21K	12
C02F	12
H05B	12
E02D	13
C02F	14
B01D	15
C02F	16
C02F	17
C02F	18
C02F	18
C02F	18
H02N	18
C02F	19
C02F	20
C02F	21
E02D	22
E02D	22
E02D	23
E02D	23
C10B	24
E02D	25
C08L	26
C02F	27
C02F	28
G21F	28
C04B	28
C04B	28
C04B	28
C04B	28
C02F	29
C01B	30
C02F	31
C02F	32
C02F	33
B03B	34
E02B	35
B09B	35
E02B	35
A62D	36
C02F	37
C02F	38
C02F	39
C02F	39
C02F	39
C02F	39
B09B	40
E02D	40
B01J	41
B01J	41
C02F	41
C02F	41
C02F	42
C25B	42
C25B	42
E04B	43
E04C	43
E02D	43
C02F	44
C02F	45
C02F	45
C02F	45
C02F	46
B01D	46
B01D	46
B01D	46
B01D	46
B65D	47
B09B	47
B65D	48
B32B	48
B09B	48
B01F	49
B01D	49
C02F	49
C02F	50
C02F	50
C02F	51
B09B	52
E02D	52
B01D	53
C12P	54
C10J	54
C10L	54
C12P	55
G01V	56
G01B	56
G01B	56
G01B	56
F28D	57
E02D	58
C04B	59
C04B	59
B01D	59
C04B	59
B01F	60
C02F	60
C02F	61
C07C	62
B01J	62
B32B	63
B23P	63
E02D	64
E02D	64
C02F	65
C02F	65
B01D	66
C02F	66
B01D	67
C02F	67
C12M	68
C05F	68
C02F	69
C02F	70
E02D	71
B01D	72
B01D	72
B09B	73
B09B	73
C04B	73
B01D	74
B01D	74
B01D	74
B01D	74
B01D	74
B01D	74
C02F	75
C02F	76
C02F	76
C10L	76
C04B	76
C08K	76
C10L	76
C02F	76
C05F	76
C02F	77
B01D	77
B01D	78
B01D	78
C02F	78
C02F	78
C02F	78
C02F	78
C02F	78
C02F	78
C02F	78
B03D	78
B01D	79
B01D	79
B01D	79
C02F	79
B01D	79
E02D	80
E02B	80
B09B	80
E02D	80
G99Z	80
C02F	81
B01D	81
C02F	82
C02F	83
C02F	84
B01D	84
B01D	84
C02F	85
C02F	85
C02F	85
C02F	85
C02F	85
C02F	85
E02D	86
E02D	86
G06F	87
C02F	88
C02F	88
C02F	88
B02C	89
A01G	90
C02F	90
E03F	90
E21B	91
C02F	91
E21B	91
B01D	91
E02D	92
C02F	93
E03F	94
E03F	94
B01D	94
C02F	94
C02F	95
C02F	95
C02F	96
B01D	97
B01D	97
E04H	98
C02F	98
C02F	99
F26B	99
C02F	99
B02C	99
C02F	100
C02F	101
F03G	102
H01L	102
C25B	102
C25B	102
B01D	102
B01D	102
B01D	102
B01D	102
B01D	102
C02F	102
C02F	102
C02F	102
H01L	102
B01D	102
B09B	103
C10G	103
E21B	103
G21F	104
G21F	104
C02F	105
C02F	105
C02F	105
F01K	106
C02F	106
F01K	106
F01K	106
F01K	106
F28D	106
C02F	107
C02F	108
B23P	108
C02F	108
B09C	109
C02F	110
C02F	110
E02D	111
B65G	112
E02D	112
B01D	113
C02F	114
H01M	114
H01M	114
H01B	114
C25B	114
B82Y	114
C02F	115
B01D	115
B09C	116
C02F	117
B01D	117
C02F	118
C02F	118
C02F	118
C02F	118
C02F	118
C12M	118
C02F	118
B01D	118
C02F	118
C02F	118
C02F	118
C02F	118
C02F	118
C02F	119
C05F	119
B01D	120
B01D	120
B01D	120
E02B	121
C02F	121
C02F	121
B65G	122
C02F	123
E03C	124
C02F	124
B23P	124
B65D	124
B65D	124
C02F	125
C02F	125
C02F	125
C12N	126
C12N	126
C12N	126
C02F	126
C12N	126
B32B	127
B32B	127
B32B	127
B32B	127
C02F	128
C02F	128
C02F	128
C02F	128
C02F	128
C02F	128
C02F	129
E04C	130
E02D	130
E02B	131
D03D	131
E02D	132
E21B	132
E21B	132
F24J	133
E02D	133
E02D	134
E02D	134
E01B	134
C02F	135
C02F	136
C02F	137
B01D	137
C02F	138
G06Q	139
F23K	139
F23J	139
F27D	139
E21C	139
A62D	139
B01D	139
E21B	139
B65G	139
E21B	139
C02F	139
E02B	140
C02F	140
C02F	141
C09K	141
C09K	142
C07F	142
B09B	143
E02D	144
E02D	145
E02D	146
B09B	147
C08L	147
G21F	147
C02F	148
C02F	148
B01D	148
E02D	149
C02F	150
F16M	151
F16M	151
C02F	152
B60P	153
B65G	153
B60P	153
B09C	153
E02D	154
E02D	154
B01J	155
B09B	156
C02F	157
C02F	157
C02F	158
F28F	158
F25B	158
F28F	158
F25B	158
C02F	159
C02F	159
C02F	159
C02F	159
C12F	160
C04B	161
C02F	161
C02F	162
C02F	162
C02F	162
C02F	163
C25B	164
C02F	165
C02F	165
C02F	165
C02F	165
C05F	165
C02F	166
C02F	166
C02F	166
C02F	166
C02F	167
B01D	168
C04B	169
B28B	169
C04B	170
C02F	171
C02F	171
C01B	171
C01B	171
E02D	172
C02F	173
B30B	173
E02D	174
A01G	174
C02F	175
C02F	176
C02F	177
B01D	177
B01D	177
C02F	178
B01D	178
C02F	179
C02F	179
C02F	180
B01D	180
B09B	181
C02F	182
B01D	182
E03F	182
C02F	183
A62D	184
B07B	184
E02D	185
E04B	185
C08J	186
C02F	187
C02F	187
B09B	188
A61L	188
C01B	188
B01D	189
B01D	189
C05F	190
B01D	190
C02F	190
C12M	190
E02D	190
C05F	190
C02F	191
B01D	191
C02F	191
B01D	191
B01D	191
E02D	192
C02F	193
C09K	194
C09K	194
C04B	194
E02D	194
C02F	195
B01F	195
C05F	195
C02F	196
C02F	197
C02F	197
C02F	197
C02F	197
C02F	197
C02F	197
C09K	197
C02F	198
B01D	198
B01D	198
B01D	198
B09B	199
A62D	199
A62D	199
B09B	199
B01J	200
B01J	200
B01J	200
B09B	200
B09B	200
B01J	201
B09B	201
B01J	201
F25D	202
A62C	202
A62B	202
E02B	202
B01D	202
B01D	202
C02F	202
B01D	202
B05B	202
A62C	202
E02D	202
G06Q	202
B09B	203
C02F	204
C12P	204
C12P	204
C12P	204
C12P	204
C12P	204
C12N	204
C12P	204
C12P	204
B01D	205
C02F	206
C05F	206
C05F	206
E02D	207
E02D	207
E02D	207
B01D	208
C02F	208
A61M	208
B01J	208
E02D	209
C02F	210
C12M	210
B01D	211
B01D	211
B01D	211
C02F	212
C02F	212
C02F	212
C02F	212
C02F	212
B63B	213
E02B	213
C02F	214
E02D	215
B63B	216
B65D	216
C02F	216
B01D	216
B09B	217
C02F	218
B01D	218
F25J	219
B01D	219
C02F	219
F24F	219
A62B	219
A62B	219
B09B	220
B01D	221
B01D	221
B01D	221
B01D	222
C02F	223
C02F	223
C02F	223
C02F	224
C08F	225
C09K	225
G06G	225
C02F	226
C02F	226
C10B	227
C10B	227
E02D	228
C02F	229
C02F	230
B01D	230
C25B	230
C02F	231
C02F	231
C02F	231
B01J	231
C02F	232
C02F	233
C02F	233
C02F	233
B09C	234
B63G	234
B63C	234
C02F	235
E02D	236
E21B	237
E21B	237
E21B	237
B01D	238
C05F	239
B09C	240
B01J	241
B09B	241
F28D	241
C02F	241
E21B	241
B09B	242
E02D	243
E04C	243
B01D	244
C02F	245
C02F	245
B01D	245
C02F	246
C02F	246
C02F	246
C02F	247
C02F	247
B01J	248
E02D	249
E04C	249
E04G	249
E04C	249
E02D	250
B65D	250
E04H	250
E04C	250
E04B	250
E04B	250
B65D	250
E02B	251
C02F	251
C02F	251
C02F	252
C02F	253
C02F	254
B01D	254
B01D	255
C02F	255
A61M	255
B01J	255
C02F	256
C02F	257
C02F	257
C02F	257
C02F	258
B01D	258
B01D	258
B01D	258
C02F	258
C02F	259
C02F	260
C02F	260
A61L	261
A61F	261
B09B	261
C08L	261
C08J	261
C02F	261
C02F	262
C02F	262
C02F	262
C02F	262
C02F	263
C02F	264
C02F	265
C02F	265
C02F	265
B01D	266
C01B	266
B01F	266
B09B	266
C02F	267
C02F	268
C02F	269
C02F	269
C02F	269
C02F	269
C02F	269
C02F	269
C02F	269
B09B	270
B02C	270
B01D	271
B01D	271
C02F	271
B32B	271
C11D	272
B09B	272
C25D	273
C09C	273
C02F	273
C01B	273
C02F	274
C02F	274
C02F	274
C02F	274
C02F	275
B01D	276
C02F	276
B01D	276
C02F	276
B01D	277
C09K	277
C02F	277
C02F	277
E02B	277
B01D	278
A61L	279
B02C	279
C02F	280
E02D	281
A62D	282
B09C	283
A47K	284
C02F	285
C02F	285
C05F	285
B01D	286
C02F	287
B09C	288
C02F	289
B01D	289
B03C	290
C02F	291
C02F	291
C02F	291
C02F	292
C25B	293
B09C	294
B63G	294
B01D	295
C02F	295
E21B	296
E21B	296
A23L	296
B01D	297
B01D	297
B01D	297
B01D	297
B01D	298
B01D	299
B01D	300
C02F	301
C02F	301
C02F	301
C02F	301
C02F	302
C02F	302
C02F	302
B01J	303
C02F	303
B01D	304
B01D	304
B01D	304
C02F	304
E02D	305
E04G	306
C02F	307
B01D	307
C02F	307
C02F	307
B01D	307
C02F	308
C02F	309
B01D	309
C02F	309
C02F	310
C02F	311
C02F	312
B01D	313
C25B	313
C02F	314
C02F	314
B01D	315
C02F	315
C02F	316
B09B	317
B03B	318
B03B	318
B03B	318
C02F	319
B01D	319
B01D	319
B02C	320
B02C	320
B01D	321
B01D	321
C02F	322
B01D	323
C02F	323
C02F	323
B01D	324
B01D	324
C02F	324
E01C	325
E02D	325
E02D	326
B01D	327
C02F	327
C11D	328
C02F	329
F23G	330
C10B	330
B09B	331
C02F	332
C02F	332
C02F	332
B09B	333
B09B	334
C02F	335
C02F	336
B01D	336
B01F	337
B09C	338
C02F	339
C02F	339
C02F	340
C02F	341
C02F	342
B01J	342
C02F	342
C02F	343
C02F	344
F26B	345
F26B	345
C02F	346
A62D	347
C04B	348
C04B	348
B09B	348
B09B	349
E02D	350
