ipc	patent
B08B	0
B09B	1
C02F	2
A62D	3
C02F	4
C02F	5
A61L	6
E02D	7
B09B	8
C02F	9
C02F	10
C02F	11
F21K	12
E02D	13
C02F	14
B01D	15
C02F	16
C02F	17
C02F	18
C02F	19
C02F	20
C02F	21
E02D	22
E02D	23
C10B	24
E02D	25
C08L	26
C02F	27
C02F	28
C02F	29
C01B	30
C02F	31
C02F	32
C02F	33
B03B	34
E02B	35
A62D	36
C02F	37
C02F	38
C02F	39
B09B	40
B01J	41
C02F	42
E04B	43
C02F	44
C02F	45
C02F	46
B65D	47
B65D	48
B01F	49
C02F	50
C02F	51
B09B	52
B01D	53
C12P	54
C12P	55
G01V	56
F28D	57
E02D	58
C04B	59
B01F	60
C02F	61
C07C	62
B32B	63
E02D	64
C02F	65
B01D	66
B01D	67
C12M	68
C02F	69
C02F	70
E02D	71
B01D	72
B09B	73
B01D	74
C02F	75
C02F	76
C02F	77
B01D	78
B01D	79
E02D	80
C02F	81
C02F	82
C02F	83
C02F	84
C02F	85
E02D	86
G06F	87
C02F	88
B02C	89
A01G	90
E21B	91
E02D	92
C02F	93
E03F	94
C02F	95
C02F	96
B01D	97
E04H	98
C02F	99
C02F	100
C02F	101
F03G	102
B09B	103
G21F	104
C02F	105
F01K	106
C02F	107
C02F	108
B09C	109
C02F	110
E02D	111
B65G	112
B01D	113
C02F	114
C02F	115
B09C	116
C02F	117
C02F	118
C02F	119
B01D	120
E02B	121
B65G	122
C02F	123
E03C	124
C02F	125
C12N	126
B32B	127
C02F	128
C02F	129
E04C	130
E02B	131
E02D	132
F24J	133
E02D	134
C02F	135
C02F	136
C02F	137
C02F	138
G06Q	139
E02B	140
C02F	141
C09K	142
B09B	143
E02D	144
E02D	145
E02D	146
B09B	147
C02F	148
E02D	149
C02F	150
F16M	151
C02F	152
B60P	153
E02D	154
B01J	155
B09B	156
C02F	157
C02F	158
C02F	159
C12F	160
C04B	161
C02F	162
C02F	163
C25B	164
C02F	165
C02F	166
C02F	167
B01D	168
C04B	169
C04B	170
C02F	171
E02D	172
C02F	173
E02D	174
C02F	175
C02F	176
C02F	177
C02F	178
C02F	179
C02F	180
B09B	181
C02F	182
C02F	183
A62D	184
E02D	185
C08J	186
C02F	187
B09B	188
B01D	189
C05F	190
C02F	191
E02D	192
C02F	193
C09K	194
C02F	195
C02F	196
C02F	197
C02F	198
B09B	199
B01J	200
B01J	201
F25D	202
B09B	203
C02F	204
B01D	205
C02F	206
E02D	207
B01D	208
E02D	209
C02F	210
B01D	211
C02F	212
B63B	213
C02F	214
E02D	215
B63B	216
B09B	217
C02F	218
F25J	219
B09B	220
B01D	221
B01D	222
C02F	223
C02F	224
C08F	225
C02F	226
C10B	227
E02D	228
C02F	229
C02F	230
C02F	231
C02F	232
C02F	233
B09C	234
C02F	235
E02D	236
E21B	237
B01D	238
C05F	239
B09C	240
B01J	241
B09B	242
E02D	243
B01D	244
C02F	245
C02F	246
C02F	247
B01J	248
E02D	249
E02D	250
E02B	251
C02F	252
C02F	253
C02F	254
B01D	255
C02F	256
C02F	257
C02F	258
C02F	259
C02F	260
A61L	261
C02F	262
C02F	263
C02F	264
C02F	265
B01D	266
C02F	267
C02F	268
C02F	269
B09B	270
B01D	271
C11D	272
C25D	273
C02F	274
C02F	275
B01D	276
B01D	277
B01D	278
A61L	279
C02F	280
E02D	281
A62D	282
B09C	283
A47K	284
C02F	285
B01D	286
C02F	287
B09C	288
C02F	289
B03C	290
C02F	291
C02F	292
C25B	293
B09C	294
B01D	295
E21B	296
B01D	297
B01D	298
B01D	299
B01D	300
C02F	301
C02F	302
B01J	303
B01D	304
E02D	305
E04G	306
C02F	307
C02F	308
C02F	309
C02F	310
C02F	311
C02F	312
B01D	313
C02F	314
B01D	315
C02F	316
B09B	317
B03B	318
C02F	319
B02C	320
B01D	321
C02F	322
B01D	323
B01D	324
E01C	325
E02D	326
B01D	327
C11D	328
C02F	329
F23G	330
B09B	331
C02F	332
B09B	333
B09B	334
C02F	335
C02F	336
B01F	337
B09C	338
C02F	339
C02F	340
C02F	341
C02F	342
C02F	343
C02F	344
F26B	345
C02F	346
A62D	347
C04B	348
B09B	349
E02D	350
C02F	351
B09C	352
B32B	353
C02F	354
A61L	355
E02D	356
C02F	357
B09C	358
B08B	359
C02F	360
C02F	361
B09B	362
B09B	363
B09B	364
B09B	365
C02F	366
B09B	367
C02F	368
B01D	369
C02F	370
C02F	371
E02D	372
E02D	373
A62B	374
C02F	375
E02D	376
C02F	377
B01D	378
B01D	379
B09B	380
B09B	381
C02F	382
E02D	383
E02D	384
C02F	385
C25B	386
E02D	387
C02F	388
B09C	389
B02C	390
A61L	391
B09B	392
C02F	393
C02F	394
E02D	395
C02F	396
C04B	397
C02F	398
C02F	399
B64D	400
B65D	401
B01D	402
B01D	403
C02F	404
E02D	405
E21D	406
C02F	407
C12M	408
A62D	409
C02F	410
B09B	411
B01D	412
C02F	413
B09B	414
C02F	415
B09B	416
C02F	417
E03F	418
A61K	419
C02F	420
E02B	421
B09B	422
C01B	423
B32B	424
E04C	425
C12S	426
B09B	427
C02F	428
B09B	429
B09B	430
C10G	431
B01D	432
E02D	433
B65D	434
B28B	435
C25C	436
B09B	437
C25F	438
C02F	439
C02F	440
C02F	441
C02F	442
B01D	443
B28B	444
B01F	445
C10L	446
B01D	447
C02F	448
C02F	449
B01D	450
B01D	451
B01D	452
C02F	453
C02F	454
F16L	455
E02B	456
B09B	457
B01D	458
C08K	459
C25C	460
B01D	461
C02F	462
B01D	463
C02F	464
B02C	465
B65D	466
C25C	467
C02F	468
A62D	469
B30B	470
B03C	471
C01B	472
C25F	473
C02F	474
C02F	475
C02F	476
E02D	477
C02F	478
E21D	479
C02F	480
C12Q	481
C01B	482
B02C	483
C09K	484
A61B	485
F26B	486
C02F	487
C02F	488
F16L	489
C02F	490
C02F	491
C02F	492
C10J	493
B09C	494
B01J	495
C08K	496
A01G	497
E01B	498
B32B	499
B23D	500
E02D	501
B01D	502
C02F	503
C02F	504
C02F	505
E02D	506
B01D	507
C02F	508
A62D	509
B01D	510
C10J	511
E01C	512
C02F	513
B65D	514
B09B	515
E02D	516
E21B	517
H01M	518
C02F	519
C12M	520
E21B	521
C02F	522
E02B	523
B01D	524
B01D	525
E03F	526
C02F	527
C02F	528
C02F	529
E02B	530
E02D	531
C02F	532
C25D	533
C04B	534
E21B	535
C02F	536
E21B	537
C02F	538
E21B	539
E21B	540
E21B	541
E21B	542
C02F	543
B09B	544
E21B	545
C12S	546
E21B	547
B09B	548
B01D	549
C02F	550
E21B	551
C02F	552
C07F	553
C02F	554
E02D	555
E02D	556
E04H	557
B01D	558
E21B	559
E04H	560
B23P	561
C07J	562
C02F	563
E03F	564
B08B	565
C02F	566
C02F	567
B01J	568
C02F	569
B29B	570
C12S	571
B09C	572
E02D	573
C02F	574
A62D	575
C02F	576
B01D	577
C02F	578
C02F	579
B01D	580
C04B	581
C02F	582
C02F	583
F23J	584
B09B	585
C02F	586
B02C	587
B09B	588
B02C	589
C03C	590
A01H	591
F02C	592
C02F	593
B09B	594
C02F	595
C02F	596
B01D	597
B01D	598
G06F	599
C02F	600
C02F	601
C02F	602
B01D	603
E02F	604
G06F	605
E02F	606
C02F	607
B01D	608
C25C	609
C02F	610
B01D	611
B01D	612
C02F	613
C02F	614
B01D	615
F25D	616
B09C	617
G21F	618
C02F	619
F25D	620
C02F	621
C02F	622
C01B	623
B01D	624
B01J	625
E04B	626
A61L	627
B32B	628
C02F	629
G21F	630
C02F	631
C02F	632
B32B	633
B01D	634
C02F	635
C02F	636
F27D	637
A61B	638
C02F	639
C03B	640
B01D	641
B09B	642
A62D	643
C02F	644
C02F	645
C02F	646
B08B	647
C02F	648
C02F	649
C02F	650
B23K	651
C02F	652
E02D	653
B01D	654
B01D	655
E21B	656
C02F	657
A61M	658
C02F	659
A01M	660
C01D	661
E02B	662
F03B	663
A22C	664
E02B	665
E02B	666
E01F	667
E02B	668
E02B	669
B65D	670
E02B	671
E02B	672
E02B	673
E02D	674
E02B	675
E02B	676
B29C	677
B29C	678
B64C	679
E02B	680
B65D	681
E02D	682
E02B	683
E02B	684
C09K	685
B65D	686
E21B	687
E02D	688
E02D	689
E02D	690
B65B	691
E02B	692
B28B	693
E02B	694
E02B	695
F15D	696
B22C	697
B22C	698
B22C	699
E02B	700
E02B	701
C02F	702
H02P	703
B28B	704
E02D	705
E02B	706
E02D	707
E04C	708
B32B	709
E02B	710
E02D	711
E02B	712
B28B	713
C03C	714
E02B	715
B65D	716
E02B	717
D01D	718
E02B	719
B01D	720
B28B	721
F16J	722
E04C	723
E02D	724
E02B	725
E02D	726
A61B	727
B28B	728
E02D	729
E02B	730
E02B	731
E02D	732
B32B	733
E02B	734
B27N	735
E02D	736
H04N	737
E02D	738
E02B	739
E02D	740
B28B	741
E02B	742
E02D	743
E02D	744
B32B	745
E02D	746
E04H	747
B29C	748
E02D	749
E21B	750
B63B	751
E02D	752
B28B	753
E21B	754
E02B	755
E02B	756
E02D	757
E04B	758
B63B	759
B28B	760
E02B	761
E02B	762
E02D	763
E02D	764
B32B	765
B01D	766
E02F	767
B28B	768
E02B	769
E21B	770
B05C	771
E02B	772
E02B	773
E04H	774
B63B	775
E02B	776
B28B	777
E02B	778
E02B	779
E21C	780
E04G	781
E01F	782
E02B	783
E02B	784
E02D	785
E01D	786
E21B	787
E02B	788
E02B	789
E02B	790
B32B	791
G02B	792
E02D	793
G01B	794
E02B	795
E04B	796
E02B	797
E02B	798
B66C	799
E02B	800
G02B	801
E02B	802
E02B	803
E02B	804
E02D	805
B28B	806
E02B	807
B22D	808
E02B	809
E02D	810
E02D	811
E02D	812
B63B	813
B28B	814
E02B	815
B29D	816
B32B	817
B28B	818
C01D	819
E02B	820
E02B	821
E02B	822
E02D	823
E02B	824
