	patent_id	application_citation_id
0	8628627	2008/0040872
1	8628627	2002/0088480
2	8628627	2008/0216873
3	8628627	2003/0209256
4	8628627	2005/0199271
5	8628627	2006/0243308
6	8628627	2007/0000528
7	8628627	2002/0001255
8	8628627	2007/0048127
9	8628627	2002/0092423
10	8628627	2007/0059159
11	8628627	2008/0178909
12	8628627	2006/0219269
13	8628627	2006/0060233
14	8628627	2006/0060218
15	8628627	2009/0050183
16	8596928	2003/0143026
17	8596928	2005/0241257
18	8598405	2005/0059762
19	8598405	2006/0282052
20	8598405	2005/0106087
21	8598405	2003/0092849
22	8551341	2009/0272689
23	8551341	2007/0021300
24	8551341	2012/0097608
25	8551341	2011/0005284
26	8551341	2009/0218281
27	8551341	2007/0209999
28	8551341	2006/0225574
29	8551341	2003/0132160
30	8551341	2010/0200500
31	8551341	2007/0114182
32	8551341	2010/0133182
33	8551341	2005/0178725
34	8551341	2007/0122609
35	8551341	2008/0283469
36	8551341	2011/0006002
37	8551341	2012/0279920
38	8551341	2008/0047895
39	8551341	2007/0123419
40	8535534	2010/0116734
41	8535534	2007/0199893
42	8529764	2001/0035381
43	8529764	2002/0104807
44	8523965	2007/0017874
45	8523965	2011/0039318
46	8523965	2009/0107915
47	8523965	2010/0314263
48	8523965	2010/0038310
49	8523965	2009/0166296
50	8523965	2009/0217575
51	8523965	2010/0042557
52	8523965	2011/0192730
53	8523965	2005/0115478
54	8523965	2007/0199868
55	8523965	2010/0126926
56	8523965	2011/0003676
57	8486271	2006/0293417
58	8486271	2006/0025312
59	8454838	2003/0094421
60	8454838	2002/0117430
61	8454838	2004/0217326
62	8454838	2007/0059562
63	8454838	2011/0210076
64	8454838	2006/0054568
65	8454838	2003/0091467
66	8454838	2004/0211450
67	8454838	2006/0174430
68	8454838	2004/0129644
69	8454838	2006/0169322
70	8454838	2003/0228195
71	8454838	2011/0061194
72	8454838	2008/0116142
73	8454838	2011/0062067
74	8454838	2004/0226896
75	8454838	2009/0050572
76	8454838	2007/0181498
77	8454838	2004/0025269
78	8454838	2010/0320147
79	8435411	2007/0142213
80	8435411	2009/0169447
81	8435411	2008/0185339
82	8430600	2009/0050025
83	8430600	2004/0079699
84	8382075	2008/0213137
85	8382075	2002/0069838
86	8382075	2004/0213721
87	8382075	2007/0251650
88	8382075	2002/0158024
89	8382075	2005/0074712
90	8382075	2004/0040671
91	8382075	2004/0045681
92	8382985	2005/0269262
93	8376657	2009/0050025
94	8360689	2005/0274532
95	8360689	2006/0088388
96	8360689	2008/0205993
97	8328470	2008/0205993
98	8328470	2006/0088388
99	8328470	2005/0274532
100	8313921	2002/0067953
101	8313921	2001/0044566
102	8313921	2002/0111527
103	8302357	2009/0266016
104	8302357	2005/0183363
105	8302357	2010/0095617
106	8282790	2006/0101848
107	8282790	2005/0183832
108	8282790	2002/0092758
109	8282790	2003/0230440
110	8282790	2004/0099521
111	8282790	2008/0133181
112	8282790	2008/0105610
113	8282790	2005/0250062
114	8282790	2005/0016828
115	8282790	2008/0105403
116	8282790	2001/0042373
117	8282790	2005/0279620
118	8282790	2007/0112530
119	8282790	2003/0024387
120	8282790	2008/0105533
121	8282790	2004/0222079
122	8282790	2003/0132096
123	8282790	2002/0092762
124	8282790	2008/0105532
125	8282790	2005/0008272
126	8282790	2002/0092757
127	8282790	2008/0105530
128	8282790	2005/0238499
129	8282790	2007/0017192
130	8282790	2005/0188745
131	8282790	2005/0154499
132	8282790	2005/0112007
133	8282790	2005/0194048
134	8282790	2008/0092536
135	8282790	2005/0121302
136	8282790	2004/0134645
137	8282790	2007/0028612
138	8282790	2004/0074757
139	8282817	2003/0164329
140	8282817	2006/0043017
141	8273249	2003/0136740
142	8147695	2004/0144728
143	8147695	2007/0256982
144	8137544	2007/0031190
145	8137544	2002/0011489
146	8114260	2003/0089609
147	8114260	2005/0103717
148	8114260	2005/0103622
149	8114260	2006/0060532
150	8114260	2002/0189951
151	8114260	2006/0231403
152	8114260	2005/0103723
153	8114260	2003/0080467
154	8114260	2003/0155243
155	8114260	2004/0089551
156	8114260	2003/0201235
157	8114260	2005/0103631
158	8114260	2001/0003329
159	8114260	2003/0098266
160	8114260	2002/0092769
161	8114260	2005/0109703
162	8114260	2004/0079700
163	8100605	2004/0213755
164	8100605	2008/0057134
165	8100605	2005/0084334
166	8100605	2002/0018865
167	8100605	2005/0113771
168	8100605	2006/0191655
169	8100605	2004/0171318
170	8100605	2005/0054252
171	8100605	2005/0027081
172	8100605	2005/0220542
173	8101082	2006/0243009
174	8101082	2006/0254331
175	8101082	2010/0139346
176	8092680	2006/0033220
177	8092680	2007/0062866
178	8092680	2006/0254980
179	8092680	2009/0032473
180	8092680	2007/0167533
181	8092680	2009/0242424
182	8092680	2003/0205277
183	8092680	2004/0133057
184	8092680	2006/0249021
185	8092680	2006/0060526
186	8092680	2004/0007527
187	8092680	2006/0102007
188	8092680	2006/0254977
189	8092680	2002/0079266
190	8092680	2009/0126543
191	8092680	2006/0254979
192	8092680	2007/0270512
193	8092680	2009/0166300
194	8092680	2007/0299145
195	8092680	2007/0218540
196	8092680	2008/0223731
197	8092680	2005/0224338
198	8092680	2009/0152203
199	8092680	2007/0057389
200	8092680	2004/0217058
201	8092680	2005/0064567
202	8092680	2006/0275895
203	8092680	2007/0234796
204	8092680	2008/0074944
205	8092680	2003/0222030
206	8039081	2002/0044842
207	8039081	2003/0178122
208	8039081	2007/0183852
209	8039081	2003/0224143
210	8039081	2009/0159177
211	8006446	2010/0111810
212	8006446	2010/0083880
213	8006446	2006/0169177
214	8006446	2006/0060532
215	8006446	2008/0134891
216	8006446	2005/0098499
217	8006446	2006/0185560
218	8006446	2011/0033239
219	8006446	2007/0056487
220	8006446	2010/0154679
221	8006446	2006/0093540
222	8006446	2002/0009410
223	8006446	2005/0232855
224	8006446	2007/0113500
225	8006446	2008/0236143
226	8006446	2009/0081093
227	8006446	2008/0245672
228	8006446	2008/0223727
229	8006446	2009/0263301
230	8006446	2010/0258035
231	8006446	2004/0109927
232	8006446	2010/0116683
233	8006446	2006/0185516
234	8006446	2003/0213937
235	8006446	2010/0247410
236	8006446	2006/0186562
237	8006446	2009/0120288
238	8006446	2009/0301352
239	8006446	2003/0146163
240	8006446	2011/0067603
241	8006446	2010/0089142
242	8006446	2009/0001020
243	8006446	2004/0234443
244	8006446	2009/0078162
245	8006446	2010/0236242
246	8006446	2009/0090277
247	8006446	2010/0230830
248	8006446	2005/0036932
249	8006446	2008/0270272
250	8006446	2010/0290967
251	8006446	2011/0059000
252	8006446	2005/0031515
253	8006446	2004/0014845
254	8006446	2006/0195002
255	8006446	2004/0028963
256	8006446	2010/0144521
257	8006446	2009/0010827
258	8006446	2010/0200419
259	8006446	2008/0099122
260	8006446	2002/0127474
261	8006446	2011/0067605
262	8006446	2010/0158786
263	8006446	2007/0045125
264	8006446	2011/0042230
265	8006446	2010/0313793
266	8006446	2010/0024686
267	8006446	2010/0230293
268	8006446	2008/0275149
269	8006446	2011/0091955
270	8006446	2007/0233616
271	8006446	2006/0288912
272	8006446	2010/0051859
273	8006446	2010/0140103
274	8006446	2011/0035154
275	8006446	2004/0111968
276	8006446	2007/0163443
277	8006446	2008/0248350
278	8006446	2004/0213705
279	8006446	2007/0184394
280	8006446	2008/0059206
281	8006446	2008/0171158
282	8006446	2005/0136310
283	8006446	2010/0077691
284	8006446	2009/0214408
285	8006446	2006/0039853
286	8006446	2004/0259231
287	8006446	2007/0186820
288	8006446	2009/0081112
289	8006446	2010/0135882
290	8006446	2010/0326328
291	8006446	2001/0022952
292	8006446	2004/0040715
293	8006446	2010/0196104
294	8006446	2011/0030586
295	8006446	2003/0027023
296	8006446	2005/0255174
297	8006446	2010/0155258
298	8006446	2006/0286011
299	8006446	2008/0233029
300	8006446	2011/0079515
301	8006446	2010/0319586
302	8006446	2003/0123930
303	8006446	2010/0084280
304	8006446	2004/0231568
305	8006446	2007/0092427
306	8006446	2006/0249380
307	8006446	2001/0054253
308	8006446	2008/0276553
309	8006446	2009/0186244
310	8006446	2009/0148238
311	8006446	2003/0188668
312	8006446	2004/0224214
313	8006446	2010/0132556
314	8006446	2005/0118081
315	8006446	2011/0054084
316	8006446	2009/0081096
317	8006446	2010/0229725
318	8006446	2005/0031522
319	8006446	2005/0002847
320	8006446	2010/0068109
321	8006446	2011/0083968
322	8006446	2005/0087496
323	8006446	2008/0245274
324	8006446	2004/0267077
325	8006446	2005/0154669
326	8006446	2010/0135865
327	8006446	2007/0212584
328	8006446	2006/0048517
329	8006446	2010/0132591
330	8006446	2007/0261947
331	8006446	2006/0173169
332	8006446	2009/0143211
333	8006446	2005/0252215
334	8006446	2004/0139891
335	8006446	2008/0104858
336	8006446	2010/0219373
337	8006446	2008/0035036
338	8006446	2004/0126293
339	8006446	2011/0071309
340	8006446	2010/0077922
341	8006446	2002/0151017
342	8006446	2011/0036728
343	8006446	2005/0011770
344	8006446	2006/0185985
345	8006446	2005/0129606
