국가코드,DB종류,특허/실용 구분,문헌종류 코드,발명의 명칭,요약,대표청구항,청구항 수,출원번호,출원일,공개번호/공표/재공표 ,공개일,등록번호,등록일,출원인,출원인 국적,출원인 수,출원인 대표명화 코드,출원인 대표명화 영문명,출원인 대표명화 국문명[KR],출원인 식별기호[JP],발명자/고안자,우선권 번호,우선권 국가,우선권 주장일,국제 공개번호,국제 공개일,Original CPC Main,Original CPC All,Original IPC Main,Original IPC All,Original US Class Main[US],Original US Class All[US],Original FI[JP],Original F-term[JP],Original Theme Code [JP],WIPS ON key
US,US,P,A1,TOOL LUBRICATION DELIVERY MONITORING SYSTEM AND METHOD,A tool lubrication delivery monitoring system and a method of control. An accelerometer is provided to detect a position of a valve and fluid flow through the valve. Accelerometer data may be compared to a baseline profile to determine whether fluid flow or valve operation is within established parameters.,"1. A tool lubrication delivery system comprising: a fluid supply unit disposed on a spindle, the fluid supply unit including a valve assembly having a valve that moves along an axis between a closed position in which flow of a lubricant is inhibited and a open position in which flow of the lubricant is permitted; andan accelerometer disposed on the valve assembly along the axis that detects acceleration of the valve.",20,13/166885,2011-06-23,2012-0325321,2012-12-27,,,FORD MOTOR COMPANY,US,1,EN000140,FORD MOTOR CO,,,James William Perry | Chandra Jalluri,,,,,,,,F16K-031/02,F16K-031/02,137/001,137/001 | 137/487.5,,,,5.41E+12
US,US,P,A1,WEB BASED REMOTE MONITORING AND CONTROL SYSTEM,"An Internet-based remote monitoring and control system for monitoring and controlling automated facilities comprising of one or more automation means and one or more communication means located at the facilities, a service means, wherein the service means interfaces with a protocol adaptation means, interaction means having at least one interface presentation means and one or more input/output means. The system establishes an Internet-based first connection between an automation means and the service means where the connection is facilitated by a communication means that acts as a transparent proxy. The system transfers ‘automation means monitoring and controlling data’ to and from the protocol adaptation means through the first connection which further enables a second connection between itself and an interaction means, and translates and transfers ‘automation means monitoring and controlling data’ to and from the interaction means which is monitored and controlled by a user.","1. An Internet-based remote monitoring and control system comprising: one or more automation means located at one or more facilities,one or more communication means located at one or more facilities,a service means, the service means interfacing with a protocol adaptation means,one or more interaction means,wherein at least one Internet-based first connection between an automation means and the service means is established and maintained,at least one second connection between the protocol adaptation means and an interaction means is established as required,the first connection(s) between the automation means and the service means is being facilitated through the communication means, the communication means acting as a transparent proxy for the connection(s),the service means makes the first connection(s) available to the protocol adaptation means to enable transfer of ‘automation means monitoring and/or controlling data’ between the automation means and the protocol adaptation means,the protocol adaptation means enables the second connection(s) from the interaction means and enables transfer of ‘automation means monitoring and/or controlling data’ between the automation means and the interaction means,the protocol adaptation means translates data received in the communication protocol of the automation means into the communication protocol of the interaction means and/or vice-versa.",50,13/578635,2011-02-14,2012-0316658,2012-12-13,,,EXELOO LIMITED,NZ,1,,,,,Daniel John Glew,583295,NZ,2010-02-15,,,,,G05B-015/00,G05B-015/00,700/001,700/001,,,,5.41E+12
US,US,P,B2,Compilation model,"The claimed subject matter provides a system and/or method that facilitates creating executable code for an industrial environment. A language editor can enable a programming of a portion of data within a programming language. A compiler can compile the portion of data within the programming language. An assembler component can utilize an intermediate language to convert the portion of data into a portion of assembly object code, wherein the assembly object code is target independent. A linker can create a binary file from the portion of assembly object code, wherein the binary file is target independent. A loader can specifically tailor the binary file to a target resource by leveraging at least one PLC definition, wherein the loader creates a target executable code (TEC) program at runtime or at development time.","1. A system that facilitates creating executable code for an industrial environment, comprising: a processor;a memory communicatively coupled to processor, the memory having stored therein computer-executable instructions, comprising:a compiler configured to receive a portion of data programmed in a programming language and to compile the portion of data into compiled code;an assembler component configured to assemble the compiled code into an assembly object code in an intermediate language that is hardware processor independent;a linker configured to generate an intermediate language binary file from assembly object code, wherein the intermediate language binary file is hardware processor independent; anda loader configured to create a first target executable code program from the intermediate language binary file based on a first programmable logic controller definition for a first hardware processor and to create a second target executable code program from the intermediate language binary file based on a second programmable logic controller definition for a second hardware processor, wherein the first hardware processor is distinct from the second hardware processor, the first target executable code program is native assembler code executable by the first hardware processor but not by the second hardware processor, and the second target executable code program is native assembler code executable by the second hardware processor but not by the first hardware processor.",16,12/242662,2008-09-30,2010-0083223,2010-04-01,8327316,2012-12-04,ICS Triplex Isagraf Inc.,CA,1,,,,,Julien Chouinard | Gilles Brunet | Denis Lavallee | Chan-Dara Trang | Jean-Francois Laliberte | Frederic Darveau | Olivier Larouche,,,,,,,,G06F-009/44,G06F-009/44 | G06F-009/45,717/100,717/100 | 717/140 | 717/146,,,,4.91E+12
US,US,P,A1,METHOD FOR PROTECTING A GAS TURBINE ENGINE AGAINST HIGH DYNAMICAL PROCESS VALUES AND GAS TURBINE ENGINE FOR CONDUCTING THE METHOD,"A method can protect a gas turbine engine (10), which includes a compressor (11), a combustor (13), and a turbine (12), against high dynamical process values, especially in combustor/flame pulsations. Effective protection against high dynamical process values, especially in combustor/flame pulsations, can be achieved by: a) measuring the pulsations of the combustor (13) with a suitable sensor (18),b) dividing the frequency spectrum of the measured pulsation signal up into pre-defined band pass sections,c) computing the rms (root mean square) of the signal for each band,d) weighting the computed frequency/frequency band rms with predetermined weighting factors,e) cumulating the weighted frequency/frequency band rms values to get a Pulsation Limit Criterion (PLC) value,f) comparing the PLC value with at least one reference value (23), andg) operating the gas turbine engine (10) according to the result of the comparison.","1. A method for protecting a gas turbine engine, the gas turbine having a compressor, a combustor, and a turbine, against high dynamical process values, including combustor/flame pulsations, the method comprising: a) measuring pulsations of the combustor with a sensor;b) dividing the frequency spectrum of the measured pulsation signal up into pre-defined band pass sections;c) computing the root mean square (rms) of the signal for each band;d) weighting the computed frequency/frequency band rms with predetermined weighting factors;e) cumulating the weighted frequency/frequency band rms values to get a Pulsation Limit Criterion (PLC) value;f) comparing the PLC value with at least one reference value; andg) operating the gas turbine engine according to the result of said comparing.",6,13/462920,2012-05-03,2012-0279229,2012-11-08,,,,,0,,,,,Hanspeter Zinn | Ghislain Singla | Bruno Schuermans | Piotr Siewert,2011-000772,CH,2011-05-05,,,,,F02C-009/00,F02C-009/00,060/773,060/773 | 060/039.24,,,,5.41E+12
US,US,P,B1,Control system for machine that cleans drums of ready mixed concrete trucks,"A control apparatus for an apparatus that cleans the drum of a ready mixed concrete truck includes a CAN-bus control system that includes a nozzle lance position encoder, a boom position encoder, a human-machine interface, a programmable logic controller, and monitors for an engine, hydraulic valves, and pressure sensors. The nozzle lance position encoder includes a rotary encoder, a bi-directional motor, a nozzle lance including a nozzle adapted to discharge water under high pressure, and a swivel assembly to which the nozzle lance is mounted for reciprocating motion. The programmable logic controller enables an operator to control the range of oscillation of the nozzle lance by inputting a desired range of oscillation into the programmable logic controller. An operator can also control extension and retraction of an elongate boom by inputting a desired rate of extension and retraction into the programmable logic controller.","1. A control apparatus for a machine that cleans drums of a ready mixed concrete truck, comprising: a rotary encoder having an output shaft;an encoder sprocket mounted on said rotary encoder output shaft for conjoint rotation therewith;a bi-directional motor having an output shaft;a bi-directional motor sprocket mounted on said bi-directional motor output shaft for conjoint rotation therewith;a nozzle lance including a nozzle adapted to discharge water under high pressure, said nozzle lance adapted for fluid communication with a source of water under high pressure;a swivel assembly having an output shaft to which said nozzle lance is mounted for reciprocating movement in a substantially vertical plane about a horizontal axis;a swivel assembly sprocket mounted to said swivel assembly output shaft for conjoint rotation therewith;said bi-directional motor sprocket and said swivel assembly sprocket being laterally disposed in relation to one another;a sprocket chain that meshingly engages said bi-directional motor sprocket and said swivel assembly sprocket to form a loop-shaped path of travel so that said sprocket chain rotates in a first direction when said bi-directional sprocket and said swivel assembly sprocket rotate in a first direction and in a second direction opposite to the first direction when said bi-directional sprocket and said swivel assembly sprocket rotate in a second direction opposite to the first direction;said encoder sprocket meshingly engaging said sprocket chain;a programmable logic controller in electrical communication with said bi-directional motor and said rotary encoder;an elongate boom and a housing through which said elongate boom extends;a bi-directional motor mounted on said housing and having an output shaft;a boom position rotary encoder mounted on said output shaft for conjoint rotation therewith;a pinion gear mounted on said output shaft;a rack gear mounted to said elongate boom and said rack gear meshingly engaged to said pinion gear so that rotation of said pinion gear in a first direction effects linear motion of said elongate boom in a first direction and rotation of said pinion gear in a second direction effects linear motion of said elongate boom in a second direction opposite to said first direction;a programmable logic controller in electrical communication with said bi-directional motor and said rotary encoder;whereby an operator controls the rate of oscillation of said nozzle lance by inputting a desired stroke rate into the PLC, said PLC comparing a measured oscillation as reported by said rotary encoder and comparing said measured oscillation with a desired stroke rate and adjusting the hydraulic valve accordingly to speed up or slow down the measured oscillation so that said measured oscillation changes to the desired oscillation;whereby an operator controls the range of oscillation of said nozzle lance by inputting a desired stroke range into the PLC, said PLC comparing a measured range as reported by said rotary encoder and comparing said measured range with a desired stroke range and adjusting the hydraulic valve accordingly to increase or decrease the measured range so that said measured range changes to the desired range; andwhereby an operator controls extension and retraction of said elongate boom by inputting a desired extension or retraction rate into the PLC, said PLC comparing a measured extension or retraction rate as reported by said rotary encoder and comparing said measured extension or retraction rate with a desired extension or retraction rate and adjusting said bi-directional motor accordingly to speed up or slow down the measured extension or retraction rate so that said measured extension or retraction rate changes to the desired extension or retraction rate.",3,12/839781,2010-07-20,,,8301306,2012-10-30,"Blasters, LLC",US,1,EN072964,BLASTERS LLC,,,Frederick A. Boos | Scott F. Boos | William D. Kerr,,,,,,,,G05B-015/00,G05B-015/00 | B08B-001/00 | B08B-007/04 | B08B-003/00,700/280,700/280 | 134/014 | 134/018 | 134/034,,,,4.91E+12
US,US,P,A1,CONTROL SYSTEM FOR HIGH POWER LASER DRILLING WORKOVER AND COMPLETION UNIT,"There is provided a control, monitoring, and control and monitoring system for controlling and monitoring a high power laser system for performing high power laser operations and, in particular, for performing high power laser operation on, and in, remote and difficult to access locations.","1. A system for controlling, operating, or monitoring, a high power laser unit having a source of high power laser energy, a high power optical conveyance device, a high power laser tool, wherein the high power optical conveyance device provides optical communication for a laser beam from the high power laser energy source to be conveyed to the high power laser tool, the system comprising: a. a control network comprising: i. a first monitoring device;ii. a second monitoring device;iii. wherein the first monitoring devices is positioned with respect to a location on the unit to detect laser energy;iv. wherein the second monitoring device is positioned with respect to a location on the unit to detect the status of a component of the unit;v. the first and second monitoring devices, in communication with a controller, wherein at least one of the monitoring devices can send a signal on the network; and,vi. the controller is configured to act upon the signal from the monitoring device and performing a predetermined operation based upon the signal.",16,13/403692,2012-02-23,2012-0248078,2012-10-04,,,,,0,,,,,Mark S. Zediker | Siamak Makki | Brian O. Faircloth | Ronald A. DeWitt | Erik C. Allen | Lance D. Underwood,,,,,,,,B23K-026/16,B23K-026/16,219/121.67,219/121.67,,,,5.41E+12
US,US,P,B2,Editing lifecycle and deployment of objects in an industrial automation environment,"An editor in an industrial automation environment comprises an input component that receives modification data relating to at least one of lifecycle and deployment of an object, the object is associated with a programmable logic controller and configured in accordance with a hierarchically structured data model. An implementation component can implement the modification data with respect to the object. The editor can further comprise a security component that determines that an entity providing the data to the input component is authorized to implement the modification data.","1. A system for configuring state-based control, comprising: an editor configured to create an object conforming to a hierarchically structured data model of an industrial system and to associate deployment data and lifecycle data with the object, the object configured to implement state-based control of an industrial system, wherein the deployment data comprises a deployment service and an associated deployment event, and the lifecycle data comprises one or more lifecycle states and associated one or more lifecycle events.",20,13/269182,2011-10-07,2012-0029664,2012-02-02,8280537,2012-10-02,"Rockwell Automation Technologies, Inc.",US,1,EN002228,ROCKWELL AUTOMATION TECH INC,,,Sujeet Chand | Stephen C. Briant | Kenwood H. Hall | Gavan W. Hood | John J. Baier | Michael D. Kalan,,,,,,,,G05B-019/42,G05B-019/42,700/087,700/087 | 717/107,,,,4.91E+12
US,US,P,A1,ON LINE VIBRATION DETECTED AND INTELLIGENT CONTROL APPARATUS FOR CUTTING PROCESS WHICH INTEGRATED WITH MACHINE TOOL'S I/O MODULE AND METHOD THEREOF,"An on-line vibration detected and intelligent control apparatus for cutting process which integrated with machine tool's I/O module and a method thereof are disclosed, which can detect vibration of the machine tool during a machining process and calculate a gain, which can be a plus value or a minus value, according to the detected vibration signal. By adding the gain to the current spindle speed or the current feed rate of the machining process, an updated spindle speed or an updated feed rate is obtained so as to be used in the machining process for compensating and thus preventing the vibration of the machine tool during the machining process.","1. An on-line vibration detected and intelligent control apparatus for cutting process, designed to be integrated with an input/output (I/O) module of a machine tool as the machine tool is comprised of: a workbench; a spindle, disposed at a position proximate to the workbench; and a controller, configured with an I/O module, the apparatus comprising: at least one vibration sensor, each disposed at a position selected from the group consisting of: the spindle and the workbench;a vibration signal processing unit, configured with a microcomputer processor and being electrically connected to the at least one vibration sensor and the I/O module.",15,13/112857,2011-05-20,2012-0243952,2012-09-27,,,INDUSTRIAL TECHNOLOGY RESEARCH INSTITUTE,TW,1,UN000852,IND TECH RES INST,,,Tzu-Hsin Kuo | Chun-Hung Huang | Tsang-Fang Jeng | Dian-Yun Ji,2011110038,TW,2011-03-24,,,,,B23B-035/00,B23B-035/00 | B23B-041/00,408/001.R,408/001.R | 408/008,,,,5.41E+12
US,US,P,A1,SYSTEM AND METHOD FOR VERIFICATION AND VALIDATION OF REDUNDANCY SOFTWARE IN PLC SYSTEMS,"Formal methods are instituted to verify and validate the finite state machine (FSM) of PLC redundancy software. The method and system is implemented through each phase in the lifecycle of the redundancy software; that is, the requirement phase, design phase, implementation phase and, finally, integration phase (including system integration). At each step along the way, the verification and validation process uses tools such as a checklist-based review and inspection, a requirement traceability analysis, formal verification (model checking) and the like to ensure that the created redundancy software is error-free and will perform as intended when implemented in the redundant PLC system.","1. A computer readable medium including programming instructions for performing verification and validation of redundancy software for a programmable logic control (PLC) system, comprising programming instructions for: processing PLC redundancy requirements to create a feature specification, including a comparison of the PLC redundancy requirements and the created feature specification to verify and validate that all redundancy requirements are properly represented in the feature specification;processing the feature specification to generate a related architecture specification of software components capable of performing the defined features and a detailed design document of each software component, including a comparison of the feature specification and the architecture specification and detailed design documents to verify and validate that all features are properly represented in the architecture specification and associated detailed design documents;capturing a finite state machine design from the detailed design documents and verifying the finite state machine design;creating source code modules from the detailed design documents, wherein each source code module is tested to perform verification and validation; andintegrating the verified and validated source code modules with the redundancy component of the PLC system, including performing verification and validation of the operation of the source code modules in the PLC system.",18,13/415897,2012-03-09,2012-0246612,2012-09-27,,,Siemens Corporation,US,1,UN000041,SIEMENS AG,,,Kun Ji | Zhen Song,,,,,,,,G06F-009/44,G06F-009/44,717/104,717/104,,,,5.41E+12
US,US,P,B2,Object detection device,An object detecting device for detecting the existence and general placement of an object residing upon a surface. A preferred embodiment of the invention uses a laser measuring scanner operated positioned by a servo motor to allow the laser measuring scanner to generate signals related to the placement of an object on a surface. Those placement signals are then processed by a computer to make a two or three dimensional determination of the object in coordinates that show the object's location in relation to another device such as a robotic depalletizer that can then be moved into position near the object to allow removal of the object by the robotic depalletizer.,"1. An object detection device comprising: a repositionable laser measuring scanner capable of emitting and detecting a laser beam and wherein the laser measuring scanner is capable of communicating at least one signal containing data associated with the laser beam; anda layer sensing controller capable of accepting the at least one signal communicated from the laser measuring scanner wherein the layer sensing controller uses the at least one signal to determine a set of coordinates of an object being detected that is within a range and scope of the laser beam, wherein the object being detected is a load that includes a pallet of generally rectangular-shaped objects,wherein the set of coordinate points is related to the location of a top layer of the load andwherein the set of coordinate points is compared to an ideal center point of the top layer and that comparison is used to determine the amount of any adjustments needed to allow a depalletizer to properly center a depalletizer tool of the depalletizer in relation to the top layer to be picked from the load.",32,12/217926,2008-07-10,2009-0138121,2009-05-28,8264697,2012-09-11,"Intelligrated Headquarters, LLC",US,1,EN082586,INTELLIGRATED HEADQUARTERS LLC,,,Matthew R. Wicks | Christopher S. Maue,,,,,,,,G01B-011/03,G01B-011/03 | G01B-011/06 | G06F-007/00,356/614,356/614 | 356/625 | 700/219,,,,4.91E+12
