patent	us_class
0	134/166.R
0	134/138
1	106/627
1	106/600
1	106/631
1	106/632
1	106/634
1	210/702
2	204/554
3	588/002
3	588/315
4	210/709
4	210/711
4	210/712
4	210/713
4	210/714
4	210/724
4	210/726
4	210/738
4	210/739
4	210/745
5	210/636
5	210/189
5	210/638
6	053/434
6	053/436
7	405/286
7	405/284
7	047/044
7	047/047
7	047/083
8	604/368
8	524/300
8	524/322
8	588/249
8	588/255
9	210/609
10	210/741
10	210/109
10	210/103
10	210/117
10	210/747.9
10	210/137
11	210/747.9
11	210/109
11	210/117
12	422/004
12	315/294
12	362/249.02
12	422/024
12	210/748.11
13	248/534
13	248/530
13	052/296
14	210/648
14	210/188
15	210/634
15	210/096.1
15	210/767
15	210/787
15	210/774
15	210/772
15	210/739
15	210/202
16	210/739
16	210/767
16	210/800
16	210/198.1
17	210/605
17	210/614
17	210/623
17	210/626
17	210/628
18	210/610
18	210/620
18	210/170.06
18	136/244
19	048/204
19	048/102.R
19	048/127.9
19	203/047
19	203/087
19	203/099
19	210/705
19	210/713
19	210/748.01
20	210/631
21	210/614
21	210/205
21	210/102
21	210/097
21	210/620
22	405/302.7
23	405/302.7
24	201/006
24	201/020
24	202/099
25	405/270
25	405/302.7
26	524/060
26	524/547
26	524/446
26	526/240
27	204/571
27	204/660
28	210/681
28	210/687
28	106/713
29	210/710
29	210/170.09
29	210/170.05
30	423/581
31	210/695
31	210/192
31	204/267
31	210/512.1
31	210/513
31	210/103
31	335/209
31	423/419.1
31	423/592.1
32	210/727
32	210/702
32	210/731
32	210/735
32	210/732
32	210/733
32	210/723
32	210/728
32	210/726
32	210/085
33	210/742
33	210/746
33	210/764
34	209/162
35	405/038
35	405/129.95
36	588/317
36	252/184
36	264/013
36	118/429
37	210/666
37	568/009
37	210/663
37	210/665
38	210/198.1
39	210/613
40	405/129.95
40	405/129.57
40	405/129.7
40	405/129.75
40	405/129.85
41	210/670
41	210/660
41	502/439
41	502/406
41	502/407
41	502/411
42	204/252
42	204/253
42	204/257
42	205/746
43	052/220.1
43	052/293.3
44	210/707
44	210/192
44	210/704
45	210/721
46	210/749
46	210/241
46	210/221.2
46	210/194
46	210/085
46	210/205
46	210/207
47	588/250
47	206/006
48	588/250
48	206/006
48	428/402.2
48	428/402.21
49	261/123
49	261/124
49	261/126
49	210/101
49	210/109
49	210/137
49	210/218
49	210/220
50	210/615
50	210/619
50	210/151
51	210/652
51	210/097
52	405/129.95
52	405/129.85
52	405/129.75
52	405/129.7
52	405/129.57
53	210/636
54	435/134
54	044/385
54	048/197.R
55	435/136
56	702/005
56	702/155
56	702/166
56	702/167
57	165/104.13
57	165/104.31
58	405/233
58	405/271
59	106/708
59	106/807
59	106/790
59	210/198.1
60	261/072.1
61	210/609
62	518/702
62	422/187
62	422/148
63	029/428
63	428/099
64	405/271
64	405/232
65	210/605
65	210/601
66	203/010
66	203/025
67	210/742
67	210/739
67	210/767
67	210/800
67	210/801
67	210/103
67	210/170.06
67	210/513
68	435/029
68	435/290.1
68	435/290.4
68	071/009
68	071/010
68	405/129.5
68	405/129.57
68	405/129.85
68	405/129.95
69	210/610
69	210/150
70	210/631
70	210/259
70	210/260
70	210/202
70	210/143
70	210/096.2
71	052/294
71	052/296
71	052/220.2
71	052/220.3
71	052/604
72	210/637
72	202/158
73	588/257
73	588/256
73	405/129.95
74	203/001
74	095/001
74	095/039
74	203/002
74	203/023
74	203/024
74	203/040
74	203/DIG.800
74	210/739
74	210/744
74	210/774
75	210/150
75	210/258
75	210/606
76	071/012
76	210/609
76	106/697
76	106/407
76	044/311
76	044/605
77	203/010
77	202/153
78	210/721
78	210/724
78	210/758
78	210/748.01
78	210/748.16
78	205/742
78	205/744
78	205/755
78	205/757
78	205/760
79	210/804
79	210/138
79	210/195.1
80	405/129.55
80	405/270
80	405/129.95
80	405/129.85
80	405/129.75
80	405/302.7
81	203/010
81	202/163
82	203/011
83	210/638
83	210/199
83	210/139
84	210/652
84	210/650
84	210/636
85	210/721
85	210/724
86	405/232
87	703/001
88	210/615
88	210/150
88	210/138
89	241/060
90	404/004
90	404/072
91	166/266
91	159/013.2
91	210/177
92	405/211
93	210/710
93	524/436
93	210/198.1
93	210/143
94	210/620
94	210/120
94	210/096.1
94	210/188
94	210/739
95	210/629
96	435/262
97	210/708
97	210/202
98	210/167.1
99	210/609
99	210/151
99	210/114
99	210/298
99	241/194
99	034/524
99	425/006
100	210/615
100	210/150
101	210/758
