	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195
0	('8628627', '2008/0040872')	('8628627', '2002/0088480')	('8628627', '2008/0216873')	('8628627', '2003/0209256')	('8628627', '2005/0199271')	('8628627', '2006/0243308')	('8628627', '2007/0000528')	('8628627', '2002/0001255')	('8628627', '2007/0048127')	('8628627', '2002/0092423')	('8628627', '2007/0059159')	('8628627', '2008/0178909')	('8628627', '2006/0219269')	('8628627', '2006/0060233')	('8628627', '2006/0060218')	('8628627', '2009/0050183')																																																																																																																																																																																				
1																																																																																																																																																																																																				
2	('8596928', '2003/0143026')	('8596928', '2005/0241257')																																																																																																																																																																																																		
3	('8598405', '2005/0059762')	('8598405', '2006/0282052')	('8598405', '2005/0106087')	('8598405', '2003/0092849')																																																																																																																																																																																																
4																																																																																																																																																																																																				
5	('8551341', '2009/0272689')	('8551341', '2007/0021300')	('8551341', '2012/0097608')	('8551341', '2011/0005284')	('8551341', '2009/0218281')	('8551341', '2007/0209999')	('8551341', '2006/0225574')	('8551341', '2003/0132160')	('8551341', '2010/0200500')	('8551341', '2007/0114182')	('8551341', '2010/0133182')	('8551341', '2005/0178725')	('8551341', '2007/0122609')	('8551341', '2008/0283469')	('8551341', '2011/0006002')	('8551341', '2012/0279920')	('8551341', '2008/0047895')	('8551341', '2007/0123419')																																																																																																																																																																																		
6	('8535534', '2010/0116734')	('8535534', '2007/0199893')																																																																																																																																																																																																		
7	('8529764', '2001/0035381')	('8529764', '2002/0104807')																																																																																																																																																																																																		
8	('8523965', '2007/0017874')	('8523965', '2011/0039318')	('8523965', '2009/0107915')	('8523965', '2010/0314263')	('8523965', '2010/0038310')	('8523965', '2009/0166296')	('8523965', '2009/0217575')	('8523965', '2010/0042557')	('8523965', '2011/0192730')	('8523965', '2005/0115478')	('8523965', '2007/0199868')	('8523965', '2010/0126926')	('8523965', '2011/0003676')																																																																																																																																																																																							
9	('8486271', '2006/0293417')	('8486271', '2006/0025312')																																																																																																																																																																																																		
10	('8454838', '2003/0094421')	('8454838', '2002/0117430')	('8454838', '2004/0217326')	('8454838', '2007/0059562')	('8454838', '2011/0210076')	('8454838', '2006/0054568')	('8454838', '2003/0091467')	('8454838', '2004/0211450')	('8454838', '2006/0174430')	('8454838', '2004/0129644')	('8454838', '2006/0169322')	('8454838', '2003/0228195')	('8454838', '2011/0061194')	('8454838', '2008/0116142')	('8454838', '2011/0062067')	('8454838', '2004/0226896')	('8454838', '2009/0050572')	('8454838', '2007/0181498')	('8454838', '2004/0025269')	('8454838', '2010/0320147')																																																																																																																																																																																
11	('8435411', '2007/0142213')	('8435411', '2009/0169447')	('8435411', '2008/0185339')																																																																																																																																																																																																	
12	('8430600', '2009/0050025')	('8430600', '2004/0079699')																																																																																																																																																																																																		
13																																																																																																																																																																																																				
14	('8382075', '2008/0213137')	('8382075', '2002/0069838')	('8382075', '2004/0213721')	('8382075', '2007/0251650')	('8382075', '2002/0158024')	('8382075', '2005/0074712')	('8382075', '2004/0040671')	('8382075', '2004/0045681')																																																																																																																																																																																												
15	('8382985', '2005/0269262')																																																																																																																																																																																																			
16	('8376657', '2009/0050025')																																																																																																																																																																																																			
17																																																																																																																																																																																																				
18	('8360689', '2005/0274532')	('8360689', '2006/0088388')	('8360689', '2008/0205993')																																																																																																																																																																																																	
