	application_citation_id	patent_id
0	2008/0040872	8628627
1	2002/0088480	8628627
2	2008/0216873	8628627
3	2003/0209256	8628627
4	2005/0199271	8628627
5	2006/0243308	8628627
6	2007/0000528	8628627
7	2002/0001255	8628627
8	2007/0048127	8628627
9	2002/0092423	8628627
10	2007/0059159	8628627
11	2008/0178909	8628627
12	2006/0219269	8628627
13	2006/0060233	8628627
14	2006/0060218	8628627
15	2009/0050183	8628627
16	2003/0143026	8596928
17	2005/0241257	8596928
18	2005/0059762	8598405
19	2006/0282052	8598405
20	2005/0106087	8598405
21	2003/0092849	8598405
22	2009/0272689	8551341
23	2007/0021300	8551341
24	2012/0097608	8551341
25	2011/0005284	8551341
26	2009/0218281	8551341
27	2007/0209999	8551341
28	2006/0225574	8551341
29	2003/0132160	8551341
30	2010/0200500	8551341
31	2007/0114182	8551341
32	2010/0133182	8551341
33	2005/0178725	8551341
34	2007/0122609	8551341
35	2008/0283469	8551341
36	2011/0006002	8551341
37	2012/0279920	8551341
38	2008/0047895	8551341
39	2007/0123419	8551341
40	2010/0116734	8535534
41	2007/0199893	8535534
42	2001/0035381	8529764
43	2002/0104807	8529764
44	2007/0017874	8523965
45	2011/0039318	8523965
46	2009/0107915	8523965
47	2010/0314263	8523965
48	2010/0038310	8523965
49	2009/0166296	8523965
50	2009/0217575	8523965
51	2010/0042557	8523965
52	2011/0192730	8523965
53	2005/0115478	8523965
54	2007/0199868	8523965
55	2010/0126926	8523965
56	2011/0003676	8523965
57	2006/0293417	8486271
58	2006/0025312	8486271
59	2003/0094421	8454838
60	2002/0117430	8454838
61	2004/0217326	8454838
62	2007/0059562	8454838
63	2011/0210076	8454838
64	2006/0054568	8454838
65	2003/0091467	8454838
66	2004/0211450	8454838
67	2006/0174430	8454838
68	2004/0129644	8454838
69	2006/0169322	8454838
70	2003/0228195	8454838
71	2011/0061194	8454838
72	2008/0116142	8454838
73	2011/0062067	8454838
74	2004/0226896	8454838
75	2009/0050572	8454838
76	2007/0181498	8454838
77	2004/0025269	8454838
78	2010/0320147	8454838
79	2007/0142213	8435411
80	2009/0169447	8435411
81	2008/0185339	8435411
82	2009/0050025	8430600
83	2004/0079699	8430600
84	2008/0213137	8382075
85	2002/0069838	8382075
86	2004/0213721	8382075
87	2007/0251650	8382075
88	2002/0158024	8382075
89	2005/0074712	8382075
90	2004/0040671	8382075
91	2004/0045681	8382075
92	2005/0269262	8382985
93	2009/0050025	8376657
94	2005/0274532	8360689
95	2006/0088388	8360689
96	2008/0205993	8360689
97	2008/0205993	8328470
98	2006/0088388	8328470
99	2005/0274532	8328470
100	2002/0067953	8313921
101	2001/0044566	8313921
102	2002/0111527	8313921
103	2009/0266016	8302357
104	2005/0183363	8302357
105	2010/0095617	8302357
106	2006/0101848	8282790
107	2005/0183832	8282790
108	2002/0092758	8282790
109	2003/0230440	8282790
110	2004/0099521	8282790
111	2008/0133181	8282790
112	2008/0105610	8282790
113	2005/0250062	8282790
114	2005/0016828	8282790
115	2008/0105403	8282790
116	2001/0042373	8282790
117	2005/0279620	8282790
118	2007/0112530	8282790
119	2003/0024387	8282790
120	2008/0105533	8282790
121	2004/0222079	8282790
122	2003/0132096	8282790
123	2002/0092762	8282790
124	2008/0105532	8282790
125	2005/0008272	8282790
126	2002/0092757	8282790
127	2008/0105530	8282790
128	2005/0238499	8282790
129	2007/0017192	8282790
130	2005/0188745	8282790
131	2005/0154499	8282790
132	2005/0112007	8282790
133	2005/0194048	8282790
134	2008/0092536	8282790
135	2005/0121302	8282790
136	2004/0134645	8282790
137	2007/0028612	8282790
138	2004/0074757	8282790
139	2003/0164329	8282817
140	2006/0043017	8282817
141	2003/0136740	8273249
142	2004/0144728	8147695
143	2007/0256982	8147695
144	2007/0031190	8137544
145	2002/0011489	8137544
146	2003/0089609	8114260
147	2005/0103717	8114260
148	2005/0103622	8114260
149	2006/0060532	8114260
150	2002/0189951	8114260
151	2006/0231403	8114260
152	2005/0103723	8114260
153	2003/0080467	8114260
154	2003/0155243	8114260
155	2004/0089551	8114260
156	2003/0201235	8114260
157	2005/0103631	8114260
158	2001/0003329	8114260
159	2003/0098266	8114260
160	2002/0092769	8114260
161	2005/0109703	8114260
162	2004/0079700	8114260
163	2004/0213755	8100605
164	2008/0057134	8100605
165	2005/0084334	8100605
166	2002/0018865	8100605
167	2005/0113771	8100605
168	2006/0191655	8100605
169	2004/0171318	8100605
170	2005/0054252	8100605
171	2005/0027081	8100605
172	2005/0220542	8100605
173	2006/0243009	8101082
174	2006/0254331	8101082
175	2010/0139346	8101082
176	2006/0033220	8092680
177	2007/0062866	8092680
178	2006/0254980	8092680
179	2009/0032473	8092680
180	2007/0167533	8092680
181	2009/0242424	8092680
182	2003/0205277	8092680
183	2004/0133057	8092680
184	2006/0249021	8092680
185	2006/0060526	8092680
186	2004/0007527	8092680
187	2006/0102007	8092680
188	2006/0254977	8092680
189	2002/0079266	8092680
190	2009/0126543	8092680
191	2006/0254979	8092680
192	2007/0270512	8092680
193	2009/0166300	8092680
194	2007/0299145	8092680
195	2007/0218540	8092680
196	2008/0223731	8092680
197	2005/0224338	8092680
198	2009/0152203	8092680
199	2007/0057389	8092680
200	2004/0217058	8092680
201	2005/0064567	8092680
202	2006/0275895	8092680
203	2007/0234796	8092680
204	2008/0074944	8092680
205	2003/0222030	8092680
206	2002/0044842	8039081
207	2003/0178122	8039081
208	2007/0183852	8039081
209	2003/0224143	8039081
210	2009/0159177	8039081
