us_class	patent
134/166.R	0
134/138	0
106/627	1
106/600	1
106/631	1
106/632	1
106/634	1
210/702	1
204/554	2
588/002	3
588/315	3
210/709	4
210/711	4
210/712	4
210/713	4
210/714	4
210/724	4
210/726	4
210/738	4
210/739	4
210/745	4
210/636	5
210/189	5
210/638	5
053/434	6
053/436	6
405/286	7
405/284	7
047/044	7
047/047	7
047/083	7
604/368	8
524/300	8
524/322	8
588/249	8
588/255	8
210/609	9
210/741	10
210/109	10
210/103	10
210/117	10
210/747.9	10
210/137	10
210/747.9	11
210/109	11
210/117	11
422/004	12
315/294	12
362/249.02	12
422/024	12
210/748.11	12
248/534	13
248/530	13
052/296	13
210/648	14
210/188	14
210/634	15
210/096.1	15
210/767	15
210/787	15
210/774	15
210/772	15
210/739	15
210/202	15
210/739	16
210/767	16
210/800	16
210/198.1	16
210/605	17
210/614	17
210/623	17
210/626	17
210/628	17
210/610	18
210/620	18
210/170.06	18
136/244	18
048/204	19
048/102.R	19
048/127.9	19
203/047	19
203/087	19
203/099	19
210/705	19
210/713	19
210/748.01	19
210/631	20
210/614	21
210/205	21
210/102	21
210/097	21
210/620	21
405/302.7	22
405/302.7	23
201/006	24
201/020	24
202/099	24
405/270	25
405/302.7	25
524/060	26
524/547	26
524/446	26
526/240	26
204/571	27
204/660	27
210/681	28
210/687	28
106/713	28
210/710	29
210/170.09	29
210/170.05	29
423/581	30
210/695	31
210/192	31
204/267	31
210/512.1	31
210/513	31
210/103	31
335/209	31
423/419.1	31
423/592.1	31
210/727	32
210/702	32
210/731	32
210/735	32
210/732	32
210/733	32
210/723	32
210/728	32
210/726	32
210/085	32
210/742	33
210/746	33
210/764	33
209/162	34
405/038	35
405/129.95	35
588/317	36
252/184	36
264/013	36
118/429	36
210/666	37
568/009	37
210/663	37
210/665	37
210/198.1	38
210/613	39
405/129.95	40
405/129.57	40
405/129.7	40
405/129.75	40
405/129.85	40
210/670	41
210/660	41
502/439	41
502/406	41
502/407	41
502/411	41
204/252	42
204/253	42
204/257	42
205/746	42
052/220.1	43
052/293.3	43
210/707	44
210/192	44
210/704	44
210/721	45
210/749	46
210/241	46
210/221.2	46
210/194	46
210/085	46
210/205	46
210/207	46
588/250	47
206/006	47
588/250	48
206/006	48
428/402.2	48
428/402.21	48
261/123	49
261/124	49
261/126	49
210/101	49
210/109	49
210/137	49
210/218	49
210/220	49
210/615	50
210/619	50
210/151	50
210/652	51
210/097	51
405/129.95	52
405/129.85	52
405/129.75	52
405/129.7	52
405/129.57	52
210/636	53
435/134	54
044/385	54
048/197.R	54
435/136	55
702/005	56
702/155	56
702/166	56
702/167	56
165/104.13	57
165/104.31	57
405/233	58
405/271	58
106/708	59
106/807	59
106/790	59
210/198.1	59
261/072.1	60
210/609	61
518/702	62
422/187	62
422/148	62
029/428	63
428/099	63
405/271	64
405/232	64
210/605	65
210/601	65
203/010	66
203/025	66
210/742	67
210/739	67
210/767	67
210/800	67
210/801	67
210/103	67
210/170.06	67
210/513	67
435/029	68
435/290.1	68
435/290.4	68
071/009	68
071/010	68
405/129.5	68
405/129.57	68
405/129.85	68
405/129.95	68
210/610	69
210/150	69
210/631	70
210/259	70
210/260	70
210/202	70
210/143	70
210/096.2	70
052/294	71
052/296	71
052/220.2	71
052/220.3	71
052/604	71
210/637	72
202/158	72
588/257	73
588/256	73
405/129.95	73
203/001	74
095/001	74
095/039	74
203/002	74
203/023	74
203/024	74
203/040	74
203/DIG.800	74
210/739	74
210/744	74
210/774	74
210/150	75
210/258	75
210/606	75
071/012	76
210/609	76
106/697	76
106/407	76
044/311	76
044/605	76
203/010	77
202/153	77
210/721	78
210/724	78
210/758	78
210/748.01	78
210/748.16	78
205/742	78
205/744	78
205/755	78
205/757	78
205/760	78
210/804	79
210/138	79
210/195.1	79
405/129.55	80
405/270	80
405/129.95	80
405/129.85	80
405/129.75	80
405/302.7	80
203/010	81
202/163	81
203/011	82
210/638	83
210/199	83
210/139	83
210/652	84
210/650	84
210/636	84
210/721	85
210/724	85
405/232	86
703/001	87
210/615	88
210/150	88
210/138	88
241/060	89
404/004	90
404/072	90
166/266	91
159/013.2	91
210/177	91
405/211	92
210/710	93
524/436	93
210/198.1	93
210/143	93
210/620	94
210/120	94
210/096.1	94
210/188	94
210/739	94
210/629	95
435/262	96
210/708	97
210/202	97
210/167.1	98
210/609	99
210/151	99
210/114	99
210/298	99
241/194	99
034/524	99
425/006	99
210/615	100
210/150	100
210/758	101
210/198.1	101
060/641.8	102
136/246	102
136/205	102
210/175	102
204/627	102
204/242	102
210/180	102
210/652	102
210/650	102
204/518	102
204/520	102
205/742	102
210/640	102
203/010	102
202/232	102
405/129.2	103
166/272.3	103
405/129.95	103
208/187	103
588/018	104
588/020	104
210/614	105
210/631	105
210/709	105
210/711	105
210/713	105
210/714	105
210/727	105
210/906	105
060/651	106
060/643	106
060/659	106
060/671	106
165/010	106
060/645	106
062/123	106
062/532	106
210/150	107
210/170.06	107
210/170.08	107
210/220	107
210/532.2	107
210/671	108
210/490	108
210/691	108
029/428	108
405/128.25	109
210/605	110
210/195.3	110
210/608	110
405/233	111
406/014	112
405/232	112
204/524	113
204/533	113
204/536	113
210/748.09	114
252/502	114
