patent	ipc
0	B08B
1	B09B
2	C02F
3	A62D
4	C02F
5	C02F
6	A61L
7	E02D
8	B09B
9	C02F
10	C02F
11	C02F
12	F21K
13	E02D
14	C02F
15	B01D
16	C02F
17	C02F
18	C02F
19	C02F
20	C02F
21	C02F
22	E02D
23	E02D
24	C10B
25	E02D
26	C08L
27	C02F
28	C02F
29	C02F
30	C01B
31	C02F
32	C02F
33	C02F
34	B03B
35	E02B
36	A62D
37	C02F
38	C02F
39	C02F
40	B09B
41	B01J
42	C02F
43	E04B
44	C02F
45	C02F
46	C02F
47	B65D
48	B65D
49	B01F
50	C02F
51	C02F
52	B09B
53	B01D
54	C12P
55	C12P
56	G01V
57	F28D
58	E02D
59	C04B
60	B01F
61	C02F
62	C07C
63	B32B
64	E02D
65	C02F
66	B01D
67	B01D
68	C12M
69	C02F
70	C02F
71	E02D
72	B01D
73	B09B
74	B01D
75	C02F
76	C02F
77	C02F
78	B01D
79	B01D
80	E02D
81	C02F
82	C02F
83	C02F
84	C02F
85	C02F
86	E02D
87	G06F
88	C02F
89	B02C
90	A01G
91	E21B
92	E02D
93	C02F
94	E03F
95	C02F
96	C02F
97	B01D
98	E04H
99	C02F
100	C02F
101	C02F
102	F03G
103	B09B
104	G21F
105	C02F
106	F01K
107	C02F
108	C02F
109	B09C
110	C02F
111	E02D
112	B65G
113	B01D
114	C02F
115	C02F
116	B09C
117	C02F
118	C02F
119	C02F
120	B01D
121	E02B
122	B65G
123	C02F
124	E03C
125	C02F
126	C12N
127	B32B
128	C02F
129	C02F
130	E04C
131	E02B
132	E02D
133	F24J
134	E02D
135	C02F
136	C02F
137	C02F
138	C02F
139	G06Q
140	E02B
141	C02F
142	C09K
143	B09B
144	E02D
145	E02D
146	E02D
147	B09B
148	C02F
149	E02D
150	C02F
151	F16M
152	C02F
153	B60P
154	E02D
155	B01J
156	B09B
157	C02F
158	C02F
159	C02F
160	C12F
161	C04B
162	C02F
163	C02F
164	C25B
165	C02F
166	C02F
167	C02F
168	B01D
169	C04B
170	C04B
171	C02F
172	E02D
173	C02F
174	E02D
175	C02F
176	C02F
177	C02F
178	C02F
179	C02F
180	C02F
181	B09B
182	C02F
183	C02F
184	A62D
185	E02D
186	C08J
187	C02F
188	B09B
189	B01D
190	C05F
191	C02F
192	E02D
193	C02F
194	C09K
195	C02F
196	C02F
197	C02F
198	C02F
199	B09B
200	B01J
201	B01J
202	F25D
203	B09B
204	C02F
205	B01D
206	C02F
207	E02D
208	B01D
209	E02D
210	C02F
211	B01D
212	C02F
213	B63B
214	C02F
215	E02D
216	B63B
217	B09B
218	C02F
219	F25J
220	B09B
221	B01D
222	B01D
223	C02F
224	C02F
225	C08F
226	C02F
227	C10B
228	E02D
229	C02F
230	C02F
231	C02F
232	C02F
233	C02F
234	B09C
235	C02F
236	E02D
237	E21B
238	B01D
239	C05F
240	B09C
241	B01J
242	B09B
243	E02D
244	B01D
245	C02F
246	C02F
247	C02F
248	B01J
249	E02D
250	E02D
251	E02B
252	C02F
253	C02F
254	C02F
255	B01D
256	C02F
257	C02F
258	C02F
259	C02F
260	C02F
261	A61L
262	C02F
263	C02F
264	C02F
265	C02F
266	B01D
267	C02F
268	C02F
269	C02F
270	B09B
271	B01D
272	C11D
273	C25D
274	C02F
275	C02F
276	B01D
277	B01D
278	B01D
279	A61L
280	C02F
281	E02D
282	A62D
283	B09C
284	A47K
285	C02F
286	B01D
287	C02F
288	B09C
289	C02F
290	B03C
291	C02F
292	C02F
293	C25B
294	B09C
295	B01D
296	E21B
297	B01D
298	B01D
299	B01D
300	B01D
301	C02F
302	C02F
303	B01J
304	B01D
305	E02D
306	E04G
307	C02F
308	C02F
309	C02F
310	C02F
311	C02F
312	C02F
313	B01D
314	C02F
315	B01D
316	C02F
317	B09B
318	B03B
319	C02F
320	B02C
321	B01D
322	C02F
323	B01D
324	B01D
325	E01C
326	E02D
327	B01D
328	C11D
329	C02F
330	F23G
331	B09B
332	C02F
333	B09B
334	B09B
335	C02F
336	C02F
337	B01F
338	B09C
339	C02F
340	C02F
341	C02F
342	C02F
343	C02F
344	C02F
345	F26B
346	C02F
347	A62D
348	C04B
349	B09B
350	E02D
351	C02F
352	B09C
353	B32B
354	C02F
355	A61L
356	E02D
357	C02F
358	B09C
359	B08B
360	C02F
361	C02F
362	B09B
363	B09B
364	B09B
365	B09B
366	C02F
367	B09B
368	C02F
369	B01D
370	C02F
371	C02F
372	E02D
373	E02D
374	A62B
375	C02F
376	E02D
377	C02F
378	B01D
379	B01D
380	B09B
381	B09B
382	C02F
383	E02D
384	E02D
385	C02F
386	C25B
387	E02D
388	C02F
389	B09C
390	B02C
391	A61L
392	B09B
393	C02F
394	C02F
395	E02D
396	C02F
397	C04B
398	C02F
399	C02F
400	B64D
401	B65D
402	B01D
403	B01D
404	C02F
405	E02D
406	E21D
407	C02F
408	C12M
409	A62D
410	C02F
411	B09B
412	B01D
413	C02F
414	B09B
415	C02F
416	B09B
417	C02F
418	E03F
419	A61K
420	C02F
421	E02B
422	B09B
423	C01B
424	B32B
425	E04C
426	C12S
427	B09B
428	C02F
429	B09B
430	B09B
431	C10G
432	B01D
433	E02D
434	B65D
435	B28B
436	C25C
437	B09B
438	C25F
439	C02F
440	C02F
441	C02F
442	C02F
443	B01D
444	B28B
445	B01F
446	C10L
447	B01D
448	C02F
449	C02F
450	B01D
451	B01D
452	B01D
453	C02F
454	C02F
455	F16L
456	E02B
457	B09B
458	B01D
459	C08K
460	C25C
461	B01D
462	C02F
463	B01D
464	C02F
465	B02C
466	B65D
467	C25C
468	C02F
469	A62D
470	B30B
471	B03C
472	C01B
473	C25F
474	C02F
475	C02F
476	C02F
477	E02D
478	C02F
479	E21D
480	C02F
481	C12Q
482	C01B
483	B02C
484	C09K
485	A61B
486	F26B
487	C02F
488	C02F
489	F16L
490	C02F
491	C02F
492	C02F
493	C10J
494	B09C
495	B01J
496	C08K
497	A01G
498	E01B
499	B32B
500	B23D
501	E02D
502	B01D
503	C02F
504	C02F
505	C02F
506	E02D
507	B01D
508	C02F
509	A62D
510	B01D
511	C10J
512	E01C
513	C02F
514	B65D
515	B09B
516	E02D
517	E21B
518	H01M
519	C02F
520	C12M
521	E21B
522	C02F
523	E02B
524	B01D
525	B01D
526	E03F
527	C02F
528	C02F
529	C02F
530	E02B
531	E02D
532	C02F
533	C25D
534	C04B
535	E21B
536	C02F
537	E21B
538	C02F
539	E21B
540	E21B
541	E21B
542	E21B
543	C02F
544	B09B
545	E21B
546	C12S
547	E21B
548	B09B
549	B01D
550	C02F
551	E21B
552	C02F
553	C07F
554	C02F
555	E02D
556	E02D
557	E04H
558	B01D
559	E21B
560	E04H
561	B23P
562	C07J
563	C02F
564	E03F
565	B08B
566	C02F
567	C02F
568	B01J
569	C02F
570	B29B
571	C12S
572	B09C
573	E02D
574	C02F
575	A62D
576	C02F
577	B01D
578	C02F
579	C02F
580	B01D
581	C04B
582	C02F
583	C02F
584	F23J
585	B09B
586	C02F
587	B02C
588	B09B
589	B02C
590	C03C
591	A01H
592	F02C
593	C02F
594	B09B
595	C02F
596	C02F
597	B01D
598	B01D
599	G06F
600	C02F
601	C02F
602	C02F
603	B01D
604	E02F
605	G06F
606	E02F
607	C02F
608	B01D
609	C25C
610	C02F
611	B01D
612	B01D
613	C02F
614	C02F
615	B01D
616	F25D
617	B09C
618	G21F
619	C02F
620	F25D
621	C02F
622	C02F
623	C01B
624	B01D
625	B01J
626	E04B
627	A61L
628	B32B
629	C02F
630	G21F
631	C02F
632	C02F
633	B32B
634	B01D
635	C02F
636	C02F
637	F27D
638	A61B
639	C02F
640	C03B
641	B01D
642	B09B
643	A62D
644	C02F
645	C02F
646	C02F
647	B08B
648	C02F
649	C02F
650	C02F
651	B23K
652	C02F
653	E02D
654	B01D
655	B01D
656	E21B
657	C02F
658	A61M
659	C02F
660	A01M
661	C01D
662	E02B
663	F03B
664	A22C
665	E02B
666	E02B
667	E01F
668	E02B
669	E02B
670	B65D
671	E02B
672	E02B
673	E02B
674	E02D
675	E02B
676	E02B
677	B29C
678	B29C
679	B64C
680	E02B
681	B65D
682	E02D
683	E02B
684	E02B
685	C09K
686	B65D
687	E21B
688	E02D
689	E02D
690	E02D
691	B65B
692	E02B
693	B28B
694	E02B
695	E02B
696	F15D
697	B22C
698	B22C
699	B22C
700	E02B
701	E02B
702	C02F
703	H02P
704	B28B
705	E02D
706	E02B
707	E02D
708	E04C
709	B32B
710	E02B
711	E02D
712	E02B
713	B28B
714	C03C
715	E02B
716	B65D
717	E02B
718	D01D
719	E02B
720	B01D
721	B28B
722	F16J
723	E04C
724	E02D
725	E02B
726	E02D
727	A61B
728	B28B
729	E02D
730	E02B
731	E02B
732	E02D
733	B32B
734	E02B
735	B27N
736	E02D
737	H04N
738	E02D
739	E02B
740	E02D
741	B28B
742	E02B
743	E02D
744	E02D
745	B32B
746	E02D
747	E04H
748	B29C
749	E02D
750	E21B
751	B63B
752	E02D
753	B28B
754	E21B
755	E02B
756	E02B
757	E02D
758	E04B
759	B63B
760	B28B
761	E02B
762	E02B
763	E02D
764	E02D
765	B32B
766	B01D
767	E02F
768	B28B
769	E02B
770	E21B
771	B05C
772	E02B
773	E02B
774	E04H
775	B63B
776	E02B
777	B28B
778	E02B
779	E02B
780	E21C
781	E04G
782	E01F
783	E02B
784	E02B
785	E02D
786	E01D
787	E21B
788	E02B
789	E02B
790	E02B
791	B32B
792	G02B
793	E02D
794	G01B
795	E02B
796	E04B
797	E02B
798	E02B
799	B66C
800	E02B
801	G02B
802	E02B
803	E02B
804	E02B
805	E02D
806	B28B
807	E02B
808	B22D
809	E02B
810	E02D
811	E02D
812	E02D
813	B63B
814	B28B
815	E02B
816	B29D
817	B32B
818	B28B
819	C01D
820	E02B
821	E02B
822	E02B
823	E02D
824	E02B
825	C02F
826	E02D
827	B65B
828	B28B
829	E02B
830	H02P
831	E02B
832	E02D
833	E02B
834	E02B
835	B01D
836	E02B
837	E02B
838	E02D
839	E02D
840	C02F
841	E02B
842	C09K
843	E03B
844	E02D
845	E02B
846	E02D
847	E02D
848	B29C
849	E02D
850	B63B
851	E02D
852	E02B
853	B63B
854	E02B
855	E02D
856	E02D
857	E02B
858	E02B
859	E02B
860	E02B
861	B66C
862	B63B
863	E02B
864	E02B
865	E02B
866	E02D
867	E02B
868	G02B
869	E02B
870	E02B
871	E02B
872	E02B
873	B66C
874	E02B
875	E02B
876	G02B
877	E02B
878	E02B
879	E02D
880	B28B
881	E02B
882	E02D
883	E02D
884	B63B
885	A44B
886	B63B
887	E02D
888	E02D
889	E02B
890	E02B
891	E02D
892	E02D
893	E02B
894	E02B
895	E02D
896	B28B
897	E02B
898	E02B
899	F16L
900	E02D
901	E02B
902	E02B
903	E02B
904	E02D
905	E02B
906	E02B
907	E02D
908	E02B
909	E02D
910	F16L
911	E02B
912	E04C
913	E02B
914	F02B
915	E02B
916	E02D
917	E02D
918	E02D
919	E02B
920	B63B
921	E02B
922	E02D
923	E02B
924	E02B
925	E02D
926	E02B
927	B63B
928	E02B
929	E02D
930	E02B
931	E21B
932	E02B
933	E02B
934	E02B
935	E02B
936	E02D
937	B32B
938	E02D
939	E02B
940	B63B
941	E02D
942	E02D
943	B63B
944	E02B
945	E02B
946	E02D
947	E02D
948	E02B
949	E02B
950	B63B
951	E02B
952	E02R
953	E02D
954	E02B
955	F02D
956	E02B
957	E02B
958	E02B
959	F16F
960	E02B
961	E02B
962	E02D
963	B63B
964	E02D
965	E02B
966	F16K
967	F21V
968	E02B
969	E02B
970	B28B
971	E02B
972	B09B
973	B28B
974	E04B
975	B01D
976	B22C
977	C02F
978	E02D
979	C02F
980	E02B
981	E02D
982	E02D
983	E02D
984	E02B
985	E02D
986	C02F
987	B60P
988	E02B
989	E02B
990	E02B
991	C02F
992	B63G
993	E02B
994	G01N
995	E02B
996	C08J
997	G01M
998	B27N
999	E02B
1000	C04B
1001	E02B
1002	G06K
1003	C02F
1004	C02F
1005	E02B
1006	B01D
1007	B01D
1008	C30B
1009	E02B
1010	E02B
1011	E02B
1012	E21B
1013	E02D
1014	E02B
1015	E02D
1016	E02B
1017	C02F
1018	E02B
1019	E02B
1020	C02F
1021	E02B
1022	E02B
1023	B28B
1024	E02D
1025	E02B
1026	C02F
1027	E02B
1028	E04G
1029	B01D
1030	E02D
1031	E02B
1032	C02F
1033	F15D
1034	G06Q
1035	E02B
1036	G06G
1037	E04B
1038	E02B
1039	E02D
1040	B44B
1041	E01F
1042	C02F
1043	E04C
1044	C09K
1045	B63G
1046	E02B
1047	B63G
1048	E02D
1049	B29C
1050	C02F
1051	H01G
1052	B28B
1053	E02B
1054	E02B
1055	B28B
1056	C12N
1057	E02D
1058	B28B
1059	E02D
1060	B28B
1061	E04G
1062	B01D
1063	B67D
1064	B23P
1065	F25D
1066	G01M
1067	E02B
1068	E02B
1069	B28B
1070	E21B
1071	B28B
1072	G01M
1073	C04B
1074	C02F
1075	C02F
1076	E02D
1077	G01M
1078	B09B
1079	C02F
1080	B01D
1081	B01D
1082	E02D
1083	E01F
1084	C02F
1085	C09K
1086	E04H
1087	E02B
1088	A61L
1089	E02B
1090	C02F
1091	B28B
1092	A61B
1093	E02D
1094	B01J
1095	B01D
1096	E02B
1097	C02F
1098	B08B
1099	E02D
1100	E01F
1101	G06F
1102	G01L
1103	E02B
1104	C02F
1105	B01D
1106	E02B
1107	B01D
1108	B01D
1109	B29C
1110	C02F
1111	D06F
1112	B22C
1113	B28B
1114	B65D
1115	C02F
1116	A62D
1117	B32B
1118	A01K
1119	C02F
1120	E02D
1121	E02B
1122	E02B
1123	E02B
1124	E02D
1125	E02D
1126	B29C
1127	B08B
1128	E02D
1129	G06G
1130	E02B
1131	E02B
1132	A01K
1133	B29C
1134	C02F
1135	E02D
1136	H02G
1137	C02F
1138	E02B
1139	B28B
1140	B63C
1141	C02F
1142	E02B
1143	A01G
1144	E02B
1145	A01G
1146	E01C
1147	A61L
1148	A01J
1149	A61L
1150	A61M
1151	C02F
1152	H02M
1153	E04B
1154	E02D
1155	G21F
1156	A01G
1157	C02F
1158	C25B
1159	E02B
1160	E02B
1161	E02D
1162	H05F
1163	C02F
1164	E02B
1165	C08J
1166	E02D
1167	C02F
1168	E02B
1169	E02D
1170	C02F
1171	E02D
1172	H02M
1173	C02F
1174	B28B
1175	C02F
1176	C02F
1177	E21D
1178	C02F
1179	E02B
1180	C02F
1181	E02B
1182	A01G
1183	B01J
1184	E02D
1185	B29C
1186	E02B
1187	B01D
1188	E21D
1189	G06F
1190	A61M
1191	A63H
1192	C08K
1193	B28B
1194	H02M
1195	A61L
1196	C02F
1197	B01D
1198	B29B
1199	B65B
1200	B03B
1201	B09C
1202	B01D
1203	H02M
1204	H01G
1205	E02B
1206	E02B
1207	A61N
1208	E04D
1209	E02B
1210	E02B
1211	B01D
1212	H02M
1213	C08J
1214	C25B
1215	E04G
1216	B65B
1217	E02D
1218	G01L
1219	G02B
1220	B28B
1221	C04B
1222	E02B
1223	B09B
1224	E02D
1225	A61M
1226	E02B
1227	E02D
1228	E02B
1229	F25D
1230	E02D
1231	B01D
1232	E02B
1233	A01K
1234	C02F
1235	B32B
1236	H02M
1237	E02B
1238	A61M
1239	E02B
1240	E04B
1241	F01K
1242	C02F
1243	E02D
1244	C02F
1245	E02B
1246	B01D
1247	H02M
1248	A61M
1249	F25C
1250	E02B
1251	C02F
1252	G02B
1253	B32B
1254	C08K
1255	H01G
1256	E02B
1257	B01D
1258	A62D
1259	C02F
1260	C02F
1261	H02M
1262	B01C
1263	B01D
1264	E02B
1265	E02B
1266	B01D
1267	A61M
1268	C02F
1269	B01D
1270	E03F
1271	H02M
1272	F25D
1273	E02D
1274	E02B
1275	B09B
1276	G21F
1277	F25D
1278	G21F
1279	F27D
1280	A61M
1281	H01L
1282	H02M
1283	E02B
1284	E02B
1285	A01K
1286	B01D
1287	C02F
1288	E02B
1289	C02F
1290	A62D
1291	B01J
1292	B01D
1293	C09K
1294	C02F
1295	C02F
1296	C02F
1297	C02F
1298	C02F
1299	A61L
1300	C02F
1301	C02F
1302	B09B
1303	B01D
1304	B01F
1305	F28D
1306	B01J
1307	C02F
1308	C02F
1309	A61L
1310	C02F
1311	B09C
1312	C01B
1313	B09B
1314	C02F
1315	C02F
1316	E02B
1317	C02F
1318	C02F
1319	B09B
1320	C02F
1321	B09C
1322	C01B
1323	E21B
1324	E02B
1325	G06Q
1326	C02F
1327	C02F
1328	B09B
1329	B01D
1330	C02F
1331	B09B
1332	C02F
1333	C02F
1334	C01B
1335	C02F
1336	E21B
1337	C02F
1338	A62D
1339	B09B
1340	C12N
1341	C02F
1342	C12P
1343	F25D
1344	C02F
1345	B09B
1346	C02F
1347	C02F
1348	E02D
1349	B09B
1350	C02F
1351	B09B
1352	B01D
1353	B09B
1354	C02F
1355	B09B
1356	G21F
1357	C10J
1358	C02F
1359	C02F
1360	B09B
1361	C02F
1362	C02F
1363	B01D
1364	C02F
1365	B09B
1366	A61L
1367	A61L
1368	C02F
1369	B09B
1370	B01D
1371	B01J
1372	C02F
1373	C02F
1374	C02F
1375	C10L
1376	C02F
1377	B65D
1378	B01D
1379	B09C
1380	B09B
1381	B09B
1382	E02B
1383	C02F
1384	B09C
1385	B09C
1386	E21B
1387	B01D
1388	A62D
1389	C02F
1390	C02F
1391	B09C
1392	E02D
1393	C02F
1394	F26B
1395	C02F
1396	B01J
1397	B09B
1398	B09B
1399	B09C
1400	B01D
1401	A62D
1402	C02F
1403	C05F
1404	B09B
1405	F23B
1406	C02F
1407	C02F
1408	A62D
1409	B01D
1410	A62D
1411	E02D
1412	A01N
1413	C25B
1414	E21B
1415	B09C
1416	C02F
1417	B09B
1418	C02F
1419	B01F
1420	C02F
1421	C02F
1422	A62D
1423	C02F
1424	G21F
1425	B09B
1426	B09B
1427	C02F
1428	B09B
1429	C02F
1430	C02F
1431	C02F
1432	C01B
1433	B01D
1434	G06F
1435	B09B
1436	B09B
1437	B09B
1438	B09B
1439	B09B
1440	C02F
1441	C08J
1442	F26B
1443	B09C
1444	C02F
1445	C22B
1446	B27N
1447	C01B
1448	C02F
1449	A62C
1450	B09C
1451	C12S
1452	C02F
1453	F26B
1454	C02F
1455	C22B
1456	C02F
1457	B09B
1458	C02F
1459	C02F
1460	A61L
1461	C02F
1462	B09C
1463	B01D
1464	B01D
1465	B09C
1466	B01D
1467	C02F
1468	B09B
1469	B09B
1470	B09B
1471	C22B
1472	C02F
1473	E02D
1474	C02F
1475	C25F
1476	E02B
1477	A62D
1478	C25F
1479	B09B
1480	C02F
1481	C07C
1482	A62C
1483	B32B
1484	C12M
1485	C02F
1486	E02D
1487	B09B
1488	C02F
1489	E02F
1490	E02F
1491	B01D
1492	B09B
1493	B01D
1494	B01D
1495	A01B
1496	E21B
1497	E21B
1498	C02F
1499	C02F
1500	B09B
1501	B01D
1502	A62D
1503	C02F
1504	C10G
1505	C04B
1506	C02F
1507	A62D
1508	G01V
1509	C22B
1510	C02F
1511	A62D
1512	C02F
1513	C02F
1514	E02B
1515	G06Q
1516	E02B
1517	E02D
1518	B67D
1519	E02B
1520	B63B
1521	E02B
1522	B63B
1523	B63B
1524	E02B
1525	E02B
1526	E02B
1527	G01S
1528	A01N
1529	E02B
1530	B63B
1531	E02B
1532	B65D
1533	E02B
1534	E02B
1535	E02B
1536	E02B
1537	G06Q
1538	E02B
1539	E02B
1540	E02B
1541	C04B
1542	C02F
1543	E02B
1544	E02B
1545	B63B
1546	E02B
1547	C02F
1548	E02B
1549	E02B
1550	B63B
1551	B63B
1552	B63G
1553	F23G
1554	C02F
1555	B32B
1556	A61K
1557	B63B
1558	E02D
1559	B09B
1560	C02F
1561	E02B
1562	E02B
1563	E02B
1564	B63B
1565	B63B
1566	E02B
1567	C02F
1568	E02B
1569	B65G
1570	B63B
1571	E02B
1572	B63B
1573	E02D
1574	C22F
1575	E02B
1576	E02B
1577	E02B
1578	E02B
1579	E02B
1580	C02F
1581	B02C
1582	E02D
1583	B63B
1584	E02B
1585	B65B
1586	B64F
1587	C02F
1588	B08B
1589	B08B
1590	B08B
1591	E02B
1592	C02F
1593	E02B
1594	C02F
1595	B63B
1596	E02B
1597	C02F
1598	B63B
1599	B66C
1600	C09K
1601	E04F
1602	E02B
1603	E03B
1604	B63B
1605	E02B
1606	E02B
1607	E02B
1608	B63B
1609	B63C
1610	B09B
1611	B09B
1612	B09B
1613	E02B
1614	E02D
1615	B63B
1616	B09B
1617	A01K
1618	B65G
1619	E21B
1620	B05B
1621	B01D
1622	C02F
1623	B63B
1624	E02B
1625	C02F
1626	B63B
1627	B63B
1628	B63B
1629	C02F
1630	B63B
1631	B09B
1632	C02F
1633	G06F
1634	C08K
1635	B08B
1636	B63B
1637	B63B
1638	C09K
1639	B08B
1640	G21F
1641	E02B
1642	E04H
1643	C02F
1644	B27N
1645	E02D
1646	C02F
1647	B63B
1648	B63B
1649	E01C
1650	C02F
1651	B63H
1652	F23C
1653	B65D
1654	B05D
1655	B01D
1656	B28B
1657	E02D
1658	E21B
1659	C02F
1660	B09B
1661	E02D
1662	B63H
1663	C12S
1664	E21B
1665	A62D
1666	C02F
1667	C12N
1668	E02F
1669	E02F
1670	B01D
1671	B63B
1672	E02D
1673	B09B
1674	B01J
1675	B01F
1676	A62D
1677	B63B
1678	B63B
1679	E02D
1680	B63B
1681	A62D
1682	B01J
1683	B01D
1684	C09K
1685	C02F
1686	C02F
1687	C02F
1688	C02F
1689	C02F
1690	A61L
1691	C02F
1692	C02F
1693	B09B
1694	B01D
1695	B01F
1696	F28D
1697	B01J
1698	C02F
1699	C02F
1700	A61L
1701	C02F
1702	B09C
1703	C01B
1704	B09B
1705	C02F
1706	C02F
1707	E02B
1708	C02F
1709	C02F
1710	B09B
1711	C02F
1712	B09C
1713	C01B
1714	E21B
1715	E02B
1716	G06Q
1717	C02F
1718	C02F
1719	B09B
1720	B01D
1721	C02F
1722	B09B
1723	C02F
1724	C02F
1725	C01B
1726	C02F
1727	E21B
1728	C02F
1729	A62D
1730	B09B
1731	C12N
1732	C02F
1733	C12P
1734	F25D
1735	C02F
1736	B09B
1737	C02F
1738	C02F
1739	E02D
1740	B09B
1741	C02F
1742	B09B
1743	B01D
1744	B09B
1745	C02F
1746	B09B
1747	G21F
1748	C10J
1749	C02F
1750	C02F
1751	B09B
1752	C02F
1753	C02F
1754	B01D
1755	C02F
1756	B09B
1757	A61L
1758	A61L
1759	C02F
1760	B09B
